time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.767474,-0.034053,2.05005,-1.463908,322.3445,183.8844,9.291406
8.775834,-0.034053,2.05005,-1.463908,322.3445,183.8844,9.291406
8.783858,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.788534,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.79111,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.793936,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.797457,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.800709,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.804069,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.806792,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.80959,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.813106,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.816168,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.819016,-0.034043,2.05005,-1.461322,322.3664,183.7962,9.321556
8.823286,-0.037435,2.05005,-1.45872,322.4629,183.8168,9.324524
8.828302,-0.037435,2.05005,-1.45872,322.4629,183.8168,9.324524
8.831739,-0.037435,2.05005,-1.45872,322.4629,183.8168,9.324524
8.834503,-0.037435,2.05005,-1.45872,322.4629,183.8168,9.324524
8.837131,-0.037435,2.05005,-1.45872,322.4629,183.8168,9.324524
8.839656,-0.037435,2.05005,-1.45872,322.4629,183.8168,9.324524
8.842227,-0.040826,2.05005,-1.456118,322.5594,183.8374,9.254235
8.847524,-0.040826,2.05005,-1.456118,322.5594,183.8374,9.254235
8.850164,-0.040826,2.05005,-1.456118,322.5594,183.8374,9.254235
8.853094,-0.040826,2.05005,-1.456118,322.5594,183.8374,9.254235
8.855709,-0.040826,2.05005,-1.456118,322.5594,183.8374,9.254235
8.858578,-0.040826,2.05005,-1.456118,322.5594,183.8374,9.254235
8.862369,-0.044186,2.05005,-1.448338,322.606,183.8587,9.257879
8.86729,-0.044186,2.05005,-1.448338,322.606,183.8587,9.257879
8.870147,-0.044186,2.05005,-1.448338,322.606,183.8587,9.257879
8.873042,-0.044186,2.05005,-1.448338,322.606,183.8587,9.257879
8.87584,-0.044186,2.05005,-1.448338,322.606,183.8587,9.257879
8.878746,-0.044186,2.05005,-1.448338,322.606,183.8587,9.257879
8.881382,-0.047555,2.05005,-1.443142,322.6759,183.879,9.336582
8.887167,-0.047555,2.05005,-1.443142,322.6759,183.879,9.336582
8.890237,-0.047555,2.05005,-1.443142,322.6759,183.879,9.336582
8.89364,-0.047555,2.05005,-1.443142,322.6759,183.879,9.336582
8.896425,-0.047555,2.05005,-1.443142,322.6759,183.879,9.336582
8.898895,-0.047555,2.05005,-1.443142,322.6759,183.879,9.336582
8.901428,-0.050936,2.05005,-1.440533,322.6992,183.9014,9.265154
8.907529,-0.050936,2.05005,-1.440533,322.6992,183.9014,9.265154
8.910089,-0.050936,2.05005,-1.440533,322.6992,183.9014,9.265154
8.91328,-0.050936,2.05005,-1.440533,322.6992,183.9014,9.265154
8.916076,-0.050936,2.05005,-1.440533,322.6992,183.9014,9.265154
8.918739,-0.050936,2.05005,-1.440533,322.6992,183.9014,9.265154
8.921854,-0.054298,2.05005,-1.435333,322.8191,183.921,9.343133
8.927051,-0.054298,2.05005,-1.435333,322.8191,183.921,9.343133
8.929783,-0.054298,2.05005,-1.435333,322.8191,183.921,9.343133
8.932775,-0.054298,2.05005,-1.435333,322.8191,183.921,9.343133
8.935371,-0.054298,2.05005,-1.435333,322.8191,183.921,9.343133
8.938966,-0.054298,2.05005,-1.435333,322.8191,183.921,9.343133
8.941401,-0.054264,2.05005,-1.430153,322.7911,183.834,9.373343
8.947239,-0.054264,2.05005,-1.430153,322.7911,183.834,9.373343
8.949832,-0.054264,2.05005,-1.430153,322.7911,183.834,9.373343
8.953422,-0.054264,2.05005,-1.430153,322.7911,183.834,9.373343
8.956053,-0.054264,2.05005,-1.430153,322.7911,183.834,9.373343
8.958611,-0.054264,2.05005,-1.430153,322.7911,183.834,9.373343
8.961625,-0.054264,2.05005,-1.430153,322.7924,183.9206,9.27241
8.967714,-0.054264,2.05005,-1.430153,322.7924,183.9206,9.27241
8.971125,-0.054264,2.05005,-1.430153,322.7924,183.9206,9.27241
8.973731,-0.054264,2.05005,-1.430153,322.7924,183.9206,9.27241
8.976357,-0.054264,2.05005,-1.430153,322.7924,183.9206,9.27241
8.979236,-0.054264,2.05005,-1.430153,322.7924,183.9206,9.27241
8.981837,-0.06102,2.05005,-1.426552,322.8158,183.9666,9.347466
8.986993,-0.06102,2.05005,-1.426552,322.8158,183.9666,9.347466
8.989834,-0.06102,2.05005,-1.426552,322.8158,183.9666,9.347466
8.992638,-0.06102,2.05005,-1.426552,322.8158,183.9666,9.347466
8.995608,-0.06102,2.05005,-1.426552,322.8158,183.9666,9.347466
8.998505,-0.06102,2.05005,-1.426552,322.8158,183.9666,9.347466
9.001417,-0.0678,2.05005,-1.4265,322.8876,183.9254,9.376184
9.004644,-0.0678,2.05005,-1.426499,322.8876,183.9254,9.376184
9.00736,-0.0678,2.05005,-1.426499,322.8876,183.9254,9.376184
9.009857,-0.0678,2.05005,-1.426499,322.8876,183.9254,9.376184
9.012781,-0.0678,2.05005,-1.426499,322.8876,183.9254,9.376184
9.016049,-0.0678,2.05005,-1.426499,322.8876,183.9254,9.376184
9.018462,-0.0678,2.05005,-1.426499,322.8876,183.9254,9.376184
9.021113,-0.067779,2.05005,-1.423909,322.9096,183.8379,9.478771
9.026987,-0.067779,2.05005,-1.423909,322.9096,183.8379,9.478771
9.030232,-0.067779,2.05005,-1.423909,322.9096,183.8379,9.478771
9.03325,-0.067779,2.05005,-1.423909,322.9096,183.8379,9.478771
9.036027,-0.067779,2.05005,-1.423909,322.9096,183.8379,9.478771
9.038561,-0.067779,2.05005,-1.423909,322.9096,183.8379,9.478771
9.041252,-0.067779,2.05005,-1.423909,322.8364,183.8396,9.404484
9.048015,-0.067779,2.05005,-1.423909,322.8364,183.8396,9.404484
9.05073,-0.067779,2.05005,-1.423909,322.8364,183.8396,9.404484
9.053651,-0.067779,2.05005,-1.423909,322.8364,183.8396,9.404484
9.056327,-0.067779,2.05005,-1.423909,322.8364,183.8396,9.404484
9.058845,-0.067779,2.05005,-1.423909,322.8364,183.8396,9.404484
9.062127,-0.067779,2.05005,-1.423909,322.8351,183.7531,9.432093
