time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.767474,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.775834,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.783858,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.788534,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.79111,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.793936,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.797457,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.800709,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.804069,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.806792,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.80959,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.813106,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.816168,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.819016,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.823286,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.828302,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.831739,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.834503,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.837131,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.839656,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.842227,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.847524,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.850164,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.853094,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.855709,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.858578,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.862369,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.86729,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.870147,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.873042,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.87584,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.878746,0,1.244464,2.80571,335.7121,179.8826,40.37683
8.881382,0,1.244464,2.80571,335.6388,179.8827,40.3768
8.887167,0,1.244464,2.80571,335.6388,179.8827,40.3768
8.890237,0,1.244464,2.80571,335.6388,179.8827,40.3768
8.89364,0,1.244464,2.80571,335.6388,179.8827,40.3768
8.896425,0,1.244464,2.80571,335.6388,179.8827,40.3768
8.898895,0,1.244464,2.80571,335.6388,179.8827,40.3768
8.901428,0,1.244464,2.80571,335.7121,179.9389,40.40595
8.907529,0,1.244464,2.80571,335.7121,179.9389,40.40595
8.910089,0,1.244464,2.80571,335.7121,179.9389,40.40595
8.91328,0,1.244464,2.80571,335.7121,179.9389,40.40595
8.916076,0,1.244464,2.80571,335.7121,179.9389,40.40595
8.918739,0,1.244464,2.80571,335.7121,179.9389,40.40595
8.921854,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.927051,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.929783,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.932775,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.935371,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.938966,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.941401,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.947239,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.949832,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.953422,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.956053,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.958611,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.961625,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.967714,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.971125,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.973731,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.976357,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.979236,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.981837,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.986993,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.989834,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.992638,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.995608,0,1.244464,2.80571,335.7121,179.8826,40.3036
8.998505,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.001417,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.004644,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.00736,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.009857,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.012781,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.016049,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.018462,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.021113,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.026987,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.030232,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.03325,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.036027,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.038561,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.041252,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.048015,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.05073,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.053651,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.056327,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.058845,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.062127,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.067362,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.069882,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.072971,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.075469,0,1.244464,2.80571,335.7121,179.9389,40.40595
