time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
21.80353,-0.091932,2.05005,-1.46258,325.5639,188.7332,295.8418
21.81178,-0.091932,2.05005,-1.46258,325.5639,188.7332,295.8418
21.81845,-0.091932,2.05005,-1.46258,325.5639,188.7332,295.8418
21.82143,-0.091932,2.05005,-1.46258,325.5607,188.6481,295.8694
21.82553,-0.091932,2.05005,-1.46258,325.5607,188.6481,295.8694
21.8286,-0.091932,2.05005,-1.46258,325.5607,188.6481,295.8694
21.83167,-0.091932,2.05005,-1.46258,325.5607,188.6481,295.8694
21.83452,-0.091932,2.05005,-1.46258,325.5607,188.6481,295.8694
21.83751,-0.091932,2.05005,-1.46258,325.5607,188.6481,295.8694
21.84121,-0.091932,2.05005,-1.46258,325.5575,188.563,295.8237
21.84622,-0.091932,2.05005,-1.46258,325.5575,188.563,295.8237
21.85181,-0.091932,2.05005,-1.46258,325.5575,188.563,295.8237
21.85428,-0.091932,2.05005,-1.46258,325.5575,188.563,295.8237
21.85779,-0.091932,2.05005,-1.46258,325.5575,188.563,295.8237
21.8605,-0.095337,2.05005,-1.462542,325.5575,188.5865,295.8237
21.86376,-0.095337,2.05005,-1.462542,325.5575,188.5865,295.8237
21.86679,-0.095337,2.05005,-1.462542,325.5575,188.5865,295.8237
21.86959,-0.095337,2.05005,-1.462542,325.5575,188.5865,295.8237
21.87253,-0.095337,2.05005,-1.462542,325.5575,188.5865,295.8237
21.88299,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.88604,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.88966,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.89234,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.89503,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.89788,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.90021,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.90398,-0.095337,2.05005,-1.462541,325.5544,188.5014,295.9245
21.90703,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.90966,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.91219,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.91499,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.91756,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.9209,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.92428,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.92703,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.92979,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.93295,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.9362,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.93844,-0.095337,2.05005,-1.462542,325.5544,188.5014,295.9245
21.94083,-0.095337,2.05005,-1.462542,325.5513,188.4162,295.9521
21.94425,-0.095337,2.05005,-1.462542,325.5513,188.4162,295.9521
21.94697,-0.095337,2.05005,-1.462542,325.5513,188.4162,295.9521
21.95008,-0.095337,2.05005,-1.462542,325.5513,188.4162,295.9521
21.95328,-0.095337,2.05005,-1.462542,325.5513,188.4162,295.9521
21.95618,-0.095337,2.05005,-1.462542,325.5513,188.4162,295.9521
21.95908,-0.095337,2.05005,-1.462542,325.5513,188.4162,295.9521
21.96149,-0.098742,2.05005,-1.462502,325.5482,188.3546,295.9797
21.96504,-0.098742,2.05005,-1.462502,325.5482,188.3546,295.9797
21.96851,-0.098742,2.05005,-1.462502,325.5482,188.3546,295.9797
21.97134,-0.098742,2.05005,-1.462502,325.5482,188.3546,295.9797
21.9737,-0.098742,2.05005,-1.462502,325.5482,188.3546,295.9797
21.97659,-0.098742,2.05005,-1.462502,325.5482,188.3546,295.9797
21.97948,-0.098742,2.05005,-1.462502,325.5482,188.3546,295.9797
21.98266,-0.098754,2.05005,-1.463513,325.6213,188.3507,295.9819
21.98618,-0.098754,2.05005,-1.463513,325.6213,188.3507,295.9819
21.98865,-0.098754,2.05005,-1.463513,325.6213,188.3507,295.9819
21.99121,-0.098754,2.05005,-1.463513,325.6213,188.3507,295.9819
21.99377,-0.098754,2.05005,-1.463513,325.6213,188.3507,295.9819
21.99656,-0.098754,2.05005,-1.463513,325.6213,188.3507,295.9819
21.99963,-0.098754,2.05005,-1.463513,325.6213,188.3507,295.9819
22.0032,-0.098754,2.05005,-1.463513,325.5451,188.2694,295.9341
22.00621,-0.098754,2.05005,-1.463513,325.5451,188.2694,295.9341
22.00919,-0.098754,2.05005,-1.463513,325.5451,188.2694,295.9341
22.01151,-0.098754,2.05005,-1.463513,325.5451,188.2694,295.9341
22.0145,-0.098754,2.05005,-1.463513,325.5451,188.2694,295.9341
22.01757,-0.098754,2.05005,-1.463513,325.5451,188.2694,295.9341
22.02028,-0.098754,2.05005,-1.463513,325.5421,188.1842,296.035
22.02371,-0.098754,2.05005,-1.463513,325.5421,188.1842,296.035
22.02643,-0.098754,2.05005,-1.463513,325.5421,188.1842,296.035
22.02949,-0.098754,2.05005,-1.463513,325.5421,188.1842,296.035
22.03265,-0.098754,2.05005,-1.463513,325.5421,188.1842,296.035
22.03506,-0.098754,2.05005,-1.463513,325.5421,188.1842,296.035
22.03746,-0.098754,2.05005,-1.463513,325.5421,188.1842,296.035
22.04035,-0.098754,2.05005,-1.463513,325.6153,188.1805,295.9639
22.04381,-0.098754,2.05005,-1.463513,325.6153,188.1805,295.9639
22.04729,-0.098754,2.05005,-1.463513,325.6153,188.1805,295.9639
22.05046,-0.098754,2.05005,-1.463513,325.6153,188.1805,295.9639
22.05367,-0.098754,2.05005,-1.463513,325.6153,188.1805,295.9639
22.05622,-0.098754,2.05005,-1.463513,325.6153,188.1805,295.9639
22.05913,-0.098754,2.05005,-1.463513,325.6153,188.1805,295.9639
22.06209,-0.098723,2.05005,-1.460933,325.6384,188.1784,296.0408
