time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
17.93439,0.026354,1.10005,-1.593808,316.8024,199.7588,204.9485
17.94524,0.019766,1.10005,-1.593827,316.7967,199.7197,204.9704
17.95541,0.019766,1.10005,-1.593827,316.7967,199.7197,204.9704
17.96511,0.016473,1.10005,-1.594502,316.8696,199.7341,204.9767
17.97433,0.016473,1.10005,-1.594502,316.8696,199.7341,204.9767
17.98521,0.013174,1.10005,-1.591865,316.8973,199.8364,204.9657
17.99531,0.013174,1.10005,-1.591865,316.8973,199.8364,204.9657
18.00542,0.013174,1.10005,-1.591865,316.8186,199.7593,204.9813
18.01519,0.013174,1.10005,-1.591865,316.8186,199.7593,204.9813
18.02494,0.009877,1.10005,-1.589227,316.8348,199.6893,205.014
18.03528,0.009877,1.10005,-1.589226,316.8348,199.6893,205.014
18.04633,0.009877,1.10005,-1.589227,316.8907,199.4216,205.0858
18.05763,0.009877,1.10005,-1.589227,316.8907,199.4216,205.0858
18.06749,0.009874,1.10005,-1.586583,316.9071,199.3281,205.0451
18.07957,0.009874,1.10005,-1.586583,316.9071,199.3281,205.0451
18.09014,0.009867,1.10005,-1.581296,316.8615,199.0639,205.1989
18.10192,0.009864,1.10005,-1.578652,316.9289,198.969,205.2267
18.11262,0.009864,1.10005,-1.578652,316.9289,198.969,205.2267
18.12249,0.009858,1.10005,-1.573363,316.9789,198.6893,205.3231
18.13297,0.009858,1.10005,-1.573363,316.9789,198.6893,205.3231
18.14313,0.009854,1.10005,-1.570718,316.9796,198.3379,205.5667
18.15443,0.009854,1.10005,-1.570718,316.9796,198.3379,205.5667
18.16484,0.013136,1.10005,-1.568735,316.9809,197.963,205.7368
18.17569,0.013136,1.10005,-1.568734,316.9809,197.963,205.7368
18.18541,0.013136,1.10005,-1.568735,316.9706,197.7906,205.9268
18.19589,0.013136,1.10005,-1.568734,316.9706,197.7906,205.9268
18.20618,0.013136,1.10005,-1.568734,316.9553,197.5321,206.1386
18.21662,0.013136,1.10005,-1.568735,316.9553,197.5321,206.1386
18.22813,0.013136,1.10005,-1.568734,316.9452,197.3597,206.2555
18.23864,0.013136,1.10005,-1.568735,316.9452,197.3597,206.2555
18.24988,0.013131,1.10005,-1.566089,316.9675,197.3532,206.3383
18.26063,0.013127,1.10005,-1.563444,316.9897,197.3467,206.4211
18.27098,0.013127,1.10005,-1.563444,316.9897,197.3467,206.4211
18.28113,0.013105,1.10005,-1.550212,317.069,197.1485,206.649
18.29243,0.013105,1.10005,-1.550212,317.069,197.1485,206.649
18.30259,0.013092,1.10005,-1.54227,317.09,197.2165,206.8066
18.31369,0.013092,1.10005,-1.54227,317.09,197.2165,206.8066
18.32375,0.01307,1.10005,-1.529028,317.1013,197.1125,207.2267
18.33434,0.01307,1.10005,-1.529028,317.1013,197.1125,207.2267
18.34486,0.00325,1.10005,-1.485957,317.1884,197.1046,208.9042
18.35688,0.00325,1.10005,-1.485957,317.1884,197.1046,208.9042
18.36651,-0.006459,1.10005,-1.436829,317.4172,196.9971,209.7321
18.37654,-0.006459,1.10005,-1.436829,317.4172,196.9971,209.7321
18.38787,-0.012769,1.100049,-1.345656,317.9312,196.7769,210.3321
18.39843,-0.012769,1.100049,-1.345656,317.9312,196.7769,210.3321
18.40748,-0.01888,1.100049,-1.23477,318.4085,196.4617,210.7585
18.41923,-0.01888,1.100049,-1.23477,318.4085,196.4617,210.7585
18.43066,-0.018562,1.100049,-1.106113,319.1825,195.9636,211.2046
18.45005,-0.02125,1.100048,-0.964956,319.8927,195.6708,211.6012
18.46169,-0.024057,1.100049,-0.895549,320.3039,195.412,211.8228
18.46765,-0.024057,1.100049,-0.895549,320.3039,195.412,211.8228
18.474,-0.024057,1.100049,-0.895549,320.3039,195.412,211.8228
18.48405,-0.029536,1.100048,-0.765374,320.9691,195.2359,212.1949
18.49538,-0.029536,1.100048,-0.765374,320.9691,195.2359,212.1949
18.50698,-0.040319,1.100049,-0.586166,321.8013,195.0943,212.6769
18.51638,-0.040319,1.100049,-0.586166,321.8013,195.0943,212.6769
18.52763,-0.045298,1.100049,-0.467523,322.2598,194.9814,212.9906
18.53895,-0.045298,1.100049,-0.467523,322.2598,194.9814,212.9906
18.54874,-0.050071,1.100049,-0.347303,322.6241,194.9288,213.288
18.55956,-0.050071,1.100049,-0.347303,322.6241,194.9288,213.288
18.57004,-0.054763,1.100049,-0.241247,322.9939,194.8637,213.5645
18.58029,-0.054326,1.100049,-0.188212,323.1538,194.8783,213.7051
18.59161,-0.054326,1.100049,-0.188212,323.1538,194.8783,213.7051
18.60153,-0.053437,1.100049,-0.080109,323.5741,194.792,213.9757
18.61261,-0.053437,1.100049,-0.080109,323.5741,194.792,213.9757
18.62353,-0.052621,1.100049,0.019145,323.9772,194.7958,214.218
18.63404,-0.052621,1.100049,0.019145,323.9772,194.7958,214.218
18.64545,-0.051498,1.100049,0.155697,324.42,194.8652,214.5959
18.65564,-0.051498,1.100049,0.155697,324.42,194.8652,214.5959
18.666,-0.050828,1.100049,0.237163,324.6578,194.8796,214.8179
18.67701,-0.050828,1.100049,0.237163,324.6578,194.8796,214.8179
