time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
32.35397,-0.052521,1.10005,-1.565291,312.6423,204.6579,207.0648
32.36576,-0.052521,1.10005,-1.565291,312.7084,204.5583,207.1689
32.37589,-0.052521,1.10005,-1.565291,312.7084,204.5583,207.1689
32.38428,-0.052504,1.10005,-1.562642,312.6569,204.56,207.1741
32.39472,-0.052504,1.10005,-1.562642,312.6569,204.56,207.1741
32.40256,-0.052486,1.10005,-1.559993,312.6782,204.5496,207.1883
32.41253,-0.052486,1.10005,-1.559993,312.6782,204.5496,207.1883
32.42399,-0.052447,1.10005,-1.554085,312.7142,204.4414,207.165
32.4338,-0.052447,1.10005,-1.554085,312.7142,204.4414,207.165
32.45317,-0.052327,1.10005,-1.535735,312.7693,204.3915,207.3136
32.45876,-0.052327,1.10005,-1.535735,312.7693,204.3915,207.3136
32.46313,-0.048996,1.10005,-1.525954,312.8333,204.3372,207.3555
32.47632,-0.048996,1.10005,-1.525954,312.8333,204.3372,207.3555
32.48575,-0.045555,1.10005,-1.49572,313.0254,204.222,207.4807
32.4944,-0.045555,1.10005,-1.49572,313.0254,204.222,207.4807
32.50572,-0.029049,1.10005,-1.431806,313.4466,203.8412,207.556
32.51385,-0.029049,1.10005,-1.431806,313.4466,203.8412,207.556
32.5238,0.003186,1.100049,-1.331631,314.1964,203.2669,206.3408
32.5333,0.003186,1.100049,-1.331631,314.1964,203.2669,206.3408
32.54404,0.037677,1.100049,-1.218122,315.0555,202.6133,205.6168
32.55259,0.037677,1.100049,-1.218122,315.0555,202.6133,205.6168
32.56224,0.064737,1.100049,-1.079184,316.0939,202.0601,206.0608
32.57438,0.064737,1.100049,-1.079184,316.0939,202.0601,206.0608
32.58353,0.084385,1.100048,-0.911374,317.3361,201.662,206.6448
32.59317,0.084385,1.100048,-0.911374,317.3361,201.662,206.6448
32.60284,0.094485,1.100048,-0.762695,318.3146,201.1648,207.2541
32.61182,0.094485,1.100048,-0.762695,318.3146,201.1648,207.2541
32.62239,0.106899,1.100049,-0.608133,319.2832,200.4881,207.8929
32.63336,0.106899,1.100049,-0.608133,319.2832,200.4881,207.8929
32.64321,0.11349,1.100049,-0.481828,319.9898,200.024,208.4
32.65548,0.11349,1.100049,-0.481828,319.9898,200.024,208.4
32.66541,0.116982,1.100049,-0.355368,320.6044,199.6039,208.8817
32.67617,0.116982,1.100049,-0.355368,320.6044,199.6039,208.8817
32.68736,0.114962,1.100049,-0.238462,321.1038,199.1789,209.3335
32.69599,0.114962,1.100049,-0.238462,321.1038,199.1789,209.3335
32.71333,0.111318,1.100049,-0.184716,321.3219,199.0026,209.5394
32.72336,0.111019,1.10005,-0.166947,321.359,199.0464,209.5875
32.72905,0.111019,1.10005,-0.166947,321.359,199.0464,209.5875
32.73352,0.111019,1.10005,-0.166947,321.359,199.0464,209.5875
32.74242,0.107718,1.10005,-0.130947,321.571,198.9884,209.7194
32.75374,0.107718,1.10005,-0.130947,321.571,198.9884,209.7194
32.76275,0.107215,1.10005,-0.100329,321.5932,198.9953,209.8282
32.77472,0.107215,1.10005,-0.100329,321.5932,198.9953,209.8282
32.78363,0.109241,1.10005,-0.061515,321.9735,198.8099,209.971
32.79276,0.109241,1.10005,-0.061515,321.9735,198.8099,209.971
32.80326,0.108462,1.10005,-0.015335,322.2739,198.7059,210.1405
32.81292,0.108462,1.10005,-0.015335,322.2739,198.7059,210.1405
32.82291,0.107397,1.100049,0.047887,322.6553,198.5614,210.3776
32.83448,0.107397,1.100049,0.047887,322.6553,198.5614,210.3776
32.84247,0.106226,1.100049,0.117284,323.0891,198.2807,210.5995
32.85339,0.106226,1.100049,0.117284,323.0891,198.2807,210.5995
32.86272,0.104919,1.100049,0.19482,323.7079,197.9777,210.8622
32.87326,0.104919,1.100049,0.19482,323.7079,197.9777,210.8622
32.88326,0.103592,1.100049,0.273553,324.3012,197.5271,211.1293
32.89283,0.103592,1.100049,0.273553,324.3012,197.5271,211.1293
