experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,needletip_movement_location_0
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,1,1,1,10.79002,11.68,0,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T001.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,2,1,2,13.21608,13.88,0,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T002.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,3,1,3,15.71287,16.48,0,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T003.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,4,1,4,17.87284,18.84,0,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T004.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,5,1,5,20.28816,20.98,0,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T005.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,6,2,1,22.34994,23.12,60,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T006.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,7,2,2,24.45537,25.3,60,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T007.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,8,2,3,26.8307,28,60,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T008.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,9,3,1,30.37131,31.14,45,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T009.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,10,3,2,32.35397,32.9,45,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T010.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,11,3,3,34.35202,35.06,45,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T011.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,12,3,4,36.53312,37.18,45,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T012.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,13,3,5,38.34615,38.94,45,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T013.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,14,3,6,40.10419,40.72,45,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T014.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,15,3,7,43.02401,43.62,45,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T015.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,16,3,8,44.65679,45.38,45,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T016.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,17,3,9,46.63116,47.06,45,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T017.csv
reaching,elbow-53737d56-faba-4931-bada-1bf366e4fa50,1,18,3,10,48.1831,48.9,45,reaching/elbow-53737d56-faba-4931-bada-1bf366e4fa50/S001/trackers/needletip_movement_T018.csv
