time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
6.582592,-0.140419,2.05005,-1.510632,325.2316,174.5345,300.9825
6.589702,-0.140419,2.05005,-1.510631,325.2316,174.5345,300.9825
6.602804,-0.140419,2.05005,-1.510631,325.1584,174.5311,301.0577
6.605356,-0.140419,2.05005,-1.510631,325.1584,174.5311,301.0577
6.608655,-0.140419,2.05005,-1.510632,325.1584,174.5311,301.0577
6.613074,-0.140419,2.05005,-1.510631,325.1584,174.5311,301.0577
6.616429,-0.140419,2.05005,-1.510631,325.1584,174.5311,301.0577
6.619578,-0.140419,2.05005,-1.510631,325.1584,174.5311,301.0577
6.622584,-0.140419,2.05005,-1.510631,325.0852,174.5278,301.0596
6.627215,-0.140419,2.05005,-1.510631,325.0852,174.5278,301.0596
6.629975,-0.140419,2.05005,-1.510631,325.0852,174.5278,301.0596
6.633145,-0.140419,2.05005,-1.510631,325.0852,174.5278,301.0596
6.636401,-0.140419,2.05005,-1.510631,325.0852,174.5278,301.0596
6.639843,-0.140419,2.05005,-1.510631,325.0852,174.5278,301.0596
6.64372,-0.136994,2.05005,-1.510688,325.0852,174.5042,301.0596
6.647228,-0.136994,2.05005,-1.510688,325.0852,174.5042,301.0596
6.650117,-0.136994,2.05005,-1.510688,325.0852,174.5042,301.0596
6.653121,-0.136994,2.05005,-1.510688,325.0852,174.5042,301.0596
6.65687,-0.136994,2.05005,-1.510688,325.0852,174.5042,301.0596
6.660941,-0.137011,2.05005,-1.511689,325.0852,174.5042,301.1328
6.664773,-0.137011,2.05005,-1.511689,325.0852,174.5042,301.1328
6.667973,-0.137011,2.05005,-1.511689,325.0852,174.5042,301.1328
6.671386,-0.137011,2.05005,-1.511689,325.0852,174.5042,301.1328
6.675012,-0.137011,2.05005,-1.511689,325.0852,174.5042,301.1328
6.678133,-0.137011,2.05005,-1.511689,325.0852,174.5042,301.1328
6.681123,-0.137043,2.05005,-1.513688,325.0146,174.4152,301.1631
6.684829,-0.137043,2.05005,-1.513688,325.0146,174.4152,301.1631
6.687894,-0.137043,2.05005,-1.513688,325.0146,174.4152,301.1631
6.691355,-0.137043,2.05005,-1.513688,325.0146,174.4152,301.1631
6.694187,-0.137043,2.05005,-1.513688,325.0146,174.4152,301.1631
6.697549,-0.137043,2.05005,-1.513688,325.0146,174.4152,301.1631
6.70195,-0.13706,2.05005,-1.514686,325.0173,174.3295,301.2647
6.707094,-0.13706,2.05005,-1.514686,325.0173,174.3295,301.2647
6.710228,-0.13706,2.05005,-1.514686,325.0173,174.3295,301.2647
6.713408,-0.13706,2.05005,-1.514686,325.0173,174.3295,301.2647
6.716708,-0.13706,2.05005,-1.514686,325.0173,174.3295,301.2647
6.720221,-0.13365,2.05005,-1.515738,325.0173,174.306,301.2648
6.723938,-0.13365,2.05005,-1.515738,325.0173,174.306,301.2648
6.727147,-0.13365,2.05005,-1.515738,325.0173,174.306,301.2648
6.730007,-0.13365,2.05005,-1.515738,325.0173,174.306,301.2648
6.733047,-0.13365,2.05005,-1.515738,325.0173,174.306,301.2648
6.737109,-0.13365,2.05005,-1.515738,325.0173,174.306,301.2648
6.740198,-0.130239,2.05005,-1.516788,325.0173,174.2824,301.338
6.74439,-0.130239,2.05005,-1.516788,325.0173,174.2824,301.338
6.747356,-0.130239,2.05005,-1.516788,325.0173,174.2824,301.338
6.750641,-0.130239,2.05005,-1.516788,325.0173,174.2824,301.338
6.753945,-0.130239,2.05005,-1.516788,325.0173,174.2824,301.338
6.7569,-0.130239,2.05005,-1.516788,325.0173,174.2824,301.338
6.760203,-0.130239,2.05005,-1.516788,324.9442,174.279,301.4865
6.763985,-0.130239,2.05005,-1.516788,324.9442,174.279,301.4865
6.767892,-0.130239,2.05005,-1.516788,324.9442,174.279,301.4865
6.771043,-0.130239,2.05005,-1.516788,324.9442,174.279,301.4865
6.774295,-0.130239,2.05005,-1.516788,324.9442,174.279,301.4865
6.777715,-0.130239,2.05005,-1.516788,324.9442,174.279,301.4865
6.78121,-0.130239,2.05005,-1.516788,324.9468,174.1933,301.5148
6.784829,-0.130239,2.05005,-1.516788,324.9468,174.1933,301.5148
6.787755,-0.130239,2.05005,-1.516788,324.9468,174.1933,301.5148
6.790951,-0.130239,2.05005,-1.516788,324.9468,174.1933,301.5148
6.79785,-0.130239,2.05005,-1.516788,324.9468,174.1933,301.5148
6.799954,-0.130239,2.05005,-1.516788,324.9468,174.1933,301.5148
6.802714,-0.133666,2.05005,-1.516734,324.9468,174.2168,301.5881
6.80592,-0.133666,2.05005,-1.516734,324.9468,174.2168,301.5881
6.808805,-0.133666,2.05005,-1.516734,324.9468,174.2168,301.5881
6.812578,-0.133666,2.05005,-1.516734,324.9468,174.2168,301.5881
6.815856,-0.133666,2.05005,-1.516734,324.9468,174.2168,301.5881
6.818887,-0.133666,2.05005,-1.516734,324.9468,174.2168,301.5881
6.822138,-0.14052,2.05005,-1.516621,324.9496,174.1782,301.6897
6.826112,-0.14052,2.05005,-1.516621,324.9496,174.1782,301.6897
6.829655,-0.14052,2.05005,-1.516621,324.9496,174.1782,301.6897
6.832407,-0.14052,2.05005,-1.516621,324.9496,174.1782,301.6897
6.835595,-0.14052,2.05005,-1.516621,324.9496,174.1782,301.6897
6.838846,-0.14052,2.05005,-1.516621,324.9496,174.1782,301.6897
6.842398,-0.150754,2.05005,-1.513867,324.9524,174.1632,301.7914
6.846939,-0.150754,2.05005,-1.513867,324.9524,174.1632,301.7914
6.850315,-0.150754,2.05005,-1.513867,324.9524,174.1632,301.7914
6.85403,-0.150754,2.05005,-1.513867,324.9524,174.1632,301.7914
6.857149,-0.150754,2.05005,-1.513867,324.9524,174.1632,301.7914
6.861313,-0.171308,2.05005,-1.51347,324.9784,174.1973,301.8163
6.865413,-0.171308,2.05005,-1.51347,324.9784,174.1973,301.8163
6.868673,-0.171308,2.05005,-1.51347,324.9784,174.1973,301.8163
6.872151,-0.171308,2.05005,-1.51347,324.9784,174.1973,301.8163
6.876049,-0.171308,2.05005,-1.51347,324.9784,174.1973,301.8163
6.879731,-0.171308,2.05005,-1.51347,324.9784,174.1973,301.8163
6.882547,-0.202076,2.05005,-1.510205,325.0073,174.24,301.8694
6.886166,-0.202076,2.05005,-1.510205,325.0073,174.24,301.8694
6.888971,-0.202076,2.05005,-1.510205,325.0073,174.24,301.8694
6.892726,-0.202076,2.05005,-1.510205,325.0073,174.24,301.8694
6.895502,-0.202076,2.05005,-1.510205,325.0073,174.24,301.8694
6.898382,-0.202076,2.05005,-1.510205,325.0073,174.24,301.8694
6.901495,-0.243165,2.05005,-1.509106,324.9399,174.3477,301.9281
6.904993,-0.243165,2.05005,-1.509106,324.9399,174.3477,301.9281
6.914282,-0.243165,2.05005,-1.509106,324.9399,174.3477,301.9281
6.916539,-0.243165,2.05005,-1.509106,324.9399,174.3477,301.9281
6.919138,-0.243165,2.05005,-1.509106,324.9399,174.3477,301.9281
6.92256,-0.277402,2.05005,-1.508036,324.8758,174.3459,302.0152
6.926292,-0.277402,2.05005,-1.508036,324.8758,174.3459,302.0152
6.929462,-0.277402,2.05005,-1.508036,324.8758,174.3459,302.0152
6.932759,-0.277402,2.05005,-1.508036,324.8758,174.3459,302.0152
6.935693,-0.277402,2.05005,-1.508036,324.8758,174.3459,302.0152
6.939256,-0.277402,2.05005,-1.508036,324.8758,174.3459,302.0152
6.942978,-0.315057,2.05005,-1.506696,324.8152,174.2347,302.1306
6.946555,-0.315057,2.05005,-1.506696,324.8152,174.2347,302.1306
6.949622,-0.315057,2.05005,-1.506696,324.8152,174.2347,302.1306
6.953103,-0.315057,2.05005,-1.506696,324.8152,174.2347,302.1306
6.956174,-0.315057,2.05005,-1.506696,324.8152,174.2347,302.1306
6.959499,-0.315057,2.05005,-1.506696,324.8152,174.2347,302.1306
6.962585,-0.352488,2.05005,-1.500039,324.8047,174.0657,302.2662
6.966123,-0.352488,2.05005,-1.500039,324.8047,174.0657,302.2662
6.969521,-0.352488,2.05005,-1.500039,324.8047,174.0657,302.2662
6.972561,-0.352488,2.05005,-1.500039,324.8047,174.0657,302.2662
6.975873,-0.352488,2.05005,-1.500039,324.8047,174.0657,302.2662
6.979114,-0.352488,2.05005,-1.500039,324.8047,174.0657,302.2662
6.982118,-0.396822,2.05005,-1.495463,324.7756,173.8794,302.4335
6.98619,-0.396822,2.05005,-1.495463,324.7756,173.8794,302.4335
6.988987,-0.396822,2.05005,-1.495463,324.7756,173.8794,302.4335
6.992393,-0.396822,2.05005,-1.495463,324.7756,173.8794,302.4335
6.997216,-0.396822,2.05005,-1.495463,324.7756,173.8794,302.4335
7.000133,-0.44098,2.05005,-1.488077,324.6937,173.7296,302.5704
7.003628,-0.44098,2.05005,-1.488077,324.6937,173.7296,302.5704
7.006418,-0.44098,2.05005,-1.488077,324.6937,173.7296,302.5704
7.009785,-0.44098,2.05005,-1.488077,324.6937,173.7296,302.5704
7.012931,-0.44098,2.05005,-1.488077,324.6937,173.7296,302.5704
7.016449,-0.44098,2.05005,-1.488077,324.6937,173.7296,302.5704
7.019264,-0.44098,2.05005,-1.488077,324.6937,173.7296,302.5704
7.022318,-0.48477,2.05005,-1.475308,324.6705,173.3517,302.7807
7.025965,-0.48477,2.05005,-1.475308,324.6705,173.3517,302.7807
7.029102,-0.48477,2.05005,-1.475308,324.6705,173.3517,302.7807
7.032337,-0.48477,2.05005,-1.475308,324.6705,173.3517,302.7807
7.035354,-0.48477,2.05005,-1.475308,324.6705,173.3517,302.7807
7.03845,-0.48477,2.05005,-1.475308,324.6705,173.3517,302.7807
7.042212,-0.531942,2.05005,-1.463665,324.6136,173.2518,302.9839
7.045614,-0.531942,2.05005,-1.463665,324.6136,173.2518,302.9839
7.048622,-0.531942,2.05005,-1.463665,324.6136,173.2518,302.9839
7.051559,-0.531942,2.05005,-1.463665,324.6136,173.2518,302.9839
7.054334,-0.531942,2.05005,-1.463665,324.6136,173.2518,302.9839
7.057299,-0.531942,2.05005,-1.463665,324.6136,173.2518,302.9839
7.060622,-0.571907,2.05005,-1.448068,324.6032,173.111,303.0288
7.064631,-0.571907,2.05005,-1.448068,324.6032,173.111,303.0288
7.067974,-0.571907,2.05005,-1.448068,324.6032,173.111,303.0288
7.070952,-0.571907,2.05005,-1.448068,324.6032,173.111,303.0288
7.073767,-0.571907,2.05005,-1.448068,324.6032,173.111,303.0288
7.077387,-0.571907,2.05005,-1.448068,324.6032,173.111,303.0288
7.081261,-0.604946,2.05005,-1.432771,324.5203,172.9416,303.1484
7.085259,-0.604946,2.05005,-1.432771,324.5203,172.9416,303.1484
7.088215,-0.604946,2.05005,-1.432771,324.5203,172.9416,303.1484
7.091217,-0.604946,2.05005,-1.432771,324.5203,172.9416,303.1484
7.095036,-0.604946,2.05005,-1.432771,324.5203,172.9416,303.1484
7.098086,-0.604946,2.05005,-1.432771,324.5203,172.9416,303.1484
7.101017,-0.644035,2.05005,-1.409075,324.5567,172.8085,303.3246
7.104296,-0.644035,2.05005,-1.409075,324.5567,172.8085,303.3246
7.107353,-0.644035,2.05005,-1.409075,324.5567,172.8085,303.3246
7.110624,-0.644035,2.05005,-1.409075,324.5567,172.8085,303.3246
7.113603,-0.644035,2.05005,-1.409075,324.5567,172.8085,303.3246
7.116636,-0.644035,2.05005,-1.409075,324.5567,172.8085,303.3246
7.119573,-0.644035,2.05005,-1.409075,324.5567,172.8085,303.3246
7.122519,-0.686707,2.05005,-1.390049,324.5982,172.5913,303.3784
7.126905,-0.686707,2.05005,-1.390049,324.5982,172.5913,303.3784
7.129797,-0.686708,2.05005,-1.390049,324.5982,172.5913,303.3784
7.132656,-0.686707,2.05005,-1.390049,324.5982,172.5913,303.3784
7.135494,-0.686708,2.05005,-1.390049,324.5982,172.5913,303.3784
7.138688,-0.686707,2.05005,-1.390049,324.5982,172.5913,303.3784
7.14204,-0.732472,2.05005,-1.369496,324.5997,172.3537,303.5412
7.145466,-0.732472,2.05005,-1.369496,324.5997,172.3537,303.5412
7.148343,-0.732472,2.05005,-1.369496,324.5997,172.3537,303.5412
7.15166,-0.732472,2.05005,-1.369496,324.5997,172.3537,303.5412
7.154806,-0.732472,2.05005,-1.369496,324.5997,172.3537,303.5412
7.158071,-0.732472,2.05005,-1.369496,324.5997,172.3537,303.5412
7.161002,-0.771549,2.05005,-1.351893,324.5418,172.1902,303.6459
7.164427,-0.771549,2.05005,-1.351893,324.5418,172.1902,303.6459
7.167322,-0.771549,2.05005,-1.351893,324.5418,172.1902,303.6459
7.170387,-0.771549,2.05005,-1.351893,324.5418,172.1902,303.6459
7.173606,-0.771549,2.05005,-1.351893,324.5418,172.1902,303.6459
7.17688,-0.771549,2.05005,-1.351893,324.5418,172.1902,303.6459
7.179885,-0.771549,2.05005,-1.351893,324.5418,172.1902,303.6459
7.182721,-0.800511,2.05005,-1.336083,324.6077,172.0132,303.8208
7.186593,-0.800511,2.05005,-1.336083,324.6077,172.0132,303.8208
7.18964,-0.800511,2.05005,-1.336083,324.6077,172.0132,303.8208
7.19293,-0.800511,2.05005,-1.336083,324.6077,172.0132,303.8208
7.197801,-0.800511,2.05005,-1.336083,324.6077,172.0132,303.8208
7.200511,-0.828373,2.05005,-1.310429,324.5681,171.8693,303.8152
7.204401,-0.828373,2.05005,-1.310429,324.5681,171.8693,303.8152
7.2074,-0.828373,2.05005,-1.310429,324.5681,171.8693,303.8152
7.210675,-0.828373,2.05005,-1.310429,324.5681,171.8693,303.8152
7.213894,-0.828373,2.05005,-1.310429,324.5681,171.8693,303.8152
7.217153,-0.828373,2.05005,-1.310429,324.5681,171.8693,303.8152
7.220079,-0.85949,2.05005,-1.285298,324.5511,171.7773,303.8739
7.223515,-0.85949,2.05005,-1.285298,324.5511,171.7773,303.8739
7.226635,-0.85949,2.050049,-1.285298,324.5511,171.7773,303.8739
7.229819,-0.85949,2.05005,-1.285298,324.5511,171.7773,303.8739
7.23321,-0.85949,2.05005,-1.285298,324.5511,171.7773,303.8739
7.236004,-0.85949,2.05005,-1.285298,324.5511,171.7773,303.8739
7.242455,-0.89391,2.05005,-1.26125,324.5846,171.7361,303.9334
7.245698,-0.89391,2.05005,-1.26125,324.5846,171.7361,303.9334
7.249217,-0.89391,2.05005,-1.26125,324.5846,171.7361,303.9334
7.25205,-0.89391,2.05005,-1.26125,324.5846,171.7361,303.9334
7.254742,-0.89391,2.05005,-1.26125,324.5846,171.7361,303.9334
7.257926,-0.89391,2.05005,-1.26125,324.5846,171.7361,303.9334
7.260849,-0.935352,2.05005,-1.24144,324.5956,171.6916,303.9249
7.264709,-0.935352,2.05005,-1.24144,324.5956,171.6916,303.9249
7.267524,-0.935352,2.05005,-1.24144,324.5956,171.6916,303.9249
7.270477,-0.935352,2.05005,-1.24144,324.5956,171.6916,303.9249
7.273675,-0.935352,2.05005,-1.24144,324.5956,171.6916,303.9249
7.276827,-0.935352,2.05005,-1.24144,324.5956,171.6916,303.9249
7.280163,-0.966999,2.050049,-1.22519,324.6456,171.4535,303.9751
7.28355,-0.966999,2.05005,-1.22519,324.6456,171.4535,303.9751
7.286309,-0.966999,2.05005,-1.22519,324.6456,171.4535,303.9751
7.289382,-0.966999,2.05005,-1.22519,324.6456,171.4535,303.9751
7.292687,-0.966999,2.05005,-1.22519,324.6456,171.4535,303.9751
7.295952,-0.966999,2.05005,-1.22519,324.6456,171.4535,303.9751
7.298958,-0.966999,2.05005,-1.22519,324.6456,171.4535,303.9751
7.301793,-0.98557,2.05005,-1.212442,324.5895,171.2556,303.9861
7.304958,-0.98557,2.05005,-1.212442,324.5895,171.2556,303.9861
7.307872,-0.98557,2.05005,-1.212442,324.5895,171.2556,303.9861
7.3115,-0.98557,2.05005,-1.212442,324.5895,171.2556,303.9861
7.314601,-0.98557,2.05005,-1.212442,324.5895,171.2556,303.9861
7.317559,-0.98557,2.05005,-1.212442,324.5895,171.2556,303.9861
7.320458,-1.00376,2.05005,-1.19706,324.528,171.0642,304.05
7.323806,-1.00376,2.05005,-1.19706,324.528,171.0642,304.05
7.327339,-1.00376,2.05005,-1.19706,324.528,171.0642,304.05
7.330054,-1.00376,2.05005,-1.19706,324.528,171.0642,304.05
7.332966,-1.00376,2.05005,-1.19706,324.528,171.0642,304.05
7.335918,-1.00376,2.05005,-1.19706,324.528,171.0642,304.05
7.338624,-1.00376,2.05005,-1.19706,324.528,171.0642,304.05
7.342122,-1.012991,2.05005,-1.190643,324.5172,170.8834,303.965
7.345265,-1.012991,2.05005,-1.190643,324.5172,170.8834,303.965
7.347924,-1.012991,2.05005,-1.190643,324.5172,170.8834,303.965
7.350738,-1.012991,2.05005,-1.190643,324.5172,170.8834,303.965
7.353819,-1.012991,2.05005,-1.190643,324.5172,170.8834,303.965
7.356836,-1.012991,2.05005,-1.190643,324.5172,170.8834,303.965
7.360022,-1.024173,2.05005,-1.173447,324.523,170.7377,303.9977
7.363608,-1.024173,2.05005,-1.173447,324.523,170.7377,303.9977
7.366477,-1.024173,2.05005,-1.173447,324.523,170.7377,303.9977
7.369499,-1.024173,2.05005,-1.173447,324.523,170.7377,303.9977
7.373039,-1.024173,2.05005,-1.173447,324.523,170.7377,303.9977
7.376276,-1.024173,2.05005,-1.173447,324.523,170.7377,303.9977
7.379336,-1.024173,2.05005,-1.173447,324.523,170.7377,303.9977
7.382502,-1.036307,2.05005,-1.163989,324.5348,170.5622,303.9763
7.385704,-1.036307,2.05005,-1.163989,324.5348,170.5622,303.9763
7.389147,-1.036307,2.05005,-1.163989,324.5348,170.5622,303.9763
7.392586,-1.036307,2.05005,-1.163989,324.5348,170.5622,303.9763
7.395542,-1.036307,2.05005,-1.163989,324.5348,170.5622,303.9763
7.400301,-1.042194,2.05005,-1.157958,324.5242,170.3821,303.9626
7.403328,-1.042194,2.05005,-1.157958,324.5242,170.3821,303.9626
7.4063,-1.042194,2.05005,-1.157958,324.5242,170.3821,303.9626
7.409797,-1.042194,2.05005,-1.157958,324.5242,170.3821,303.9626
