time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
6.582592,0,1.244464,2.80571,335.5656,179.939,39.60022
6.589702,0,1.244464,2.80571,335.5656,179.939,39.60022
6.602804,0,1.244464,2.80571,335.5656,179.939,39.60022
6.605356,0,1.244464,2.80571,335.5656,179.939,39.60022
6.608655,0,1.244464,2.80571,335.5656,179.939,39.60022
6.613074,0,1.244464,2.80571,335.5656,179.939,39.60022
6.616429,0,1.244464,2.80571,335.5656,179.939,39.60022
6.619578,0,1.244464,2.80571,335.5656,179.939,39.60022
6.622584,0,1.244464,2.80571,335.5656,179.939,39.60022
6.627215,0,1.244464,2.80571,335.5656,179.939,39.60022
6.629975,0,1.244464,2.80571,335.5656,179.939,39.60022
6.633145,0,1.244464,2.80571,335.5656,179.939,39.60022
6.636401,0,1.244464,2.80571,335.5656,179.939,39.60022
6.639843,0,1.244464,2.80571,335.5656,179.939,39.60022
6.64372,0,1.244464,2.80571,335.5656,179.939,39.60022
6.647228,0,1.244464,2.80571,335.5656,179.939,39.60022
6.650117,0,1.244464,2.80571,335.5656,179.939,39.60022
6.653121,0,1.244464,2.80571,335.5656,179.939,39.60022
6.65687,0,1.244464,2.80571,335.5656,179.939,39.60022
6.660941,0,1.244464,2.80571,335.6389,179.939,39.60023
6.664773,0,1.244464,2.80571,335.6389,179.939,39.60023
6.667973,0,1.244464,2.80571,335.6389,179.939,39.60023
6.671386,0,1.244464,2.80571,335.6389,179.939,39.60023
6.675012,0,1.244464,2.80571,335.6389,179.939,39.60023
6.678133,0,1.244464,2.80571,335.6389,179.939,39.60023
6.681123,0,1.244464,2.80571,335.5656,179.939,39.60022
6.684829,0,1.244464,2.80571,335.5656,179.939,39.60022
6.687894,0,1.244464,2.80571,335.5656,179.939,39.60022
6.691355,0,1.244464,2.80571,335.5656,179.939,39.60022
6.694187,0,1.244464,2.80571,335.5656,179.939,39.60022
6.697549,0,1.244464,2.80571,335.5656,179.939,39.60022
6.70195,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.707094,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.710228,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.713408,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.716708,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.720221,0,1.244465,2.80571,335.5656,179.939,39.60022
6.723938,0,1.244464,2.80571,335.5656,179.939,39.60022
6.727147,0,1.244464,2.80571,335.5656,179.939,39.60022
6.730007,0,1.244464,2.80571,335.5656,179.939,39.60022
6.733047,0,1.244464,2.80571,335.5656,179.939,39.60022
6.737109,0,1.244464,2.80571,335.5656,179.939,39.60022
6.740198,0,1.244464,2.80571,335.6389,179.939,39.60023
6.74439,0,1.244464,2.80571,335.6389,179.939,39.60023
6.747356,0,1.244464,2.80571,335.6389,179.939,39.60023
6.750641,0,1.244464,2.80571,335.6389,179.939,39.60023
6.753945,0,1.244464,2.80571,335.6389,179.939,39.60023
6.7569,0,1.244464,2.80571,335.6389,179.939,39.60023
6.760203,0,1.244464,2.80571,335.5656,179.939,39.60022
6.763985,0,1.244464,2.80571,335.5656,179.939,39.60022
6.767892,0,1.244464,2.80571,335.5656,179.939,39.60022
6.771043,0,1.244464,2.80571,335.5656,179.939,39.60022
6.774295,0,1.244464,2.80571,335.5656,179.939,39.60022
6.777715,0,1.244464,2.80571,335.5656,179.939,39.60022
6.78121,0,1.244464,2.80571,335.5656,179.939,39.60022
6.784829,0,1.244464,2.80571,335.5656,179.939,39.60022
6.787755,0,1.244464,2.80571,335.5656,179.939,39.60022
6.790951,0,1.244464,2.80571,335.5656,179.939,39.60022
6.79785,0,1.244464,2.80571,335.5656,179.939,39.60022
6.799954,0,1.244464,2.80571,335.5656,179.939,39.60022
6.802714,0,1.244464,2.80571,335.5656,179.939,39.60022
6.80592,0,1.244464,2.80571,335.5656,179.939,39.60022
6.808805,0,1.244464,2.80571,335.5656,179.939,39.60022
6.812578,0,1.244464,2.80571,335.5656,179.939,39.60022
6.815856,0,1.244464,2.80571,335.5656,179.939,39.60022
6.818887,0,1.244464,2.80571,335.5656,179.939,39.60022
6.822138,0,1.244464,2.80571,335.5656,179.939,39.60022
6.826112,0,1.244464,2.80571,335.5656,179.939,39.60022
6.829655,0,1.244464,2.80571,335.5656,179.939,39.60022
6.832407,0,1.244464,2.80571,335.5656,179.939,39.60022
6.835595,0,1.244464,2.80571,335.5656,179.939,39.60022
6.838846,0,1.244464,2.80571,335.5656,179.939,39.60022
6.842398,0,1.244464,2.80571,335.5656,179.939,39.60022
