time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
62.14904,-0.062122,1.10005,-1.53369,309.9119,217.2691,275.5546
62.15927,-0.062122,1.10005,-1.53369,309.9119,217.2691,275.5546
62.17065,-0.062122,1.10005,-1.53369,309.984,217.2493,275.4966
62.18082,-0.062122,1.10005,-1.53369,309.9119,217.2691,275.5546
62.19171,-0.062122,1.10005,-1.53369,309.9119,217.2691,275.5546
62.20373,-0.062122,1.10005,-1.53369,309.9218,217.3562,275.4608
62.21327,-0.062122,1.10005,-1.53369,309.9218,217.3562,275.4608
62.22319,-0.062122,1.10005,-1.53369,309.9218,217.3562,275.4608
62.23327,-0.062122,1.10005,-1.53369,309.9218,217.3562,275.4608
62.24362,-0.062122,1.10005,-1.53369,309.9218,217.3562,275.4608
62.26085,-0.062122,1.10005,-1.53369,309.9218,217.3562,275.4608
62.27427,-0.062122,1.10005,-1.53369,309.9218,217.3562,275.4608
62.28515,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.29333,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.29837,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.30694,-0.062122,1.10005,-1.53369,309.9218,217.3562,275.4608
62.31703,-0.062122,1.10005,-1.53369,309.9218,217.3562,275.4608
62.32748,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.33699,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.34752,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.35781,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.36822,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.3788,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.38751,-0.062122,1.10005,-1.53369,309.7776,217.3962,275.4301
62.40042,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.41142,-0.062122,1.10005,-1.53369,309.8497,217.3762,275.4454
62.42044,-0.062122,1.10005,-1.53369,309.7776,217.3962,275.4301
62.43152,-0.062122,1.10005,-1.53369,309.7776,217.3962,275.4301
62.44215,-0.062081,1.10005,-1.528395,309.7962,217.3794,275.452
62.45302,-0.062081,1.10005,-1.528395,309.7962,217.3794,275.452
62.46268,-0.061895,1.10005,-1.504559,309.8735,217.2648,275.6118
62.47356,-0.061895,1.10005,-1.504559,309.8735,217.2648,275.6118
62.48351,-0.058284,1.100049,-1.456851,310.1758,216.9285,276.1038
62.49464,-0.058284,1.100049,-1.456851,310.1758,216.9285,276.1038
62.50475,-0.051169,1.100049,-1.359818,310.6525,216.3822,276.706
62.51611,-0.051169,1.100049,-1.359818,310.6525,216.3822,276.706
62.52615,-0.037741,1.100048,-1.231047,311.3344,215.6847,277.6282
62.5375,-0.037741,1.100048,-1.231047,311.3344,215.6847,277.6282
62.54763,-0.018477,1.100048,-1.071595,312.2259,214.7163,278.7623
62.55725,-0.018477,1.100048,-1.071595,312.2259,214.7163,278.7623
62.56789,0.01203,1.100048,-0.896725,313.3171,213.6209,279.98
62.5794,0.01203,1.100048,-0.896725,313.3171,213.6209,279.98
62.5893,0.04115,1.100048,-0.730496,314.3802,212.7,280.8907
62.60041,0.06082,1.100049,-0.609116,315.2179,212.0912,281.1808
62.61222,0.064903,1.100049,-0.610824,315.2179,212.0912,281.1808
62.62185,0.074159,1.100049,-0.514461,315.8943,211.7118,281.3967
62.63172,0.074398,1.100049,-0.514345,315.8943,211.7118,281.3967
62.64225,0.076171,1.100049,-0.443037,316.4444,211.4736,281.442
62.65168,0.076171,1.100049,-0.443037,316.4444,211.4736,281.442
62.66253,0.075605,1.10005,-0.392017,316.9692,211.3199,281.3264
62.67938,0.075605,1.10005,-0.392017,316.9692,211.3199,281.3264
62.6921,0.074479,1.100049,-0.290633,317.8321,210.9818,281.4889
62.70261,0.07398,1.100049,-0.24571,318.1655,210.9114,281.5546
62.71035,0.07398,1.100049,-0.24571,318.1655,210.9114,281.5546
62.71547,0.07398,1.100049,-0.24571,318.1655,210.9114,281.5546
62.72294,0.075703,1.100049,-0.15729,319.0097,210.5085,281.685
62.73447,0.075703,1.100049,-0.15729,319.0097,210.5085,281.685
62.74561,0.074537,1.100049,-0.056037,319.8036,210.1365,281.7428
62.75531,0.074537,1.100049,-0.056037,319.8036,210.1365,281.7428
62.76464,0.073379,1.100049,0.044481,320.6934,209.8433,281.5099
62.77659,0.073379,1.100049,0.044481,320.6934,209.8433,281.5099
62.7863,0.074931,1.100049,0.134157,321.5048,209.507,281.2035
62.79647,0.074931,1.100049,0.134157,321.5048,209.507,281.2035
62.80706,0.081396,1.100049,0.23202,322.4724,209.103,280.9436
62.81741,0.081396,1.100049,0.23202,322.4724,209.103,280.9436
62.82747,0.087893,1.100049,0.310847,323.1865,208.791,280.4688
62.83789,0.087893,1.100049,0.310847,323.1865,208.791,280.4688
