experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,needletip_movement_location_0
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,1,1,1,23.8109,34.66,0,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T001.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,2,1,2,37.63063,38.62,0,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T002.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,3,1,3,40.68647,41.86,0,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T003.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,4,1,4,44.65413,48.56,0,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T004.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,5,1,5,50.26945,50.82,0,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T005.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,6,2,1,52.62875,53.1,60,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T006.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,7,2,2,54.49098,55.2,60,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T007.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,8,2,3,57.71617,58.54,60,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T008.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,9,3,1,60.05029,60.82,45,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T009.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,10,3,2,62.14904,62.84,45,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T010.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,11,3,3,64.93034,64.93999,45,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T011.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,12,3,4,67.25808,68.06,45,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T012.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,13,3,5,69.85236,69.86,45,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T013.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,14,3,6,72.4874,73.3,45,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T014.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,15,3,7,74.60416,74.62,45,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T015.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,16,3,8,77.6679,78.56,45,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T016.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,17,3,9,80.58826,80.6,45,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T017.csv
reaching,flick-46bb401a-917d-4964-9355-2b5c5002423b,1,18,3,10,83.63492,83.64,45,reaching/flick-46bb401a-917d-4964-9355-2b5c5002423b/S001/trackers/needletip_movement_T018.csv
