timestamp,log_type,message,stacktrace
24.42647,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
27.8,Log,Collider enter = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:43).  
27.9,Log,Collider exit = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerExit (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:54).  
28.28,Log,Collider enter = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:43).  
29.5,Log,Collider exit = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerExit (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:54).  
31.48,Log,Collider enter = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:43).  
32.4,Log,Collider exit = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerExit (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:54).  
33.56,Log,Collider enter = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:43).  
33.64,Log,Collider exit = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerExit (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:54).  
33.8,Log,Collider enter = NeedleTip,UnityEngine.Debug:Log (object).  StartPointController:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/StartPointController.cs:43).  
