time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
61.82758,0.01614,1.10005,-1.432728,310.9852,231.5168,281.2887
61.83916,0.01614,1.10005,-1.432728,310.9852,231.5168,281.2887
61.84604,0.016136,1.10005,-1.43075,310.9877,231.4132,281.3311
61.85521,0.016136,1.10005,-1.43075,310.9877,231.4132,281.3311
61.86373,0.012906,1.10005,-1.428777,311.0142,231.4983,281.3445
61.87236,0.012906,1.10005,-1.428777,311.0142,231.4983,281.3445
61.88171,0.012888,1.10005,-1.418146,311.0722,231.4143,281.4558
61.88995,0.012888,1.10005,-1.418146,311.0722,231.4143,281.4558
61.89793,0.012888,1.10005,-1.418146,311.0722,231.4143,281.4558
61.907,0.012866,1.10005,-1.404852,311.1333,231.2272,281.6089
61.91471,0.012866,1.10005,-1.404852,311.1333,231.2272,281.6089
61.92373,0.012822,1.10005,-1.378247,311.2649,231.0401,281.8577
61.93188,0.012822,1.10005,-1.378247,311.2649,231.0401,281.8577
61.94091,0.012765,1.10005,-1.343628,311.4817,230.8337,282.0818
61.94857,0.012765,1.10005,-1.343628,311.4817,230.8337,282.0818
61.95704,0.012765,1.10005,-1.343628,311.4817,230.8337,282.0818
61.96516,0.012642,1.100049,-1.268261,311.856,230.2246,282.3615
61.97399,0.012642,1.100049,-1.268261,311.856,230.2246,282.3615
61.98217,0.012465,1.100049,-1.161243,312.3643,229.5737,282.9084
61.9908,0.012465,1.100049,-1.161243,312.3643,229.5737,282.9084
61.99883,0.012465,1.100049,-1.161243,312.3643,229.5737,282.9084
62.00709,0.01847,1.100049,-1.068706,312.9036,228.754,283.2744
62.01572,0.01847,1.100049,-1.068706,312.9036,228.754,283.2744
62.02374,0.030698,1.10005,-1.047873,313.0336,228.4097,283.0777
62.03279,0.030698,1.10005,-1.047873,313.0336,228.4097,283.0777
62.04087,0.03378,1.10005,-1.050545,313.0098,228.3247,282.6966
62.0499,0.03378,1.10005,-1.050545,313.0098,228.3247,282.6966
62.05729,0.03378,1.10005,-1.050545,313.0098,228.3247,282.6966
62.06582,0.033777,1.10005,-1.04986,313.0098,228.3246,282.4769
62.0745,0.033777,1.10005,-1.04986,313.0098,228.3246,282.4769
62.08267,0.030648,1.10005,-1.035759,313.0552,228.1128,282.5276
62.09145,0.030648,1.10005,-1.035759,313.0552,228.1128,282.5276
62.10025,0.030435,1.100049,-0.984008,313.4391,227.7275,282.9733
62.11066,0.030435,1.100049,-0.984008,313.4391,227.7275,282.9733
62.12637,0.036216,1.100049,-0.922023,313.7772,227.2018,283.3877
62.13447,0.036216,1.100049,-0.922024,313.7772,227.2018,283.3877
62.13875,0.036216,1.100049,-0.922024,313.7772,227.2018,283.3877
62.14421,0.03865,1.100049,-0.81262,314.2855,226.4571,284.225
62.15401,0.03865,1.100049,-0.81262,314.2855,226.4571,284.225
62.16341,0.049609,1.100049,-0.679097,314.9782,225.3756,285.2321
62.17241,0.049609,1.100049,-0.679097,314.9782,225.3756,285.2321
62.18068,0.059949,1.100048,-0.524723,315.7627,224.1902,286.48
62.18905,0.059949,1.100048,-0.524723,315.7627,224.1902,286.48
62.19741,0.059949,1.100048,-0.524723,315.7627,224.1902,286.48
62.20616,0.066908,1.100047,-0.362013,316.7048,222.9266,287.7087
62.21431,0.066908,1.100047,-0.362013,316.7048,222.9266,287.7087
62.22236,0.071158,1.100048,-0.238063,317.5522,221.8183,288.3611
62.23145,0.071158,1.100048,-0.238063,317.5522,221.8183,288.3611
62.23938,0.071158,1.100048,-0.238063,317.5522,221.8183,288.3611
62.2484,0.070229,1.100049,-0.151168,318.0997,220.9915,288.5345
62.2575,0.070229,1.100049,-0.151168,318.0997,220.9915,288.5345
62.26682,0.069329,1.100049,-0.066962,318.6575,220.1837,288.6868
62.27455,0.069329,1.100049,-0.066962,318.6575,220.1837,288.6868
62.28399,0.068313,1.100049,0.028123,319.2611,219.3686,288.7112
62.29352,0.068313,1.100049,0.028123,319.2611,219.3686,288.7112
62.30266,0.067354,1.100049,0.117771,319.9294,218.6598,288.6941
62.31233,0.067354,1.100049,0.117771,319.9294,218.6598,288.6941
62.32011,0.066483,1.100049,0.199253,320.5138,218.1025,288.6374
62.33009,0.066483,1.100049,0.199253,320.5138,218.1025,288.6374
62.33868,0.066483,1.100049,0.199253,320.5138,218.1025,288.6374
62.34861,0.06538,1.100049,0.302421,321.403,217.2095,288.3375
62.35688,0.06538,1.100049,0.302421,321.403,217.2095,288.3375
