experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,needletip_movement_location_0
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,1,1,1,28.78576,30.4,0,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T001.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,2,1,2,31.98119,32.94,0,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T002.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,3,1,3,34.30415,35.22,0,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T003.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,4,1,4,37.36775,38.24,0,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T004.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,5,1,5,39.47051,40.5,0,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T005.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,6,2,1,41.76879,42.48,60,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T006.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,7,2,2,43.64853,44.04,60,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T007.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,8,2,3,45.23351,45.92,60,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T008.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,9,3,1,47.24805,47.96,45,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T009.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,10,3,2,49.48876,50.18,45,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T010.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,11,3,3,51.44876,52.08,45,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T011.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,12,3,4,53.23055,53.96,45,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T012.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,13,3,5,56.34419,56.96,45,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T013.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,14,3,6,58.24895,58.9,45,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T014.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,15,3,7,59.92731,60.62,45,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T015.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,16,3,8,61.82758,62.36,45,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T016.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,17,3,9,63.65955,64.48,45,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T017.csv
reaching,folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8,1,18,3,10,65.91273,66.72,45,reaching/folk-176cb1fd-a15f-4d25-9ce2-2d23885c94b8/S001/trackers/needletip_movement_T018.csv
