time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
114.8676,-0.109289,2.05005,-1.487662,323.7212,210.5053,6.414848
114.8832,-0.109289,2.05005,-1.487662,323.7212,210.5053,6.414848
114.8966,-0.109289,2.05005,-1.487662,323.7212,210.5053,6.414848
114.9045,-0.109289,2.05005,-1.487662,323.7329,210.5897,6.389418
114.9159,-0.109289,2.05005,-1.487662,323.7329,210.5897,6.389418
114.9189,-0.109289,2.05005,-1.487662,323.7329,210.5897,6.389418
114.9225,-0.109289,2.05005,-1.487662,323.7329,210.5897,6.389418
114.927,-0.109289,2.05005,-1.487662,323.7329,210.5897,6.389418
114.9315,-0.109289,2.05005,-1.487662,323.7329,210.5897,6.389418
114.9373,-0.109289,2.05005,-1.487662,323.7329,210.5897,6.389418
114.946,-0.109289,2.05005,-1.487662,323.8051,210.5742,6.398551
114.9502,-0.109289,2.05005,-1.487662,323.8051,210.5742,6.398551
114.9544,-0.109289,2.05005,-1.487662,323.8051,210.5742,6.398551
114.9587,-0.109289,2.05005,-1.487662,323.8051,210.5742,6.398551
114.9643,-0.109289,2.05005,-1.487662,323.7447,210.674,6.36401
114.9687,-0.109289,2.05005,-1.487662,323.7447,210.674,6.36401
114.9725,-0.109289,2.05005,-1.487662,323.7447,210.674,6.36401
114.9769,-0.109289,2.05005,-1.487662,323.7447,210.674,6.36401
114.9804,-0.109289,2.05005,-1.487662,323.7447,210.674,6.36401
114.9869,-0.109289,2.05005,-1.487662,323.7447,210.674,6.36401
114.9917,-0.109289,2.05005,-1.487662,323.7447,210.674,6.36401
114.9967,-0.109289,2.05005,-1.487662,323.7447,210.674,6.36401
115.0012,-0.109323,2.05005,-1.490234,323.7244,210.6826,6.349567
115.0085,-0.109323,2.05005,-1.490234,323.7244,210.6826,6.349567
115.0121,-0.109323,2.05005,-1.490234,323.7244,210.6826,6.349567
115.0154,-0.109323,2.05005,-1.490234,323.7244,210.6826,6.349567
115.019,-0.109323,2.05005,-1.490234,323.7244,210.6826,6.349567
115.0247,-0.109323,2.05005,-1.490233,323.7966,210.6671,6.431984
115.0291,-0.109323,2.05005,-1.490234,323.7966,210.6671,6.431984
115.0327,-0.109323,2.05005,-1.490234,323.7966,210.6671,6.431984
115.0371,-0.109323,2.05005,-1.490234,323.7966,210.6671,6.431984
115.0429,-0.109323,2.05005,-1.490233,323.7966,210.6671,6.431984
115.0483,-0.109323,2.05005,-1.490234,323.7966,210.6671,6.431984
115.0544,-0.109323,2.05005,-1.490234,323.7966,210.6671,6.431984
115.0583,-0.109323,2.05005,-1.490234,323.7966,210.6671,6.431984
115.0619,-0.109323,2.05005,-1.490234,323.8084,210.7514,6.333348
115.066,-0.109323,2.05005,-1.490234,323.8084,210.7514,6.333348
115.0718,-0.109323,2.05005,-1.490234,323.8084,210.7514,6.333348
115.0754,-0.109323,2.05005,-1.490234,323.8084,210.7514,6.333348
115.0789,-0.109323,2.05005,-1.490234,323.8084,210.7514,6.333348
115.0824,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.0903,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.0943,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.0978,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1033,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1074,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1112,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1148,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1187,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1232,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1277,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1322,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1375,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1423,-0.109323,2.05005,-1.490234,323.6641,210.7825,6.314927
115.1481,-0.109323,2.05005,-1.490233,323.6641,210.7825,6.314927
115.1522,-0.109323,2.05005,-1.490234,323.6641,210.7825,6.314927
115.1563,-0.109323,2.05005,-1.490233,323.6641,210.7825,6.314927
115.1601,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1662,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1706,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1742,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1782,-0.109323,2.05005,-1.490234,323.7363,210.767,6.324149
115.1844,-0.109323,2.05005,-1.490234,323.7481,210.8513,6.298759
115.1901,-0.109323,2.05005,-1.490234,323.7481,210.8513,6.298759
115.1942,-0.109323,2.05005,-1.490234,323.7481,210.8513,6.298759
115.1977,-0.109323,2.05005,-1.490234,323.7481,210.8513,6.298759
115.2016,-0.109323,2.05005,-1.490234,323.676,210.8669,6.216267
115.2074,-0.109323,2.05005,-1.490234,323.676,210.8669,6.216267
115.2112,-0.109323,2.05005,-1.490234,323.676,210.8669,6.216267
115.2146,-0.109323,2.05005,-1.490234,323.676,210.8669,6.216267
115.218,-0.109323,2.05005,-1.490234,323.676,210.8669,6.216267
115.2221,-0.109323,2.05005,-1.490234,323.7481,210.8513,6.372005
115.2302,-0.109323,2.05005,-1.490234,323.7481,210.8513,6.372005
115.234,-0.109323,2.05005,-1.490234,323.7481,210.8513,6.372005
115.2374,-0.109323,2.05005,-1.490234,323.7481,210.8513,6.372005
115.2424,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.2474,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.251,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.2549,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.2602,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.165527
115.2662,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.165527
115.2716,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.165527
115.2769,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.165527
115.2814,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.2892,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.2925,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.2957,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.2989,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.3036,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.3084,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.3122,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.3156,-0.112739,2.05005,-1.490188,323.6998,211.0592,6.23877
115.3218,-0.112739,2.05005,-1.490188,323.7117,211.1435,6.213439
115.3293,-0.112739,2.05005,-1.490188,323.7117,211.1435,6.213439
115.334,-0.112739,2.05005,-1.490188,323.7117,211.1435,6.213439
115.3396,-0.112739,2.05005,-1.490188,323.7117,211.1435,6.213439
115.343,-0.112718,2.05005,-1.488662,323.7318,211.1348,6.228077
115.3471,-0.112718,2.05005,-1.488662,323.7318,211.1348,6.228077
115.3512,-0.112718,2.05005,-1.488662,323.7318,211.1348,6.228077
115.3557,-0.112718,2.05005,-1.488662,323.7318,211.1348,6.228077
115.3593,-0.112718,2.05005,-1.488662,323.7318,211.1348,6.228077
115.3633,-0.119549,2.05005,-1.488566,323.7318,211.1819,6.228077
115.3715,-0.119549,2.05005,-1.488566,323.7318,211.1819,6.228077
115.3762,-0.119549,2.05005,-1.488566,323.7318,211.1819,6.228077
115.3807,-0.122964,2.05005,-1.488516,323.6478,211.1369,6.244079
115.3874,-0.122964,2.05005,-1.488516,323.6478,211.1369,6.244079
115.391,-0.122964,2.05005,-1.488516,323.6478,211.1369,6.244079
115.3954,-0.122964,2.05005,-1.488516,323.6478,211.1369,6.244079
115.3997,-0.122964,2.05005,-1.488517,323.6478,211.1369,6.244079
115.405,-0.129795,2.05005,-1.488412,323.7199,211.1683,6.253377
115.4097,-0.129795,2.05005,-1.488412,323.7199,211.1683,6.253377
115.4155,-0.129795,2.05005,-1.488412,323.7199,211.1683,6.253377
115.4219,-0.136626,2.05005,-1.488303,323.708,211.1311,6.278696
115.4278,-0.136626,2.05005,-1.488303,323.708,211.1311,6.278696
115.4315,-0.136626,2.05005,-1.488303,323.708,211.1311,6.278696
115.4354,-0.136626,2.05005,-1.488303,323.708,211.1311,6.278696
115.4407,-0.146826,2.05005,-1.485557,323.6442,211.1245,6.309338
115.4462,-0.146826,2.05005,-1.485556,323.6442,211.1245,6.309338
115.4498,-0.146826,2.05005,-1.485557,323.6442,211.1245,6.309338
115.4552,-0.146826,2.05005,-1.485557,323.6442,211.1245,6.309338
115.4603,-0.153655,2.05005,-1.485433,323.6442,211.1716,6.309339
115.467,-0.153655,2.05005,-1.485433,323.6442,211.1716,6.309339
115.4727,-0.153655,2.05005,-1.485433,323.6442,211.1716,6.309339
115.4768,-0.153655,2.05005,-1.485433,323.6442,211.1716,6.309339
115.4806,-0.167259,2.05005,-1.482597,323.5686,211.104,6.365342
115.4868,-0.167259,2.05005,-1.482597,323.5686,211.104,6.365342
115.4913,-0.167259,2.05005,-1.482597,323.5686,211.104,6.365342
115.4949,-0.167259,2.05005,-1.482597,323.5686,211.104,6.365342
115.4987,-0.167259,2.05005,-1.482597,323.5686,211.104,6.365342
115.5041,-0.184267,2.05005,-1.479664,323.5049,211.1443,6.395982
115.5113,-0.184267,2.05005,-1.479664,323.5049,211.1443,6.395982
115.5159,-0.184267,2.05005,-1.479664,323.5049,211.1443,6.395982
115.5209,-0.204673,2.05005,-1.476612,323.5252,211.277,6.410443
115.527,-0.204673,2.05005,-1.476612,323.5252,211.277,6.410443
115.5311,-0.204673,2.05005,-1.476612,323.5252,211.277,6.410443
115.5351,-0.204673,2.05005,-1.476612,323.5252,211.277,6.410443
115.5408,-0.228334,2.05005,-1.468271,323.5627,211.2474,6.577583
115.5462,-0.228334,2.05005,-1.468271,323.5627,211.2474,6.577583
115.5499,-0.228334,2.05005,-1.468271,323.5627,211.2474,6.577583
115.5554,-0.228334,2.05005,-1.468271,323.5627,211.2474,6.577583
115.5606,-0.251869,2.05005,-1.457284,323.5486,211.2011,6.603115
115.5667,-0.251869,2.05005,-1.457284,323.5486,211.2011,6.603115
115.5724,-0.251869,2.05005,-1.457284,323.5486,211.2011,6.603115
115.576,-0.251869,2.05005,-1.457284,323.5486,211.2011,6.603115
115.58,-0.278828,2.05005,-1.448687,323.4424,211.249,6.678347
115.5872,-0.278828,2.05005,-1.448687,323.4424,211.249,6.678347
115.5911,-0.278828,2.05005,-1.448687,323.4424,211.249,6.678347
115.5948,-0.278828,2.05005,-1.448687,323.4424,211.249,6.678347
115.5998,-0.278828,2.05005,-1.448687,323.4424,211.249,6.678347
115.6059,-0.309224,2.05005,-1.442448,323.3272,211.3661,6.714055
115.6106,-0.309224,2.05005,-1.442448,323.3272,211.3661,6.714055
115.6147,-0.309224,2.05005,-1.442448,323.3272,211.3661,6.714055
115.6198,-0.309224,2.05005,-1.442448,323.3272,211.3661,6.714055
115.6233,-0.336332,2.05005,-1.439854,323.1693,211.3224,6.786038
115.6278,-0.336332,2.05005,-1.439854,323.1693,211.3224,6.786038
115.6323,-0.336332,2.05005,-1.439854,323.1693,211.3224,6.786038
115.637,-0.336332,2.05005,-1.439854,323.1693,211.3224,6.786038
115.641,-0.36338,2.05005,-1.436128,322.9394,211.3165,6.849244
115.6486,-0.36338,2.05005,-1.436128,322.9394,211.3165,6.849244
115.6537,-0.36338,2.05005,-1.436128,322.9394,211.3165,6.849244
115.6576,-0.36338,2.05005,-1.436128,322.9394,211.3165,6.849244
115.662,-0.390285,2.05005,-1.429736,322.7413,211.3629,6.901245
115.6673,-0.390285,2.05005,-1.429737,322.7413,211.3629,6.901245
115.6726,-0.390285,2.05005,-1.429736,322.7413,211.3629,6.901245
115.6773,-0.390285,2.05005,-1.429736,322.7413,211.3629,6.901245
115.6822,-0.417152,2.05005,-1.423256,322.5938,211.2241,7.013162
115.6889,-0.417152,2.05005,-1.423256,322.5938,211.2241,7.013162
115.6932,-0.417152,2.05005,-1.423256,322.5938,211.2241,7.013162
115.6993,-0.417152,2.05005,-1.423256,322.5938,211.2241,7.013162
115.7053,-0.443981,2.05005,-1.416687,322.3747,211.0992,7.116328
115.7107,-0.443981,2.05005,-1.416687,322.3747,211.0992,7.116328
115.7139,-0.443981,2.05005,-1.416687,322.3747,211.0992,7.116328
115.7171,-0.443981,2.05005,-1.416687,322.3747,211.0992,7.116328
115.7211,-0.464004,2.05005,-1.410414,322.2902,210.8122,7.263045
115.7273,-0.464004,2.05005,-1.410414,322.2902,210.8122,7.263045
115.7312,-0.464004,2.05005,-1.410414,322.2902,210.8122,7.263045
115.7349,-0.464004,2.05005,-1.410414,322.2902,210.8122,7.263045
115.7404,-0.476999,2.05005,-1.400373,322.2587,210.5463,7.411188
115.7483,-0.476999,2.05005,-1.400373,322.2587,210.5463,7.411188
115.7531,-0.476999,2.05005,-1.400373,322.2587,210.5463,7.411188
115.758,-0.476999,2.05005,-1.400373,322.2587,210.5463,7.411188
115.7616,-0.483302,2.05005,-1.392243,322.0625,210.2695,7.528187
115.766,-0.483302,2.05005,-1.392243,322.0625,210.2695,7.528187
115.7711,-0.483302,2.05005,-1.392243,322.0625,210.2695,7.528187
115.775,-0.483302,2.05005,-1.392243,322.0625,210.2695,7.528187
115.7786,-0.483302,2.05005,-1.392243,322.0625,210.2695,7.528187
