time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
114.8676,0.0197,2.05005,-0.02663,327.8665,155.9053,69.46104
114.8832,0.0197,2.05005,-0.02663,327.943,155.8322,69.54092
114.8966,0.0197,2.05005,-0.02663,327.943,155.8322,69.54092
114.9045,0.0197,2.05005,-0.02663,327.8665,155.9053,69.46104
114.9159,0.0197,2.05005,-0.02663,327.8665,155.9053,69.46104
114.9189,0.0197,2.05005,-0.02663,327.8665,155.9053,69.46104
114.9225,0.019697,2.05005,-0.025518,327.943,155.8322,69.54092
114.927,0.019697,2.05005,-0.025518,327.943,155.8322,69.54092
114.9315,0.019697,2.05005,-0.025518,327.943,155.8322,69.54092
114.9373,0.019697,2.05005,-0.025518,327.943,155.8322,69.54092
114.946,0.019697,2.05005,-0.025518,327.8699,155.8277,69.47005
114.9502,0.019697,2.05005,-0.025518,327.8699,155.8277,69.47005
114.9544,0.019697,2.05005,-0.025518,327.8699,155.8277,69.47005
114.9587,0.019697,2.05005,-0.025518,327.8699,155.8277,69.47005
114.9643,0.019697,2.05005,-0.025518,327.943,155.8322,69.46767
114.9687,0.019697,2.05005,-0.025518,327.943,155.8322,69.46767
114.9725,0.019697,2.05005,-0.025518,327.943,155.8322,69.46767
114.9769,0.019697,2.05005,-0.025518,327.943,155.8322,69.46767
114.9804,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
114.9869,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
114.9917,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
114.9967,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
115.0012,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
115.0085,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
115.0121,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
115.0154,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
115.019,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
115.0247,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
115.0291,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
115.0327,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
115.0371,0.019697,2.05005,-0.025518,327.8699,155.8277,69.54329
115.0429,0.019697,2.05005,-0.025518,327.8665,155.9053,69.46104
115.0483,0.019697,2.05005,-0.025518,327.8665,155.9053,69.46104
115.0544,0.019697,2.05005,-0.025518,327.8665,155.9053,69.46104
115.0583,0.019697,2.05005,-0.025518,327.8665,155.9053,69.46104
115.0619,0.019697,2.05005,-0.025518,327.943,155.8322,69.54092
115.066,0.019697,2.05005,-0.025518,327.943,155.8322,69.54092
115.0718,0.019697,2.05005,-0.025518,327.943,155.8322,69.54092
115.0754,0.019697,2.05005,-0.025518,327.943,155.8322,69.54092
115.0789,0.019697,2.05005,-0.025518,327.943,155.8322,69.54092
115.0824,0.019697,2.05005,-0.025518,327.943,155.8322,69.46767
115.0903,0.019697,2.05005,-0.025518,327.943,155.8322,69.46767
115.0943,0.019697,2.05005,-0.025518,327.943,155.8322,69.46767
115.0978,0.019697,2.05005,-0.025518,327.943,155.8322,69.46767
115.1033,0.019705,2.05005,-0.028217,327.9217,155.8262,69.55212
115.1074,0.019705,2.05005,-0.028217,327.9217,155.8262,69.55212
115.1112,0.019705,2.05005,-0.028217,327.9217,155.8262,69.55212
115.1148,0.019705,2.05005,-0.028217,327.9217,155.8262,69.55212
115.1187,0.019705,2.05005,-0.028217,327.9217,155.8262,69.55212
115.1232,0.019705,2.05005,-0.028217,327.9217,155.8262,69.47888
115.1277,0.019705,2.05005,-0.028217,327.9217,155.8262,69.47888
