timestamp,log_type,message,stacktrace
0,Log,Haptic Plugin Version : PluginVersion=1.1 PluginBuild=Jun 13 2019 OpenHapticsVersion=3.50.0,
0,Log,Look rotation viewing vector is zero,
0,Log,Haptic Plugin Version : PluginVersion=1.1 PluginBuild=Jun 13 2019 OpenHapticsVersion=3.50.0,
0,Log,Look rotation viewing vector is zero,
43.37347,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,
163.3016,Log,New Trial,
163.3182,Log,Started Coroutine at timestamp : 163.3182,
164.02,Log,End of Trial,
165.5682,Log,New Trial,
166.26,Log,End of Trial,
167.7848,Log,New Trial,
168.48,Log,End of Trial,
169.3347,Log,command trainee to move DOWN,
169.3347,Log,Finished Coroutine at timestamp : 169.3347,
170.0679,Log,New Trial,
170.0846,Log,Started Coroutine at timestamp : 170.0846,
170.66,Log,End of Trial,
172.0847,Log,New Trial,
172.8,Log,End of Trial,
173.9678,Log,New Trial,
174.66,Log,End of Trial,
176.0512,Log,New Trial,
176.1011,Log,command trainee to move DOWN,
176.1011,Log,Finished Coroutine at timestamp : 176.1011,
176.1178,Log,Started Coroutine at timestamp : 176.1178,
176.56,Log,End of Trial,
177.951,Log,New Trial,
178.66,Log,End of Trial,
180.1674,Log,New Trial,
181,Log,End of Trial,
182.1507,Log,command trainee to move DOWN,
182.1507,Log,Finished Coroutine at timestamp : 182.1507,
183.4007,Log,New Trial,
183.4173,Log,Started Coroutine at timestamp : 183.4173,
183.98,Log,End of Trial,
189.4503,Log,command trainee to move DOWN,
189.4503,Log,Finished Coroutine at timestamp : 189.4503,
224.0488,Log,New Trial,
224.0656,Log,Started Coroutine at timestamp : 224.0656,
224.76,Log,End of Trial,
226.1487,Log,New Trial,
226.44,Log,End of Trial,
227.7489,Log,New Trial,
228.36,Log,End of Trial,
229.5986,Log,New Trial,
230.0986,Log,command trainee to move DOWN,
230.0986,Log,Finished Coroutine at timestamp : 230.0986,
230.1153,Log,Started Coroutine at timestamp : 230.1153,
230.34,Log,End of Trial,
231.4653,Log,New Trial,
232,Log,End of Trial,
233.0652,Log,New Trial,
233.62,Log,End of Trial,
234.7151,Log,New Trial,
235.2,Log,End of Trial,
236.1317,Log,command trainee to move DOWN,
236.1317,Log,Finished Coroutine at timestamp : 236.1317,
236.565,Log,New Trial,
236.5817,Log,Started Coroutine at timestamp : 236.5817,
