time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
226.1487,0.054307,2.05005,-1.436756,347.7441,155.9786,231.1027
226.1654,0.050677,2.050048,-1.398549,347.9281,156.017,230.9897
226.1821,0.05015,2.050048,-1.31305,348.4245,156.0575,230.7069
226.1988,0.05015,2.050048,-1.31305,348.4245,156.0575,230.7069
226.2155,0.048742,2.050046,-1.084857,349.5168,156.2046,230.0704
226.2489,0.045637,2.050035,-0.581384,351.9419,156.5717,229.377
226.2655,0.044982,2.05004,-0.475249,352.5715,156.7519,229.278
226.2822,0.043349,2.05004,-0.210547,353.7726,157.1722,228.6103
226.2988,0.043349,2.05004,-0.210547,353.7726,157.1722,228.6103
226.3155,0.044337,2.050045,0.07856,354.9931,157.7038,227.6962
226.3487,0.037324,2.050047,0.334095,355.6872,158.728,226.7427
226.3654,0.036976,2.050046,0.394531,355.7945,159.0268,226.5425
226.3822,0.036333,2.050047,0.506197,356.0307,159.5517,225.9881
226.3989,0.036333,2.050047,0.506197,356.0307,159.5517,225.9881
226.4155,0.035451,2.050047,0.65943,356.543,160.2327,225.2965
226.4322,0.034982,2.050048,0.740926,356.9316,160.538,225.0527
