time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
231.4653,0,1.244464,2.80571,335.6389,180.0515,322.0919
231.4819,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.4986,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.5318,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.5486,0,1.244464,2.80571,335.7121,179.9952,322.136
231.5653,0,1.244464,2.80571,335.6389,180.0515,322.0919
231.5819,0,1.244464,2.80571,335.6389,179.9952,322.0627
231.5986,0,1.244464,2.80571,335.6389,179.9952,322.0627
231.6318,0,1.244464,2.80571,335.6389,180.0515,322.0919
231.6486,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.6653,0,1.244464,2.80571,335.6389,179.9952,322.0627
231.682,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.6986,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.7318,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.7485,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.7653,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.782,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.7986,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.8319,0,1.244464,2.80571,335.6389,180.0515,322.0919
231.8485,0,1.244464,2.80571,335.6389,180.0515,322.0919
231.8652,0,1.244464,2.80571,335.6389,179.9952,322.0627
231.8819,0,1.244464,2.80571,335.7121,179.9952,322.0627
231.9151,0,1.244464,2.80571,335.6389,179.9952,322.0627
231.9319,0,1.244464,2.80571,335.7121,179.9952,322.0627
231.9486,0,1.244464,2.80571,335.7121,179.9952,322.0627
231.9653,0,1.244464,2.80571,335.7121,180.0515,322.0919
231.9819,0,1.244465,2.80571,335.7121,179.9952,322.0627
