experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,trainee_right_stylus_movement_location_0,mentor_left_stylus_movement_location_0
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,1,1,1,163.3016,164.02,0,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T001.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T001.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,2,1,2,165.5682,166.26,0,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T002.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T002.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,3,1,3,167.7848,168.48,0,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T003.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T003.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,4,1,4,170.0679,170.66,0,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T004.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T004.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,5,1,5,172.0847,172.8,0,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T005.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T005.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,6,2,1,173.9678,174.66,60,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T006.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T006.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,7,2,2,176.0512,176.56,60,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T007.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T007.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,8,2,3,177.951,178.66,60,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T008.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T008.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,9,3,1,180.1674,181,45,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T009.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T009.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,10,3,2,183.4007,183.98,45,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T010.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T010.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,11,3,3,224.0488,224.76,45,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T011.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T011.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,12,3,4,226.1487,226.44,45,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T012.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T012.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,13,3,5,227.7489,228.36,45,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T013.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T013.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,14,3,6,229.5986,230.34,45,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T014.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T014.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,15,3,7,231.4653,232,45,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T015.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T015.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,16,3,8,233.0652,233.62,45,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T016.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T016.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,17,3,9,234.7151,235.2,45,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T017.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T017.csv
reaching,grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7,1,18,3,10,236.565,237.2,45,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/trainee_right_stylus_movement_T018.csv,reaching/grunt-3492c2e0-8f3c-45d2-b5ac-e5db2516cdb7/S001/trackers/mentor_left_stylus_movement_T018.csv
