time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
135.9444,0.805287,1.15,-0.794169,0,0,0
135.9509,0.805287,1.15,-0.794169,0,0,0
135.9531,0.805287,1.15,-0.794169,0,0,0
135.9562,0.805287,1.15,-0.794169,0,0,0
135.9591,0.805287,1.15,-0.794169,0,0,0
135.9618,0.805287,1.15,-0.794169,0,0,0
135.9649,0.805287,1.15,-0.794169,0,0,0
135.9674,0.805287,1.15,-0.794169,0,0,0
135.9699,0.805287,1.15,-0.794169,0,0,0
135.9725,0.805287,1.15,-0.794169,0,0,0
135.9751,0.805287,1.15,-0.794169,0,0,0
135.9779,0.805287,1.15,-0.794169,0,0,0
135.9803,0.805287,1.15,-0.794169,0,0,0
135.9835,0.805287,1.15,-0.794169,0,0,0
135.9864,0.805287,1.15,-0.794169,0,0,0
135.9888,0.805287,1.15,-0.794169,0,0,0
135.9914,0.805287,1.15,-0.794169,0,0,0
135.9945,0.805287,1.15,-0.794169,0,0,0
135.9967,0.805287,1.15,-0.794169,0,0,0
136.0027,0.805287,1.15,-0.794169,0,0,0
136.0061,0.805287,1.15,-0.794169,0,0,0
136.0085,0.805287,1.15,-0.794169,0,0,0
136.0116,0.805287,1.15,-0.794169,0,0,0
136.0146,0.805287,1.15,-0.794169,0,0,0
136.0243,0.805287,1.15,-0.794169,0,0,0
136.0292,0.805287,1.15,-0.794169,0,0,0
136.0313,0.805287,1.15,-0.794169,0,0,0
136.0338,0.805287,1.15,-0.794169,0,0,0
136.036,0.805287,1.15,-0.794169,0,0,0
136.0382,0.805287,1.15,-0.794169,0,0,0
136.0403,0.805287,1.15,-0.794169,0,0,0
136.0438,0.805287,1.15,-0.794169,0,0,0
136.0459,0.805287,1.15,-0.794169,0,0,0
136.0479,0.805287,1.15,-0.794169,0,0,0
136.0512,0.805287,1.15,-0.794169,0,0,0
136.0536,0.805287,1.15,-0.794169,0,0,0
136.0558,0.805287,1.15,-0.794169,0,0,0
136.058,0.805287,1.15,-0.794169,0,0,0
136.0609,0.805287,1.15,-0.794169,0,0,0
136.0636,0.805287,1.15,-0.794169,0,0,0
136.0662,0.805287,1.15,-0.794169,0,0,0
136.0686,0.805287,1.15,-0.794169,0,0,0
136.071,0.805287,1.15,-0.794169,0,0,0
136.0739,0.805287,1.15,-0.794169,0,0,0
136.076,0.805287,1.15,-0.794169,0,0,0
136.0788,0.805287,1.15,-0.794169,0,0,0
136.0824,0.805287,1.15,-0.794169,0,0,0
136.0853,0.805287,1.15,-0.794169,0,0,0
136.0875,0.805287,1.15,-0.794169,0,0,0
136.0904,0.805287,1.15,-0.794169,0,0,0
136.0933,0.805287,1.15,-0.794169,0,0,0
136.096,0.805287,1.15,-0.794169,0,0,0
136.0982,0.805287,1.15,-0.794169,0,0,0
136.1003,0.805287,1.15,-0.794169,0,0,0
136.1032,0.805287,1.15,-0.794169,0,0,0
136.1059,0.805287,1.15,-0.794169,0,0,0
136.1086,0.805287,1.15,-0.794169,0,0,0
136.112,0.805287,1.15,-0.794169,0,0,0
136.1143,0.805287,1.15,-0.794169,0,0,0
136.1165,0.805287,1.15,-0.794169,0,0,0
136.1189,0.805287,1.15,-0.794169,0,0,0
136.1212,0.805287,1.15,-0.794169,0,0,0
136.1243,0.805287,1.15,-0.794169,0,0,0
136.1267,0.805287,1.15,-0.794169,0,0,0
136.1293,0.805287,1.15,-0.794169,0,0,0
136.1318,0.805287,1.15,-0.794169,0,0,0
136.1344,0.805287,1.15,-0.794169,0,0,0
136.1365,0.805287,1.15,-0.794169,0,0,0
136.1386,0.805287,1.15,-0.794169,0,0,0
136.1408,0.805287,1.15,-0.794169,0,0,0
136.1441,0.805287,1.15,-0.794169,0,0,0
136.1465,0.805287,1.15,-0.794169,0,0,0
136.1485,0.805287,1.15,-0.794169,0,0,0
136.151,0.805287,1.15,-0.794169,0,0,0
136.1534,0.805287,1.15,-0.794169,0,0,0
136.1558,0.805287,1.15,-0.794169,0,0,0
136.1583,0.805287,1.15,-0.794169,0,0,0
136.1609,0.805287,1.15,-0.794169,0,0,0
136.1638,0.805287,1.15,-0.794169,0,0,0
136.166,0.805287,1.15,-0.794169,0,0,0
136.173,0.805287,1.15,-0.794169,0,0,0
136.1756,0.805287,1.15,-0.794169,0,0,0
136.1782,0.805287,1.15,-0.794169,0,0,0
136.1804,0.805287,1.15,-0.794169,0,0,0
136.1832,0.805287,1.15,-0.794169,0,0,0
136.1856,0.805287,1.15,-0.794169,0,0,0
136.1879,0.805287,1.15,-0.794169,0,0,0
136.1903,0.805287,1.15,-0.794169,0,0,0
136.1925,0.805287,1.15,-0.794169,0,0,0
136.1952,0.805287,1.15,-0.794169,0,0,0
136.1975,0.805287,1.15,-0.794169,0,0,0
136.2004,0.805287,1.15,-0.794169,0,0,0
136.2034,0.805287,1.15,-0.794169,0,0,0
136.2063,0.805287,1.15,-0.794169,0,0,0
136.2087,0.805287,1.15,-0.794169,0,0,0
136.2112,0.805287,1.15,-0.794169,0,0,0
136.214,0.805287,1.15,-0.794169,0,0,0
136.2165,0.805287,1.15,-0.794169,0,0,0
136.2193,0.805287,1.15,-0.794169,0,0,0
136.2218,0.805287,1.15,-0.794169,0,0,0
136.225,0.805287,1.15,-0.794169,0,0,0
136.2279,0.805287,1.15,-0.794169,0,0,0
136.2302,0.805287,1.15,-0.794169,0,0,0
136.2327,0.805287,1.15,-0.794169,0,0,0
136.235,0.805287,1.15,-0.794169,0,0,0
136.2374,0.805287,1.15,-0.794169,0,0,0
136.2403,0.805287,1.15,-0.794169,0,0,0
136.2438,0.805287,1.15,-0.794169,0,0,0
136.2464,0.805287,1.15,-0.794169,0,0,0
136.2493,0.805287,1.15,-0.794169,0,0,0
136.2522,0.805287,1.15,-0.794169,0,0,0
136.2551,0.805287,1.15,-0.794169,0,0,0
136.2572,0.805287,1.15,-0.794169,0,0,0
136.2595,0.805287,1.15,-0.794169,0,0,0
136.2621,0.805287,1.15,-0.794169,0,0,0
136.2652,0.805287,1.15,-0.794169,0,0,0
136.2672,0.805287,1.15,-0.794169,0,0,0
136.2698,0.805287,1.15,-0.794169,0,0,0
136.2723,0.805287,1.15,-0.794169,0,0,0
136.2746,0.805287,1.15,-0.794169,0,0,0
136.2771,0.805287,1.15,-0.794169,0,0,0
136.2792,0.805287,1.15,-0.794169,0,0,0
136.2814,0.805287,1.15,-0.794169,0,0,0
136.2844,0.805287,1.15,-0.794169,0,0,0
136.2868,0.805287,1.15,-0.794169,0,0,0
136.2892,0.805287,1.15,-0.794169,0,0,0
136.2915,0.805287,1.15,-0.794169,0,0,0
136.2949,0.805287,1.15,-0.794169,0,0,0
136.297,0.805287,1.15,-0.794169,0,0,0
136.2999,0.805287,1.15,-0.794169,0,0,0
136.3038,0.805287,1.15,-0.794169,0,0,0
136.3084,0.805287,1.15,-0.794169,0,0,0
136.312,0.805287,1.15,-0.794169,0,0,0
136.3157,0.805287,1.15,-0.794169,0,0,0
136.3185,0.805287,1.15,-0.794169,0,0,0
136.3273,0.805287,1.15,-0.794169,0,0,0
136.33,0.805287,1.15,-0.794169,0,0,0
136.3324,0.805287,1.15,-0.794169,0,0,0
136.3348,0.805287,1.15,-0.794169,0,0,0
136.3371,0.805287,1.15,-0.794169,0,0,0
136.3398,0.805287,1.15,-0.794169,0,0,0
136.3418,0.805287,1.15,-0.794169,0,0,0
136.3455,0.805287,1.15,-0.794169,0,0,0
136.3478,0.805287,1.15,-0.794169,0,0,0
