time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
135.9444,-0.086673,1.100049,-1.388886,319.8582,172.1082,344.4861
135.9509,-0.086673,1.100049,-1.388886,319.8582,172.1082,344.4861
135.9531,-0.086673,1.100049,-1.388886,319.8582,172.1082,344.4861
135.9562,-0.086673,1.100049,-1.388886,319.8582,172.1082,344.4861
135.9591,-0.086673,1.100049,-1.388886,319.8582,172.1082,344.4861
135.9618,-0.083099,1.100049,-1.354865,320.1121,172.1166,344.5097
135.9649,-0.083099,1.100049,-1.354865,320.1121,172.1166,344.5097
135.9674,-0.083099,1.100049,-1.354865,320.1121,172.1166,344.5097
135.9699,-0.083099,1.100049,-1.354865,320.1121,172.1166,344.5097
135.9725,-0.083099,1.100049,-1.354865,320.1121,172.1166,344.5097
135.9751,-0.083099,1.100049,-1.354865,320.1121,172.1166,344.5097
135.9779,-0.083099,1.100049,-1.354865,320.1121,172.1166,344.5097
135.9803,-0.07958,1.10005,-1.323465,320.3683,172.0409,344.4789
135.9835,-0.07958,1.10005,-1.323465,320.3683,172.0409,344.4789
135.9864,-0.07958,1.10005,-1.323465,320.3683,172.0409,344.4789
135.9888,-0.07958,1.10005,-1.323465,320.3683,172.0409,344.4789
135.9914,-0.07958,1.10005,-1.323465,320.3683,172.0409,344.4789
135.9945,-0.07958,1.10005,-1.323465,320.3683,172.0409,344.4789
135.9967,-0.07958,1.10005,-1.323465,320.3683,172.0409,344.4789
136.0027,-0.069553,1.100049,-1.270751,320.7569,172.024,344.3913
136.0061,-0.069553,1.100049,-1.270751,320.7569,172.024,344.3913
136.0085,-0.069553,1.100049,-1.270751,320.7569,172.024,344.3913
136.0116,-0.069553,1.100049,-1.270751,320.7569,172.024,344.3913
136.0146,-0.069553,1.100049,-1.270751,320.7569,172.024,344.3913
136.0243,-0.056611,1.10005,-1.230811,321.1534,171.9954,344.3275
136.0292,-0.056611,1.10005,-1.230811,321.1534,171.9954,344.3275
136.0313,-0.056611,1.10005,-1.230811,321.1534,171.9954,344.3275
136.0338,-0.056611,1.10005,-1.230811,321.1534,171.9954,344.3275
136.036,-0.056611,1.10005,-1.230811,321.1534,171.9954,344.3275
