time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
35.96122,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
35.97031,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
35.97274,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
35.97578,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
35.97852,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
35.98144,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
35.98833,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
35.99089,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
35.99339,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
35.99619,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
35.99873,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.00124,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.0043,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.00699,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.00959,1.82389,1.05005,-0.712936,35.61045,226.9792,324.1499
36.01234,1.82389,1.05005,-0.712936,35.61045,226.9792,324.1499
36.01518,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.01785,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.0204,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.0233,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.026,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
36.02861,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
36.03149,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.03407,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.03703,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.03971,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.04224,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.0471,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
36.04971,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
36.0525,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.0552,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.05775,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.06028,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.06358,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.06626,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.06886,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.07144,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
36.0741,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.07681,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.07998,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.09223,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.09863,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.10077,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.10341,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
36.10576,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
36.10844,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
36.11096,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.1141,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.11645,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.11868,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.12104,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.12688,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.12968,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
36.13243,1.82389,1.05005,-0.712936,35.60125,226.9103,324.1561
36.13506,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.1376,1.823891,1.05005,-0.712936,35.60125,226.9103,324.1561
36.14009,1.823891,1.05005,-0.712936,35.52897,226.9249,324.1646
36.14292,1.82389,1.05005,-0.712936,35.52897,226.9249,324.1646
36.14574,1.823891,1.05005,-0.712936,35.52897,226.9249,324.1646
36.14843,1.823891,1.05005,-0.712936,35.52897,226.9249,324.1646
36.15109,1.823891,1.05005,-0.712936,35.52897,226.9249,324.1646
36.15356,1.823891,1.05005,-0.712936,35.52897,226.9249,324.1646
36.15582,1.823891,1.05005,-0.712936,35.52897,226.9249,324.1646
36.15853,1.823891,1.05005,-0.712936,35.52897,226.9249,324.1646
36.16101,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.16703,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.16946,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.17193,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.17421,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.17702,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.17989,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.18258,1.82389,1.05005,-0.712936,35.61045,226.9792,324.1499
36.18702,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.18932,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.19207,1.82389,1.05005,-0.712936,35.61045,226.9792,324.1499
36.19462,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.19743,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
36.19993,1.823891,1.05005,-0.712936,35.61045,226.9792,324.1499
