time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
6.765005,0.030623,2.05005,-1.457314,355.3318,167.6916,214.0759
6.77295,0.030623,2.05005,-1.457314,355.3318,167.6916,214.0759
6.77936,0.030623,2.05005,-1.457314,355.3318,167.6916,214.0759
6.786537,0.030627,2.05005,-1.458324,355.3318,167.6916,214.0759
6.790264,0.030627,2.05005,-1.458324,355.3318,167.6916,214.0759
6.794022,0.030627,2.05005,-1.458324,355.3318,167.6916,214.0759
6.79832,0.030627,2.05005,-1.458324,355.3318,167.6916,214.0759
6.802776,0.030631,2.05005,-1.459332,355.254,167.7581,214.0538
6.806825,0.030631,2.05005,-1.459332,355.254,167.7581,214.0538
6.810115,0.030631,2.05005,-1.459332,355.254,167.7581,214.0538
6.813904,0.030631,2.05005,-1.459332,355.254,167.7581,214.0538
6.817055,0.030631,2.05005,-1.459332,355.254,167.7581,214.0538
6.821078,0.030635,2.05005,-1.460339,355.254,167.7581,214.0538
6.825459,0.030635,2.05005,-1.460339,355.254,167.7581,214.0538
6.829201,0.030635,2.05005,-1.460339,355.254,167.7581,214.0538
6.83381,0.030635,2.05005,-1.460339,355.254,167.7581,214.0538
6.839041,0.030635,2.05005,-1.460339,355.254,167.7581,214.0538
6.842348,0.030635,2.05005,-1.460339,355.3271,167.763,214.0534
6.84634,0.030635,2.05005,-1.460339,355.3271,167.763,214.0534
6.85008,0.030635,2.05005,-1.460339,355.3271,167.763,214.0534
6.85385,0.030635,2.05005,-1.460339,355.3271,167.763,214.0534
6.856973,0.030635,2.05005,-1.460339,355.3271,167.763,214.0534
6.860278,0.030638,2.05005,-1.461345,355.3271,167.763,214.0534
6.864786,0.030638,2.05005,-1.461345,355.3271,167.763,214.0534
6.874225,0.030638,2.05005,-1.461345,355.3271,167.763,214.0534
6.876603,0.030638,2.05005,-1.461345,355.3271,167.763,214.0534
6.879839,0.030638,2.05005,-1.461345,355.3271,167.763,214.0534
6.884183,0.030642,2.05005,-1.462351,355.2492,167.8295,214.1046
6.887835,0.030642,2.05005,-1.462351,355.2492,167.8295,214.1046
6.89103,0.030642,2.05005,-1.462351,355.2492,167.8295,214.1046
6.894005,0.030642,2.05005,-1.462351,355.2492,167.8295,214.1046
6.897917,0.030642,2.05005,-1.462351,355.2492,167.8295,214.1046
6.901949,0.027237,2.05005,-1.462363,355.2492,167.853,214.0313
6.905922,0.027237,2.05005,-1.462363,355.2492,167.853,214.0313
6.909007,0.027237,2.05005,-1.462363,355.2492,167.853,214.0313
6.911955,0.027237,2.05005,-1.462363,355.2492,167.853,214.0313
6.915923,0.027237,2.05005,-1.462363,355.2492,167.853,214.0313
6.91898,0.027237,2.05005,-1.462363,355.2492,167.853,214.0313
6.922423,0.027237,2.05005,-1.462363,355.2445,167.9245,214.0089
6.926018,0.027237,2.05005,-1.462363,355.2445,167.9245,214.0089
6.929896,0.027237,2.05005,-1.462363,355.2445,167.9245,214.0089
6.933158,0.027237,2.05005,-1.462363,355.2445,167.9245,214.0089
6.936438,0.027237,2.05005,-1.462363,355.2445,167.9245,214.0089
6.939804,0.027237,2.05005,-1.462363,355.2445,167.9245,214.0089
6.942837,0.023836,2.05005,-1.463377,355.2445,167.9481,214.0089
6.947724,0.023836,2.05005,-1.463377,355.2445,167.9481,214.0089
6.951297,0.023836,2.05005,-1.463377,355.2445,167.9481,214.0089
6.954251,0.023836,2.05005,-1.463377,355.2445,167.9481,214.0089
6.957466,0.023836,2.05005,-1.463377,355.2445,167.9481,214.0089
6.961263,0.01362,2.05005,-1.4634,355.1667,168.0853,213.9868
6.965351,0.01362,2.05005,-1.4634,355.1667,168.0853,213.9868
6.968048,0.01362,2.05005,-1.4634,355.1667,168.0853,213.9868
6.970798,0.01362,2.05005,-1.4634,355.1667,168.0853,213.9868
6.973871,0.01362,2.05005,-1.4634,355.1667,168.0853,213.9868
6.977319,0.01362,2.05005,-1.4634,355.1667,168.0853,213.9868
6.980931,0.00681,2.05005,-1.463409,355.1667,168.1325,213.9868
6.988104,0.00681,2.05005,-1.463409,355.1667,168.1325,213.9868
6.990495,0.00681,2.05005,-1.463409,355.1667,168.1325,213.9868
6.994402,0.00681,2.05005,-1.463409,355.1667,168.1325,213.9868
6.998295,0.00681,2.05005,-1.463409,355.1667,168.1325,213.9868
7.002232,0.006809,2.05005,-1.461831,355.1165,168.1281,213.9824
7.006049,0.006809,2.05005,-1.461831,355.1165,168.1281,213.9824
7.01018,0.006809,2.05005,-1.461831,355.1165,168.1281,213.9824
7.014094,0.006809,2.05005,-1.461831,355.1165,168.1281,213.9824
7.017103,0.006809,2.05005,-1.461831,355.1165,168.1281,213.9824
7.020238,0.006808,2.05005,-1.460251,355.1393,168.1284,213.9776
7.025175,0.006808,2.05005,-1.460252,355.1393,168.1284,213.9776
7.028928,0.006808,2.05005,-1.460252,355.1393,168.1284,213.9776
7.032835,0.006808,2.05005,-1.460251,355.1393,168.1284,213.9776
7.036262,0.006808,2.05005,-1.460251,355.1393,168.1284,213.9776
7.039453,0.006808,2.05005,-1.460251,355.1393,168.1284,213.9776
7.043162,0.006805,2.05005,-1.45767,355.2353,168.1337,213.9724
7.047284,0.006805,2.05005,-1.45767,355.2353,168.1337,213.9724
7.050201,0.006805,2.05005,-1.45767,355.2353,168.1337,213.9724
7.053814,0.006805,2.05005,-1.45767,355.2353,168.1337,213.9724
7.05755,0.006805,2.05005,-1.45767,355.2353,168.1337,213.9724
7.060907,0.006805,2.05005,-1.45767,355.0891,168.124,213.9732
7.065133,0.006805,2.05005,-1.45767,355.0891,168.124,213.9732
7.068179,0.006805,2.05005,-1.45767,355.0891,168.124,213.9732
7.071986,0.006805,2.05005,-1.45767,355.0891,168.124,213.9732
7.075066,0.006805,2.05005,-1.45767,355.0891,168.124,213.9732
7.077945,0.006805,2.05005,-1.45767,355.0891,168.124,213.9732
7.081247,0,2.05005,-1.452508,355.0571,168.2387,213.9417
7.085299,0,2.05005,-1.452508,355.0571,168.2387,213.9417
7.088694,0,2.05005,-1.452508,355.0571,168.2387,213.9417
7.091702,0,2.05005,-1.452508,355.0571,168.2387,213.9417
7.094485,0,2.05005,-1.452508,355.0571,168.2387,213.9417
7.097712,0,2.05005,-1.452508,355.0571,168.2387,213.9417
7.100886,-0.010195,2.05005,-1.447336,355.0297,168.3055,213.9325
7.105364,-0.010195,2.05005,-1.447336,355.0297,168.3055,213.9325
7.108099,-0.010195,2.05005,-1.447336,355.0297,168.3055,213.9325
7.111428,-0.010195,2.05005,-1.447336,355.0297,168.3055,213.9325
7.114906,-0.010195,2.05005,-1.447336,355.0297,168.3055,213.9325
7.118658,-0.010195,2.05005,-1.447336,355.0297,168.3055,213.9325
7.121459,-0.016982,2.05005,-1.442158,354.8561,168.3392,213.9242
7.125159,-0.016982,2.05005,-1.442158,354.8561,168.3392,213.9242
7.12888,-0.016982,2.05005,-1.442158,354.8561,168.3392,213.9242
7.132934,-0.016982,2.05005,-1.442158,354.8561,168.3392,213.9242
7.136007,-0.016982,2.05005,-1.442158,354.8561,168.3392,213.9242
7.139189,-0.016982,2.05005,-1.442158,354.8561,168.3392,213.9242
7.142503,-0.027145,2.05005,-1.434377,354.7785,168.3781,213.9107
7.147153,-0.027145,2.05005,-1.434377,354.7785,168.3781,213.9107
7.150868,-0.027145,2.05005,-1.434377,354.7785,168.3781,213.9107
7.154,-0.027145,2.05005,-1.434377,354.7785,168.3781,213.9107
7.157251,-0.027145,2.05005,-1.434377,354.7785,168.3781,213.9107
7.160127,-0.04407,2.05005,-1.426548,354.678,168.4873,213.902
7.16471,-0.04407,2.05005,-1.426548,354.678,168.4873,213.902
7.167662,-0.04407,2.05005,-1.426548,354.678,168.4873,213.902
7.170963,-0.04407,2.05005,-1.426548,354.678,168.4873,213.902
7.174118,-0.04407,2.05005,-1.426548,354.678,168.4873,213.902
7.17683,-0.04407,2.05005,-1.426548,354.678,168.4873,213.902
7.180686,-0.064369,2.05005,-1.421241,354.5091,168.5671,213.9158
7.184919,-0.064369,2.05005,-1.421241,354.5091,168.5671,213.9158
7.190237,-0.064369,2.05005,-1.421241,354.5091,168.5671,213.9158
7.193487,-0.064369,2.05005,-1.421241,354.5091,168.5671,213.9158
7.197456,-0.064369,2.05005,-1.421241,354.5091,168.5671,213.9158
7.200288,-0.084642,2.05005,-1.415884,354.4407,168.5567,213.9461
7.204875,-0.084642,2.05005,-1.415884,354.4407,168.5567,213.9461
7.207907,-0.084642,2.05005,-1.415884,354.4407,168.5567,213.9461
7.217734,-0.084642,2.05005,-1.415884,354.4407,168.5567,213.9461
7.220021,-0.094709,2.05005,-1.40801,354.2812,168.3981,214.0035
7.225008,-0.094709,2.05005,-1.40801,354.2812,168.3981,214.0035
7.228622,-0.094709,2.05005,-1.40801,354.2812,168.3981,214.0035
7.232095,-0.094709,2.05005,-1.40801,354.2812,168.3981,214.0035
7.235196,-0.094709,2.05005,-1.40801,354.2812,168.3981,214.0035
7.238698,-0.094709,2.05005,-1.40801,354.2812,168.3981,214.0035
7.242388,-0.097999,2.05005,-1.400204,354.231,168.342,214.0063
7.2461,-0.097999,2.05005,-1.400204,354.231,168.342,214.0063
7.249481,-0.097999,2.05005,-1.400204,354.231,168.342,214.0063
7.253124,-0.097999,2.05005,-1.400204,354.231,168.342,214.0063
7.256177,-0.097999,2.05005,-1.400204,354.231,168.342,214.0063
7.25979,-0.097999,2.05005,-1.400204,354.231,168.342,214.0063
7.263774,-0.108136,2.05005,-1.400077,354.0212,168.2539,214.0513
7.267464,-0.108136,2.05005,-1.400077,354.0212,168.2539,214.0513
7.271061,-0.108136,2.05005,-1.400077,354.0212,168.2539,214.0513
7.274519,-0.108136,2.05005,-1.400077,354.0212,168.2539,214.0513
7.27727,-0.108136,2.05005,-1.400077,354.0212,168.2539,214.0513
7.280754,-0.121576,2.05005,-1.394709,353.9255,168.2673,214.0639
7.284267,-0.121576,2.05005,-1.394709,353.9255,168.2673,214.0639
7.287466,-0.121576,2.05005,-1.394709,353.9255,168.2673,214.0639
7.290687,-0.121576,2.05005,-1.394709,353.9255,168.2673,214.0639
7.293895,-0.121576,2.05005,-1.394709,353.9255,168.2673,214.0639
7.297278,-0.121576,2.05005,-1.394709,353.9255,168.2673,214.0639
7.300182,-0.121537,2.05005,-1.39212,353.8069,168.1858,214.0815
7.305285,-0.121537,2.05005,-1.39212,353.8069,168.1858,214.0815
7.308414,-0.121537,2.05005,-1.39212,353.8069,168.1858,214.0815
7.311315,-0.121537,2.05005,-1.39212,353.8069,168.1858,214.0815
7.314947,-0.121537,2.05005,-1.39212,353.8069,168.1858,214.0815
7.318225,-0.121537,2.05005,-1.39212,353.8069,168.1858,214.0815
7.322291,-0.121537,2.05005,-1.39212,353.7387,168.1086,214.1038
7.325941,-0.121537,2.05005,-1.392119,353.7387,168.1086,214.1038
7.329204,-0.121537,2.05005,-1.39212,353.7387,168.1086,214.1038
7.332923,-0.121537,2.05005,-1.39212,353.7387,168.1086,214.1038
7.336563,-0.121537,2.05005,-1.39212,353.7387,168.1086,214.1038
7.340099,-0.121499,2.05005,-1.389529,353.6884,168.1042,214.0991
7.344338,-0.121499,2.05005,-1.389529,353.6884,168.1042,214.0991
7.347408,-0.121499,2.05005,-1.389529,353.6884,168.1042,214.0991
7.351284,-0.121499,2.05005,-1.389529,353.6884,168.1042,214.0991
7.354417,-0.121499,2.05005,-1.389529,353.6884,168.1042,214.0991
7.357562,-0.121499,2.05005,-1.389529,353.6884,168.1042,214.0991
7.360728,-0.121499,2.05005,-1.389529,353.6202,168.027,214.1213
7.364668,-0.121499,2.05005,-1.389529,353.6202,168.027,214.1213
7.368468,-0.121499,2.05005,-1.389529,353.6202,168.027,214.1213
7.371583,-0.121499,2.05005,-1.389529,353.6202,168.027,214.1213
7.374852,-0.121499,2.05005,-1.389529,353.6202,168.027,214.1213
7.378137,-0.121499,2.05005,-1.389529,353.6202,168.027,214.1213
7.382116,-0.121461,2.05005,-1.386939,353.643,168.0275,214.1161
7.385536,-0.121461,2.05005,-1.386939,353.643,168.0275,214.1161
7.389893,-0.121461,2.05005,-1.386939,353.643,168.0275,214.1161
7.392807,-0.121461,2.05005,-1.386939,353.643,168.0275,214.1161
7.39594,-0.121461,2.05005,-1.386939,353.643,168.0275,214.1161
7.399777,-0.121461,2.05005,-1.386939,353.643,168.0275,214.1161
7.402956,-0.121422,2.05005,-1.384348,353.6609,168.1004,214.0893
7.40663,-0.121422,2.05005,-1.384348,353.6609,168.1004,214.0893
7.409769,-0.121422,2.05005,-1.384348,353.6609,168.1004,214.0893
7.413638,-0.121422,2.05005,-1.384348,353.6609,168.1004,214.0893
7.416832,-0.121422,2.05005,-1.384348,353.6609,168.1004,214.0893
7.420047,-0.121384,2.05005,-1.381757,353.6885,168.0287,214.1057
7.424067,-0.121384,2.05005,-1.381757,353.6885,168.0287,214.1057
7.427177,-0.121384,2.05005,-1.381757,353.6885,168.0287,214.1057
7.431399,-0.121384,2.05005,-1.381757,353.6885,168.0287,214.1057
7.43458,-0.121384,2.05005,-1.381757,353.6885,168.0287,214.1057
7.437734,-0.121384,2.05005,-1.381757,353.6885,168.0287,214.1057
7.440826,-0.121307,2.05005,-1.376573,353.7389,167.9576,214.1168
7.445494,-0.121307,2.05005,-1.376573,353.7389,167.9576,214.1168
7.448675,-0.121307,2.05005,-1.376573,353.7389,167.9576,214.1168
7.451759,-0.121307,2.05005,-1.376573,353.7389,167.9576,214.1168
7.454981,-0.121307,2.05005,-1.376573,353.7389,167.9576,214.1168
7.457832,-0.121307,2.05005,-1.376573,353.7389,167.9576,214.1168
7.46127,-0.124503,2.05005,-1.36515,353.7341,167.9779,214.1016
7.465412,-0.124503,2.05005,-1.36515,353.7341,167.9779,214.1016
7.468583,-0.124503,2.05005,-1.36515,353.7341,167.9779,214.1016
7.471524,-0.124503,2.05005,-1.36515,353.7341,167.9779,214.1016
7.474713,-0.124503,2.05005,-1.36515,353.7341,167.9779,214.1016
7.478091,-0.124503,2.05005,-1.36515,353.7341,167.9779,214.1016
7.4813,-0.131108,2.05005,-1.357263,353.8349,167.8592,214.1232
7.485126,-0.131108,2.05005,-1.357263,353.8349,167.8592,214.1232
7.488376,-0.131108,2.05005,-1.357263,353.8349,167.8592,214.1232
7.491932,-0.131108,2.05005,-1.357263,353.8349,167.8592,214.1232
7.494888,-0.131108,2.05005,-1.357263,353.8349,167.8592,214.1232
7.498077,-0.131108,2.05005,-1.357263,353.8349,167.8592,214.1232
7.501019,-0.1377,2.05005,-1.349368,353.908,167.8594,214.1286
7.504602,-0.1377,2.05005,-1.349368,353.908,167.8594,214.1286
7.50875,-0.1377,2.05005,-1.349368,353.908,167.8594,214.1286
7.511761,-0.1377,2.05005,-1.349368,353.908,167.8594,214.1286
7.514827,-0.1377,2.05005,-1.349368,353.908,167.8594,214.1286
7.5178,-0.1377,2.05005,-1.349368,353.908,167.8594,214.1286
7.520906,-0.144095,2.05005,-1.331078,354.0315,167.7649,214.144
7.525245,-0.144095,2.05005,-1.331078,354.0315,167.7649,214.144
7.528162,-0.144095,2.05005,-1.331078,354.0315,167.7649,214.144
7.531613,-0.144095,2.05005,-1.331078,354.0315,167.7649,214.144
7.534463,-0.144095,2.05005,-1.331078,354.0315,167.7649,214.144
7.537608,-0.144095,2.05005,-1.331078,354.0315,167.7649,214.144
7.540935,-0.153863,2.05005,-1.315895,354.1273,167.69,214.1485
7.545361,-0.153863,2.05005,-1.315895,354.1273,167.69,214.1485
7.548531,-0.153863,2.05005,-1.315895,354.1273,167.69,214.1485
7.551874,-0.153863,2.05005,-1.315895,354.1273,167.69,214.1485
7.560894,-0.163489,2.05005,-1.295488,354.2458,167.6912,214.142
7.564072,-0.163489,2.05005,-1.295488,354.2458,167.6912,214.142
7.567342,-0.163489,2.05005,-1.295488,354.2458,167.6912,214.142
7.571259,-0.163489,2.05005,-1.295488,354.2458,167.6912,214.142
7.574471,-0.163489,2.05005,-1.295488,354.2458,167.6912,214.142
7.577385,-0.163489,2.05005,-1.295488,354.2458,167.6912,214.142
7.580888,-0.173042,2.05005,-1.27404,354.382,167.6896,214.1138
7.58485,-0.173042,2.05005,-1.27404,354.382,167.6896,214.1138
7.58773,-0.173042,2.05005,-1.27404,354.382,167.6896,214.1138
7.592601,-0.173042,2.05005,-1.27404,354.382,167.6896,214.1138
7.595348,-0.173042,2.05005,-1.27404,354.382,167.6896,214.1138
7.59848,-0.173042,2.05005,-1.27404,354.382,167.6896,214.1138
7.602193,-0.182248,2.05005,-1.239524,354.513,167.6845,214.0689
7.605774,-0.182248,2.05005,-1.239524,354.513,167.6845,214.0689
7.609011,-0.182248,2.05005,-1.239524,354.513,167.6845,214.0689
7.61231,-0.182248,2.05005,-1.239524,354.513,167.6845,214.0689
7.615687,-0.182248,2.05005,-1.239524,354.513,167.6845,214.0689
7.618731,-0.182248,2.05005,-1.239524,354.513,167.6845,214.0689
7.62153,-0.191344,2.05005,-1.203928,354.5986,167.6784,214.0344
7.625373,-0.191344,2.05005,-1.203928,354.5986,167.6784,214.0344
7.628517,-0.191344,2.05005,-1.203928,354.5986,167.6784,214.0344
7.632134,-0.191344,2.05005,-1.203928,354.5986,167.6784,214.0344
7.634968,-0.191344,2.05005,-1.203928,354.5986,167.6784,214.0344
7.637756,-0.191344,2.05005,-1.203928,354.5986,167.6784,214.0344
7.640748,-0.197066,2.05005,-1.168343,354.8024,167.6545,213.9877
7.644477,-0.197066,2.05005,-1.168343,354.8024,167.6545,213.9877
7.648898,-0.197066,2.05005,-1.168343,354.8024,167.6545,213.9877
7.652084,-0.197066,2.05005,-1.168343,354.8024,167.6545,213.9877
7.655198,-0.197066,2.05005,-1.168343,354.8024,167.6545,213.9877
7.658278,-0.197066,2.05005,-1.168343,354.8024,167.6545,213.9877
7.661695,-0.202662,2.05005,-1.130076,354.9737,167.6991,213.9105
7.665546,-0.202662,2.05005,-1.130076,354.9737,167.6991,213.9105
7.668633,-0.202662,2.050049,-1.130076,354.9737,167.6991,213.9105
7.67188,-0.202662,2.05005,-1.130076,354.9737,167.6991,213.9105
7.674884,-0.202662,2.05005,-1.130076,354.9737,167.6991,213.9105
7.678155,-0.202662,2.05005,-1.130076,354.9737,167.6991,213.9105
7.681409,-0.207863,2.05005,-1.07919,355.1949,167.6722,213.8407
7.685137,-0.207863,2.05005,-1.07919,355.1949,167.6722,213.8407
7.688288,-0.207863,2.05005,-1.07919,355.1949,167.6722,213.8407
7.691566,-0.207863,2.05005,-1.07919,355.1949,167.6722,213.8407
7.695595,-0.207863,2.05005,-1.07919,355.1949,167.6722,213.8407
7.699156,-0.207863,2.05005,-1.07919,355.1949,167.6722,213.8407
7.702618,-0.205959,2.05005,-1.006836,355.6154,167.6743,213.7014
7.706289,-0.205959,2.05005,-1.006836,355.6154,167.6743,213.7014
7.710438,-0.205959,2.05005,-1.006836,355.6154,167.6743,213.7014
7.714514,-0.205959,2.05005,-1.006836,355.6154,167.6743,213.7014
7.718558,-0.205959,2.05005,-1.006836,355.6154,167.6743,213.7014
7.721973,-0.204256,2.05005,-0.942146,355.9368,167.8188,213.55
7.72587,-0.204256,2.05005,-0.942146,355.9368,167.8188,213.55
7.728915,-0.204256,2.05005,-0.942146,355.9368,167.8188,213.55
7.732522,-0.204256,2.05005,-0.942146,355.9368,167.8188,213.55
7.735737,-0.204256,2.05005,-0.942146,355.9368,167.8188,213.55
7.738552,-0.204256,2.05005,-0.942146,355.9368,167.8188,213.55
7.742109,-0.202297,2.05005,-0.867748,356.4959,167.9724,213.3785
7.745971,-0.202297,2.05005,-0.867748,356.4959,167.9724,213.3785
7.74903,-0.202297,2.05005,-0.867748,356.4959,167.9724,213.3785
7.752433,-0.202297,2.05005,-0.867748,356.4959,167.9724,213.3785
7.755518,-0.202297,2.05005,-0.867748,356.4959,167.9724,213.3785
7.759323,-0.202297,2.05005,-0.867748,356.4959,167.9724,213.3785
7.762525,-0.197314,2.050049,-0.797461,356.9715,168.3139,213.1626
7.766357,-0.197314,2.05005,-0.797461,356.9715,168.3139,213.1626
7.769709,-0.197314,2.05005,-0.797461,356.9715,168.3139,213.1626
7.773547,-0.197314,2.05005,-0.797461,356.9715,168.3139,213.1626
7.776576,-0.197314,2.05005,-0.797461,356.9715,168.3139,213.1626
7.780045,-0.192411,2.05005,-0.728067,357.5065,168.5132,212.9892
7.784862,-0.192411,2.05005,-0.728067,357.5065,168.5132,212.9892
7.788087,-0.192411,2.05005,-0.728067,357.5065,168.5132,212.9892
7.792889,-0.192411,2.05005,-0.728067,357.5065,168.5132,212.9892
7.795702,-0.192411,2.05005,-0.728067,357.5065,168.5132,212.9892
7.798978,-0.192411,2.05005,-0.728067,357.5065,168.5132,212.9892
7.802104,-0.191097,2.05005,-0.676528,357.8752,168.8028,212.8262
7.806247,-0.191097,2.05005,-0.676528,357.8752,168.8028,212.8262
7.809186,-0.191097,2.05005,-0.676528,357.8752,168.8028,212.8262
7.8123,-0.191097,2.05005,-0.676528,357.8752,168.8028,212.8262
7.815522,-0.191097,2.05005,-0.676528,357.8752,168.8028,212.8262
7.819128,-0.191097,2.05005,-0.676528,357.8752,168.8028,212.8262
7.82203,-0.186185,2.05005,-0.603672,358.4521,169.1446,212.6236
7.825631,-0.186185,2.05005,-0.603672,358.4521,169.1446,212.6236
7.828855,-0.186185,2.05005,-0.603672,358.4521,169.1446,212.6236
7.832578,-0.186185,2.05005,-0.603672,358.4521,169.1446,212.6236
7.836084,-0.186185,2.05005,-0.603672,358.4521,169.1446,212.6236
7.839278,-0.186185,2.05005,-0.603672,358.4521,169.1446,212.6236
7.842451,-0.181818,2.05005,-0.550411,358.7676,169.5511,212.4394
7.846215,-0.181818,2.05005,-0.550411,358.7676,169.5511,212.4394
7.849311,-0.181818,2.05005,-0.550411,358.7676,169.5511,212.4394
7.852167,-0.181818,2.05005,-0.550411,358.7676,169.5511,212.4394
7.85513,-0.181818,2.05005,-0.550411,358.7676,169.5511,212.4394
7.858026,-0.181818,2.05005,-0.550411,358.7676,169.5511,212.4394
7.860972,-0.173948,2.05005,-0.47468,359.2958,169.937,212.2344
7.865867,-0.173948,2.05005,-0.47468,359.2958,169.937,212.2344
7.86927,-0.173948,2.05005,-0.47468,359.2958,169.937,212.2344
7.872437,-0.173948,2.05005,-0.47468,359.2958,169.937,212.2344
7.875182,-0.173948,2.05005,-0.47468,359.2958,169.937,212.2344
7.878201,-0.173948,2.05005,-0.47468,359.2958,169.937,212.2344
7.881771,-0.166965,2.05005,-0.432002,359.6226,170.2495,212.0908
7.885375,-0.166965,2.05005,-0.432002,359.6226,170.2495,212.0908
7.888464,-0.166965,2.05005,-0.432002,359.6226,170.2495,212.0908
7.895137,-0.166965,2.05005,-0.432002,359.6226,170.2495,212.0908
7.898629,-0.166965,2.05005,-0.432002,359.6226,170.2495,212.0908
7.901621,-0.147756,2.05005,-0.368073,0.040258,170.5399,211.9236
7.905526,-0.147756,2.05005,-0.368073,0.040258,170.5399,211.9236
7.908546,-0.147756,2.05005,-0.368073,0.040258,170.5399,211.9236
7.911864,-0.147756,2.05005,-0.368073,0.040258,170.5399,211.9236
7.915692,-0.147756,2.05005,-0.368073,0.040258,170.5399,211.9236
7.91854,-0.147756,2.05005,-0.368073,0.040258,170.5399,211.9236
7.92152,-0.119759,2.05005,-0.285337,0.691594,170.7101,211.733
7.92534,-0.119759,2.05005,-0.285337,0.691594,170.7101,211.733
7.928864,-0.119759,2.05005,-0.285337,0.691594,170.7101,211.733
7.931809,-0.119759,2.05005,-0.285337,0.691594,170.7101,211.733
7.934609,-0.119759,2.05005,-0.285337,0.691594,170.7101,211.733
7.937366,-0.119759,2.05005,-0.285337,0.691594,170.7101,211.733
7.94025,-0.086701,2.05005,-0.210489,1.301461,170.8831,211.5619
7.944863,-0.086701,2.05005,-0.210489,1.301461,170.8831,211.5619
7.948427,-0.086701,2.05005,-0.210489,1.301461,170.8831,211.5619
7.95139,-0.086701,2.05005,-0.210489,1.301461,170.8831,211.5619
7.954579,-0.086701,2.05005,-0.210489,1.301461,170.8831,211.5619
7.957513,-0.086701,2.05005,-0.210489,1.301461,170.8831,211.5619
7.960634,-0.057181,2.05005,-0.13535,2.081414,171.154,211.4607
7.964694,-0.057181,2.05005,-0.13535,2.081414,171.154,211.4607
7.967992,-0.057181,2.05005,-0.13535,2.081414,171.154,211.4607
7.970739,-0.057181,2.05005,-0.13535,2.081414,171.154,211.4607
7.974117,-0.057181,2.05005,-0.13535,2.081414,171.154,211.4607
7.977563,-0.057181,2.05005,-0.13535,2.081414,171.154,211.4607
7.981219,-0.036701,2.05005,-0.048071,3.048705,171.7113,212.0612
7.98526,-0.036701,2.05005,-0.048071,3.048705,171.7113,212.0612
7.988495,-0.036701,2.05005,-0.048071,3.048705,171.7113,212.0612
7.993488,-0.036701,2.05005,-0.048071,3.048705,171.7113,212.0612
7.996462,-0.036701,2.05005,-0.048071,3.048705,171.7113,212.0612
7.999431,-0.036701,2.05005,-0.048071,3.048705,171.7113,212.0612
8.002389,-0.030791,2.05005,0.010217,3.769412,172.3651,213.6781
8.006738,-0.030791,2.05005,0.010217,3.769412,172.3651,213.6781
8.009772,-0.030791,2.05005,0.010217,3.769412,172.3651,213.6781
8.012938,-0.030791,2.05005,0.010217,3.769412,172.3651,213.6781
8.016163,-0.030791,2.05005,0.010217,3.769412,172.3651,213.6781
8.019395,-0.030791,2.05005,0.010217,3.769412,172.3651,213.6781
8.022595,-0.027685,2.05005,0.084818,4.856807,172.923,214.7251
8.026038,-0.027685,2.05005,0.084818,4.856807,172.923,214.7251
8.029128,-0.027685,2.05005,0.084818,4.856807,172.923,214.7251
8.032353,-0.027685,2.05005,0.084818,4.856807,172.923,214.7251
8.035893,-0.027685,2.05005,0.084818,4.856807,172.923,214.7251
8.038808,-0.027685,2.05005,0.084818,4.856807,172.923,214.7251
8.0417,-0.027396,2.05005,0.154993,6.074581,173.3612,215.147
8.045499,-0.027396,2.05005,0.154993,6.074581,173.3612,215.147
8.0488,-0.027396,2.05005,0.154993,6.074581,173.3612,215.147
