time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
6.765005,0,1.244464,2.80571,335.7115,179.6012,307.2831
6.77295,0,1.244464,2.80571,335.7115,179.6012,307.2831
6.77936,0,1.244464,2.80571,335.7115,179.6012,307.2831
6.786537,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.790264,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.794022,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.79832,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.802776,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.806825,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.810115,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.813904,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.817055,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.821078,0,1.244464,2.80571,335.7113,179.5449,307.1808
6.825459,0,1.244464,2.80571,335.7113,179.5449,307.1808
6.829201,0,1.244464,2.80571,335.7113,179.5449,307.1808
6.83381,0,1.244464,2.80571,335.7113,179.5449,307.1808
6.839041,0,1.244464,2.80571,335.7113,179.5449,307.1808
6.842348,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.84634,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.85008,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.85385,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.856973,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.860278,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.864786,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.874225,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.876603,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.879839,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.884183,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.887835,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.89103,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.894005,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.897917,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.901949,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.905922,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.909007,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.911955,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.915923,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.91898,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.922423,0,1.244465,2.80571,335.7113,179.5449,307.1808
6.926018,0,1.244464,2.80571,335.7113,179.5449,307.1808
6.929896,0,1.244464,2.80571,335.7113,179.5449,307.1808
6.933158,0,1.244464,2.80571,335.7113,179.5449,307.1808
6.936438,0,1.244464,2.80571,335.7113,179.5449,307.1808
6.939804,0,1.244464,2.80571,335.7113,179.5449,307.1808
6.942837,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.947724,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.951297,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.954251,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.957466,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.961263,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.965351,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.968048,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.970798,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.973871,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.977319,0,1.244464,2.80571,335.7115,179.6012,307.2099
6.980931,0,1.244464,2.80571,335.7113,179.5449,307.254
6.988104,0,1.244464,2.80571,335.7113,179.5449,307.254
6.990495,0,1.244464,2.80571,335.7113,179.5449,307.254
6.994402,0,1.244464,2.80571,335.7113,179.5449,307.254
6.998295,0,1.244464,2.80571,335.7113,179.5449,307.254
7.002232,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.006049,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.01018,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.014094,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.017103,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.020238,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.025175,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.028928,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.032835,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.036262,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.039453,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.043162,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.047284,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.050201,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.053814,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.05755,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.060907,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.065133,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.068179,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.071986,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.075066,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.077945,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.081247,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.085299,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.088694,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.091702,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.094485,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.097712,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.100886,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.105364,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.108099,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.111428,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.114906,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.118658,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.121459,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.125159,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.12888,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.132934,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.136007,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.139189,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.142503,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.147153,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.150868,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.154,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.157251,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.160127,0,1.244465,2.80571,335.7115,179.6012,307.2099
7.16471,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.167662,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.170963,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.174118,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.17683,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.180686,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.184919,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.190237,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.193487,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.197456,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.200288,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.204875,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.207907,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.217734,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.220021,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.225008,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.228622,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.232095,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.235196,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.238698,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.242388,0,1.244464,2.80571,335.7113,179.5449,307.254
7.2461,0,1.244464,2.80571,335.7113,179.5449,307.254
7.249481,0,1.244464,2.80571,335.7113,179.5449,307.254
7.253124,0,1.244464,2.80571,335.7113,179.5449,307.254
7.256177,0,1.244464,2.80571,335.7113,179.5449,307.254
7.25979,0,1.244464,2.80571,335.7113,179.5449,307.254
7.263774,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.267464,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.271061,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.274519,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.27727,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.280754,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.284267,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.287466,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.290687,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.293895,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.297278,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.300182,0,1.244464,2.80571,335.7113,179.5449,307.254
7.305285,0,1.244464,2.80571,335.7113,179.5449,307.254
7.308414,0,1.244464,2.80571,335.7113,179.5449,307.254
7.311315,0,1.244464,2.80571,335.7113,179.5449,307.254
7.314947,0,1.244464,2.80571,335.7113,179.5449,307.254
7.318225,0,1.244464,2.80571,335.7113,179.5449,307.254
7.322291,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.325941,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.329204,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.332923,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.336563,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.340099,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.344338,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.347408,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.351284,0,1.244464,2.80571,335.7113,179.5449,307.1808
