time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
7.944527,-0.129548,2.05005,-1.472596,327.688,182.5659,234.9628
7.952116,-0.129548,2.05005,-1.472596,327.688,182.5659,234.9628
7.957325,-0.129548,2.05005,-1.472596,327.688,182.5659,234.9628
7.959877,-0.129548,2.05005,-1.472596,327.688,182.5659,234.9628
7.963198,-0.129563,2.05005,-1.473536,327.7606,182.4813,234.9164
7.968148,-0.129563,2.05005,-1.473536,327.7606,182.4813,234.9164
7.970925,-0.129563,2.05005,-1.473536,327.7606,182.4813,234.9164
7.973619,-0.129563,2.05005,-1.473536,327.7606,182.4813,234.9164
7.976484,-0.129563,2.05005,-1.473536,327.7606,182.4813,234.9164
7.97993,-0.129563,2.05005,-1.473536,327.7606,182.4813,234.9164
7.98293,-0.129563,2.05005,-1.473536,327.6874,182.482,234.916
7.990794,-0.129563,2.05005,-1.473536,327.6874,182.482,234.916
7.993051,-0.129563,2.05005,-1.473536,327.6874,182.482,234.916
7.996001,-0.129563,2.05005,-1.473536,327.6874,182.482,234.916
7.998812,-0.129563,2.05005,-1.473536,327.6874,182.482,234.916
8.002235,-0.132987,2.05005,-1.474421,327.76,182.421,235.0161
8.007611,-0.132987,2.05005,-1.474421,327.76,182.421,235.0161
8.011028,-0.132987,2.05005,-1.474421,327.76,182.421,235.0161
8.013783,-0.132987,2.05005,-1.474421,327.76,182.421,235.0161
8.016941,-0.132987,2.05005,-1.474421,327.76,182.421,235.0161
8.019876,-0.132987,2.05005,-1.474421,327.76,182.421,235.0161
8.022826,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.027852,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.030568,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.033477,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.036687,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.040707,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.043984,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.046676,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.049794,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.052737,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.056379,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.916
8.06053,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.9892
8.064927,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.9892
8.067883,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.9892
8.070372,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.9892
8.073502,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.9892
8.076087,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.9892
8.078765,-0.132987,2.05005,-1.474421,327.6874,182.5056,234.9892
8.081205,-0.133002,2.05005,-1.475358,327.76,182.421,235.0161
8.085065,-0.133002,2.05005,-1.475358,327.76,182.421,235.0161
8.088085,-0.133002,2.05005,-1.475358,327.76,182.421,235.0161
8.090795,-0.133002,2.05005,-1.475358,327.76,182.421,235.0161
8.09343,-0.133002,2.05005,-1.475358,327.76,182.421,235.0161
8.095992,-0.133002,2.05005,-1.475358,327.76,182.421,235.0161
8.098719,-0.133002,2.05005,-1.475358,327.76,182.421,235.0161
8.101829,-0.133002,2.05005,-1.475358,327.6874,182.5056,234.9892
8.107578,-0.133002,2.05005,-1.475358,327.6874,182.5056,234.9892
8.109945,-0.133002,2.05005,-1.475358,327.6874,182.5056,234.9892
8.112556,-0.133002,2.05005,-1.475358,327.6874,182.5056,234.9892
8.115123,-0.133002,2.05005,-1.475358,327.6874,182.5056,234.9892
8.118808,-0.133002,2.05005,-1.475358,327.6874,182.5056,234.9892
8.121629,-0.129592,2.05005,-1.475412,327.6874,182.482,234.916
8.126603,-0.129592,2.05005,-1.475412,327.6874,182.482,234.916
8.12889,-0.129592,2.05005,-1.475412,327.6874,182.482,234.916
8.131802,-0.129592,2.05005,-1.475412,327.6874,182.482,234.916
8.135644,-0.129592,2.05005,-1.475412,327.6874,182.482,234.916
8.138162,-0.129592,2.05005,-1.475412,327.6874,182.482,234.916
8.140719,-0.129592,2.05005,-1.475412,327.6148,182.5667,234.8891
