time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
7.944527,0,1.244464,2.80571,335.6389,179.9952,307.4137
7.952116,0,1.244464,2.80571,335.6389,179.9952,307.4137
7.957325,0,1.244464,2.80571,335.6389,179.9952,307.4137
7.959877,0,1.244464,2.80571,335.6389,179.9952,307.4137
7.963198,0,1.244465,2.80571,335.6389,179.9952,307.4137
7.968148,0,1.244465,2.80571,335.6389,179.9952,307.4137
7.970925,0,1.244465,2.80571,335.6389,179.9952,307.4137
7.973619,0,1.244465,2.80571,335.6389,179.9952,307.4137
7.976484,0,1.244465,2.80571,335.6389,179.9952,307.4137
7.97993,0,1.244465,2.80571,335.6389,179.9952,307.4137
7.98293,0,1.244464,2.80571,335.6389,179.939,307.3846
7.990794,0,1.244464,2.80571,335.6389,179.939,307.3846
7.993051,0,1.244464,2.80571,335.6389,179.939,307.3846
7.996001,0,1.244464,2.80571,335.6389,179.939,307.3846
7.998812,0,1.244464,2.80571,335.6389,179.939,307.3846
8.002235,0,1.244464,2.80571,335.6389,179.939,307.3846
8.007611,0,1.244464,2.80571,335.6389,179.939,307.3846
8.011028,0,1.244464,2.80571,335.6389,179.939,307.3846
8.013783,0,1.244464,2.80571,335.6389,179.939,307.3846
8.016941,0,1.244464,2.80571,335.6389,179.939,307.3846
8.019876,0,1.244464,2.80571,335.6389,179.939,307.3846
8.022826,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.027852,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.030568,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.033477,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.036687,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.040707,0,1.244464,2.80571,335.6389,179.939,307.3846
8.043984,0,1.244464,2.80571,335.6389,179.939,307.3846
8.046676,0,1.244464,2.80571,335.6389,179.939,307.3846
8.049794,0,1.244464,2.80571,335.6389,179.939,307.3846
8.052737,0,1.244464,2.80571,335.6389,179.939,307.3846
8.056379,0,1.244464,2.80571,335.6389,179.939,307.3846
8.06053,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.064927,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.067883,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.070372,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.073502,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.076087,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.078765,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.081205,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.085065,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.088085,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.090795,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.09343,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.095992,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.098719,0,1.244464,2.80571,335.6389,179.9952,307.4869
8.101829,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.107578,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.109945,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.112556,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.115123,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.118808,0,1.244464,2.80571,335.6389,179.9952,307.4137
8.121629,0,1.244464,2.80571,335.7121,179.9952,307.487
8.126603,0,1.244464,2.80571,335.7121,179.9952,307.487
8.12889,0,1.244464,2.80571,335.7121,179.9952,307.487
8.131802,0,1.244464,2.80571,335.7121,179.9952,307.487
8.135644,0,1.244464,2.80571,335.7121,179.9952,307.487
8.138162,0,1.244464,2.80571,335.7121,179.9952,307.487
8.140719,0,1.244464,2.80571,335.6389,179.939,307.3846
8.144093,0,1.244464,2.80571,335.6389,179.939,307.3846
8.146473,0,1.244464,2.80571,335.6389,179.939,307.3846
8.14961,0,1.244464,2.80571,335.6389,179.939,307.3846
8.152792,0,1.244464,2.80571,335.6389,179.939,307.3846
8.155421,0,1.244464,2.80571,335.6389,179.939,307.3846
8.158013,0,1.244464,2.80571,335.6389,179.939,307.3846
8.160658,0,1.244464,2.80571,335.7121,179.9389,307.3846
8.164007,0,1.244464,2.80571,335.7121,179.9389,307.3846
8.168118,0,1.244464,2.80571,335.7121,179.9389,307.3846
8.170993,0,1.244464,2.80571,335.7121,179.9389,307.3846
