time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
24.86473,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.87297,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.87655,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.87958,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.88335,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.88845,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.89465,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.89828,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.90142,0,1.244465,2.80571,317.9769,178.6212,282.6476
24.90491,0,1.244464,2.80571,317.9769,178.6212,282.6476
24.90872,0,1.244464,2.80571,317.9769,178.6212,282.6476
24.9118,0,1.244464,2.80571,317.9769,178.6212,282.6476
24.91589,0,1.244464,2.80571,317.9769,178.6212,282.6476
24.92037,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.92571,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.92911,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.93233,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.93564,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.94188,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.94888,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.9522,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.95585,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.96033,0,1.244464,2.80571,318.0507,178.6637,282.6845
24.96414,0,1.244464,2.80571,318.0507,178.6637,282.6845
24.9673,0,1.244464,2.80571,318.0507,178.6637,282.6845
24.97033,0,1.244464,2.80571,318.0507,178.6637,282.6845
24.9741,0,1.244464,2.80571,318.0507,178.6637,282.6845
24.97751,0,1.244464,2.80571,318.0507,178.6637,282.6845
24.98081,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.98487,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.98802,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.99168,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.99496,0,1.244464,2.80571,317.9775,178.6655,282.6833
24.99814,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.00111,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.00435,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.00842,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.01177,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.01453,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.01767,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.02072,0,1.244464,2.80571,318.0501,178.6193,282.6489
25.02567,0,1.244464,2.80571,318.0501,178.6193,282.6489
25.02927,0,1.244464,2.80571,318.0501,178.6193,282.6489
25.03468,0,1.244464,2.80571,318.0501,178.6193,282.6489
25.03892,0,1.244464,2.80571,318.0501,178.6193,282.6489
25.04197,0,1.244464,2.80571,318.0507,178.6637,282.6845
25.04596,0,1.244464,2.80571,318.0507,178.6637,282.6845
25.04917,0,1.244464,2.80571,318.0507,178.6637,282.6845
25.05235,0,1.244464,2.80571,318.0507,178.6637,282.6845
25.05674,0,1.244464,2.80571,318.0507,178.6637,282.6845
25.06017,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.06398,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.06747,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.0713,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.07492,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.07861,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.08189,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.08629,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.0911,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.09667,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.09983,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.10351,0,1.244464,2.80571,318.0501,178.6193,282.6489
25.10776,0,1.244464,2.80571,318.0501,178.6193,282.6489
25.11116,0,1.244464,2.80571,318.0501,178.6193,282.6489
25.11419,0,1.244464,2.80571,318.0501,178.6193,282.6489
25.1177,0,1.244464,2.80571,318.0501,178.6193,282.6489
25.12049,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.1251,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.12818,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.13136,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.13445,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.13772,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.14448,0,1.244464,2.80571,318.0507,178.6637,282.6845
25.15147,0,1.244464,2.80571,318.0507,178.6637,282.6845
25.15483,0,1.244464,2.80571,318.0507,178.6637,282.6845
25.15902,0,1.244464,2.80571,318.0507,178.6637,282.6845
25.16253,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.16709,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.17019,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.17427,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.17744,0,1.244464,2.80571,317.9775,178.6655,282.6833
25.18095,0,1.244464,2.80571,317.9769,178.6212,282.6476
25.18486,0,1.244464,2.80571,317.9769,178.6212,282.6476
25.188,0,1.244464,2.80571,317.9769,178.6212,282.6476
25.1916,0,1.244464,2.80571,317.9769,178.6212,282.6476
