time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
43.1875,-0.106338,2.05005,-1.524136,331.3098,183.5968,323.3529
43.19423,-0.106338,2.05005,-1.524136,331.3098,183.5968,323.3529
43.19736,-0.106338,2.05005,-1.524136,331.3098,183.5968,323.3529
43.20064,-0.109734,2.05005,-1.521511,331.4052,183.5364,323.3808
43.20473,-0.109734,2.05005,-1.521511,331.4052,183.5364,323.3808
43.20871,-0.109734,2.05005,-1.521511,331.4052,183.5364,323.3808
43.2118,-0.109734,2.05005,-1.521511,331.4052,183.5364,323.3808
43.21505,-0.109734,2.05005,-1.521511,331.4052,183.5364,323.3808
43.21841,-0.109734,2.05005,-1.521511,331.4052,183.5364,323.3808
43.22235,-0.109734,2.05005,-1.521511,331.4041,183.4544,323.48
43.22619,-0.109734,2.05005,-1.521511,331.4041,183.4544,323.48
43.2294,-0.109734,2.05005,-1.521511,331.4041,183.4544,323.48
43.23259,-0.109734,2.05005,-1.521511,331.4041,183.4544,323.48
43.23565,-0.109734,2.05005,-1.521511,331.4041,183.4544,323.48
43.23949,-0.109734,2.05005,-1.521511,331.4041,183.4544,323.48
43.24287,-0.113163,2.05005,-1.521465,331.3308,183.4792,323.4062
43.2466,-0.113163,2.05005,-1.521465,331.3308,183.4792,323.4062
43.24979,-0.113163,2.05005,-1.521465,331.3308,183.4792,323.4062
43.25297,-0.113163,2.05005,-1.521465,331.3308,183.4792,323.4062
43.25696,-0.113163,2.05005,-1.521465,331.3308,183.4792,323.4062
43.25999,-0.113163,2.05005,-1.521465,331.3308,183.4792,323.4062
43.26299,-0.116592,2.05005,-1.521418,331.402,183.3375,323.4588
43.26662,-0.116592,2.05005,-1.521418,331.402,183.3375,323.4588
43.27051,-0.116592,2.05005,-1.521418,331.402,183.3375,323.4588
43.27499,-0.116592,2.05005,-1.521418,331.402,183.3375,323.4588
43.27958,-0.116592,2.05005,-1.521418,331.402,183.3375,323.4588
43.28519,-0.120021,2.05005,-1.521369,331.3268,183.198,323.5102
43.29116,-0.120021,2.05005,-1.521369,331.3268,183.198,323.5102
43.29531,-0.120021,2.05005,-1.521369,331.3268,183.198,323.5102
43.29856,-0.120021,2.05005,-1.521369,331.3268,183.198,323.5102
43.30497,-0.12345,2.05005,-1.521319,331.3991,183.1385,323.5367
43.30996,-0.12345,2.05005,-1.521319,331.3991,183.1385,323.5367
43.31306,-0.12345,2.05005,-1.521319,331.3991,183.1385,323.5367
43.31667,-0.12345,2.05005,-1.521319,331.3991,183.1385,323.5367
43.32014,-0.130308,2.05005,-1.521215,331.3982,183.08,323.5627
43.32535,-0.130308,2.05005,-1.521215,331.3982,183.08,323.5627
43.3293,-0.130308,2.05005,-1.521215,331.3982,183.08,323.5627
43.33505,-0.130308,2.05005,-1.521215,331.3982,183.08,323.5627
43.33822,-0.130308,2.05005,-1.521215,331.3982,183.08,323.5627
43.34151,-0.140594,2.05005,-1.521048,331.4706,183.0912,323.5891
43.34501,-0.140594,2.05005,-1.521048,331.4706,183.0912,323.5891
43.34882,-0.140594,2.05005,-1.521048,331.4706,183.0912,323.5891
43.35194,-0.140594,2.05005,-1.521048,331.4706,183.0912,323.5891
43.35566,-0.140594,2.05005,-1.521048,331.4706,183.0912,323.5891
43.35883,-0.140594,2.05005,-1.521048,331.4706,183.0912,323.5891
43.36198,-0.15772,2.05005,-1.519805,331.395,182.9639,323.6667
43.36597,-0.15772,2.05005,-1.519805,331.395,182.9639,323.6667
43.36901,-0.15772,2.05005,-1.519805,331.395,182.9639,323.6667
43.37255,-0.15772,2.05005,-1.519805,331.395,182.9639,323.6667
43.37539,-0.15772,2.05005,-1.519805,331.395,182.9639,323.6667
43.37881,-0.15772,2.05005,-1.519805,331.395,182.9639,323.6667
43.3818,-0.181718,2.05005,-1.519317,331.4668,182.9639,323.719
43.38567,-0.181718,2.05005,-1.519317,331.4668,182.9639,323.719
43.39,-0.181718,2.05005,-1.519317,331.4668,182.9639,323.719
43.39459,-0.181718,2.05005,-1.519317,331.4668,182.9639,323.719
43.40055,-0.20569,2.05005,-1.517823,331.3905,182.6959,323.8487
43.40463,-0.20569,2.05005,-1.517823,331.3905,182.6959,323.8487
43.40802,-0.20569,2.05005,-1.517823,331.3905,182.6959,323.8487
43.41148,-0.20569,2.05005,-1.517823,331.3905,182.6959,323.8487
43.4145,-0.20569,2.05005,-1.517823,331.3905,182.6959,323.8487
43.41763,-0.20569,2.05005,-1.517823,331.3905,182.6959,323.8487
43.42067,-0.215906,2.05005,-1.514982,331.4843,182.2153,324.0312
43.42542,-0.215906,2.05005,-1.514982,331.4843,182.2153,324.0312
43.4291,-0.215906,2.05005,-1.514982,331.4843,182.2153,324.0312
43.43218,-0.215906,2.05005,-1.514982,331.4843,182.2153,324.0312
43.43534,-0.215906,2.05005,-1.514982,331.4843,182.2153,324.0312
43.43851,-0.215906,2.05005,-1.514982,331.4843,182.2153,324.0312
43.44164,-0.222758,2.05005,-1.514802,331.4831,181.7469,324.2602
43.44522,-0.222758,2.05005,-1.514802,331.4831,181.7469,324.2602
43.44823,-0.222758,2.05005,-1.514802,331.4831,181.7469,324.2602
43.45147,-0.222758,2.05005,-1.514802,331.4831,181.7469,324.2602
43.45435,-0.222758,2.05005,-1.514802,331.4831,181.7469,324.2602
43.45853,-0.222758,2.05005,-1.514802,331.4831,181.7469,324.2602
43.46182,-0.246713,2.05005,-1.513188,331.4832,181.3614,324.3686
43.4654,-0.246713,2.05005,-1.513189,331.4832,181.3614,324.3686
43.4684,-0.246713,2.05005,-1.513188,331.4832,181.3614,324.3686
43.47157,-0.246713,2.05005,-1.513188,331.4832,181.3614,324.3686
