timestamp,log_type,message,stacktrace
0,Exception,IOException: The port `COM10' does not exist.,System.IO.Ports.WinSerialStream.ReportIOError (System.String optional_arg) (at <a971fed4bf844502b6501dbde9cced46>:0).  System.IO.Ports.WinSerialStream..ctor (System.String port_name System.Int32 baud_rate System.Int32 data_bits System.IO.Ports.Parity parity System.IO.Ports.StopBits sb System.Boolean dtr_enable System.Boolean rts_enable System.IO.Ports.Handshake hs System.Int32 read_timeout System.Int32 write_timeout System.Int32 read_buffer_size System.Int32 write_buffer_size) (at <a971fed4bf844502b6501dbde9cced46>:0).  (wrapper remoting-invoke-with-check) System.IO.Ports.WinSerialStream..ctor(stringintintSystem.IO.Ports.ParitySystem.IO.Ports.StopBitsboolboolSystem.IO.Ports.Handshakeintintintint).  System.IO.Ports.SerialPort.Open () (at <a971fed4bf844502b6501dbde9cced46>:0).  (wrapper remoting-invoke-with-check) System.IO.Ports.SerialPort.Open().  PositionReader.Start () (at Assets/Scripts/PositionReader.cs:29).  
2.683698,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:333).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
7.364574,Log,New Trial,UnityEngine.Debug:Log (object).  StartPointController/<Countdown>d__6:MoveNext () (at Assets/Scripts/StartPointController.cs:35).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
7.372212,Log,Generate ---TestPath--- at iteration 0,UnityEngine.Debug:Log (object).  RandomizePaths:Update () (at Assets/Scripts/RandomizePaths.cs:39).  
7.372212,Log,System.String,UnityEngine.Debug:Log (object).  RandomizePaths:Update () (at Assets/Scripts/RandomizePaths.cs:40).  
7.372212,Log,System.String,UnityEngine.Debug:Log (object).  RandomizePaths:Update () (at Assets/Scripts/RandomizePaths.cs:42).  
7.372212,Exception,ArgumentException: The Object you want to instantiate is null.,UnityEngine.Object.Instantiate (UnityEngine.Object original) (at <86acb61e0d2b4b36bc20af11093be9a5>:0).  RandomizePaths.Update () (at Assets/Scripts/RandomizePaths.cs:43).  
7.372212,Log,Started Coroutine at timestamp : 7.372212,UnityEngine.Debug:Log (object).  PositionReader/<GuidanceCoroutine>d__8:MoveNext () (at Assets/Scripts/PositionReader.cs:50).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  PositionReader:Update () (at Assets/Scripts/PositionReader.cs:139).  
7.372212,Exception,InvalidOperationException: Specified port is not open.,System.IO.Ports.SerialPort.CheckOpen () (at <a971fed4bf844502b6501dbde9cced46>:0).  System.IO.Ports.SerialPort.Write (System.String text) (at <a971fed4bf844502b6501dbde9cced46>:0).  (wrapper remoting-invoke-with-check) System.IO.Ports.SerialPort.Write(string).  PositionReader+<GuidanceCoroutine>d__8.MoveNext () (at Assets/Scripts/PositionReader.cs:108).  UnityEngine.SetupCoroutine.InvokeMoveNext (System.Collections.IEnumerator enumerator System.IntPtr returnValueAddress) (at <86acb61e0d2b4b36bc20af11093be9a5>:0).  UnityEngine.MonoBehaviour:StartCoroutine(IEnumerator).  PositionReader:Update() (at Assets/Scripts/PositionReader.cs:139).  
7.376965,Log,Generate ---TestPath--- at iteration 0,UnityEngine.Debug:Log (object).  RandomizePaths:Update () (at Assets/Scripts/RandomizePaths.cs:39).  
7.376965,Log,System.String,UnityEngine.Debug:Log (object).  RandomizePaths:Update () (at Assets/Scripts/RandomizePaths.cs:40).  
7.376965,Log,System.String,UnityEngine.Debug:Log (object).  RandomizePaths:Update () (at Assets/Scripts/RandomizePaths.cs:42).  
7.376965,Exception,ArgumentException: The Object you want to instantiate is null.,UnityEngine.Object.Instantiate (UnityEngine.Object original) (at <86acb61e0d2b4b36bc20af11093be9a5>:0).  RandomizePaths.Update () (at Assets/Scripts/RandomizePaths.cs:43).  
7.380254,Log,Generate ---TestPath--- at iteration 0,UnityEngine.Debug:Log (object).  RandomizePaths:Update () (at Assets/Scripts/RandomizePaths.cs:39).  
7.380254,Log,System.String,UnityEngine.Debug:Log (object).  RandomizePaths:Update () (at Assets/Scripts/RandomizePaths.cs:40).  
7.380254,Log,System.String,UnityEngine.Debug:Log (object).  RandomizePaths:Update () (at Assets/Scripts/RandomizePaths.cs:42).  
