time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
7.364574,0,2.05005,-1.563932,319.0791,173.1826,350.7695
7.372212,0,2.05005,-1.563932,319.0791,173.1826,350.7695
7.376965,0,2.05005,-1.563932,319.0791,173.1826,350.7695
7.380254,0.003446,2.05005,-1.563932,319.0032,173.2445,350.7416
7.387335,0.003446,2.05005,-1.563932,319.0032,173.2445,350.7416
7.389874,0.003446,2.05005,-1.563932,319.0032,173.2445,350.7416
7.393002,0.003446,2.05005,-1.563932,319.0032,173.2445,350.7416
7.396353,0.003446,2.05005,-1.563932,319.0032,173.2445,350.7416
7.400286,0.006893,2.05005,-1.56393,319.0032,173.221,350.7416
7.404935,0.006893,2.05005,-1.56393,319.0032,173.221,350.7416
7.408318,0.006893,2.05005,-1.56393,319.0032,173.221,350.7416
7.411698,0.006893,2.05005,-1.56393,319.0032,173.221,350.7416
7.414923,0.006893,2.05005,-1.56393,319.0032,173.221,350.7416
7.419633,0.006893,2.05005,-1.56393,319.0032,173.221,350.7416
7.423561,0.013786,2.05005,-1.563921,319.0059,173.0844,350.7721
7.427247,0.013786,2.05005,-1.563921,319.0059,173.0844,350.7721
7.430433,0.013786,2.05005,-1.563921,319.0059,173.0844,350.7721
7.434357,0.013786,2.05005,-1.563921,319.0059,173.0844,350.7721
7.437849,0.013786,2.05005,-1.563921,319.0059,173.0844,350.7721
7.441191,0.020679,2.05005,-1.563907,318.93,173.1228,350.6709
7.444898,0.020679,2.05005,-1.563907,318.93,173.1228,350.6709
7.448859,0.020679,2.05005,-1.563907,318.93,173.1228,350.6709
7.453395,0.020679,2.05005,-1.563907,318.93,173.1228,350.6709
7.457519,0.020679,2.05005,-1.563907,318.93,173.1228,350.6709
7.460402,0.024132,2.05005,-1.566474,318.9828,173.0113,350.7758
7.464472,0.024132,2.05005,-1.566474,318.9828,173.0113,350.7758
7.467856,0.024132,2.05005,-1.566474,318.9828,173.0113,350.7758
7.471442,0.024132,2.05005,-1.566474,318.9828,173.0113,350.7758
