time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
7.364574,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.372212,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.376965,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.380254,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.387335,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.389874,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.393002,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.396353,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.400286,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.404935,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.408318,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.411698,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.414923,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.419633,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.423561,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.427247,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.430433,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.434357,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.437849,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.441191,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.444898,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.448859,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.453395,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.457519,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.460402,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.464472,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.467856,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.471442,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.474317,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.477715,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.48138,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.491251,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.493998,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.496818,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.499778,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.503597,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.507347,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.511123,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.513806,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.516735,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.520106,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.523981,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.527618,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.530417,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.53358,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.536751,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.539941,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.543078,0,1.244464,2.80571,335.638,179.5452,307.1806
7.547023,0,1.244464,2.80571,335.638,179.5452,307.1806
7.550134,0,1.244464,2.80571,335.638,179.5452,307.1806
7.553599,0,1.244464,2.80571,335.638,179.5452,307.1806
7.557242,0,1.244464,2.80571,335.638,179.5452,307.1806
7.56037,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.563879,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.566588,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.570252,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.573527,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.576713,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.579609,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.582767,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.589445,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.59198,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.595121,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.598207,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.601607,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.605616,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.608866,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.612106,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.614817,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.618718,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.622852,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.626468,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.629714,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.632748,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.637125,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.640351,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.644047,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.647148,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.65109,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.654415,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.657898,0,1.244464,2.80571,335.7115,179.6012,307.2831
7.661291,0,1.244465,2.80571,335.7113,179.5449,307.1808
7.665143,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.669059,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.67209,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.675174,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.678171,0,1.244464,2.80571,335.7113,179.5449,307.1808
7.681751,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.685943,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.688989,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.691904,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.694724,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.698152,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.701924,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.705791,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.708455,0,1.244464,2.80571,335.7115,179.6012,307.2099
7.71116,0,1.244464,2.80571,335.7115,179.6012,307.2099
