time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
10.06689,0.017081,2.05005,-1.490515,325.5767,193.3884,308.7897
10.07583,0.017081,2.05005,-1.490515,325.5767,193.3884,308.7897
10.0842,0.017078,2.05005,-1.488981,325.5994,193.3846,308.7963
10.08852,0.017078,2.05005,-1.488981,325.5994,193.3846,308.7963
10.09146,0.017078,2.05005,-1.488981,325.5994,193.3846,308.7963
10.09481,0.017078,2.05005,-1.488981,325.5994,193.3846,308.7963
10.09921,0.017078,2.05005,-1.488981,325.5994,193.3846,308.7963
10.10294,0.017078,2.05005,-1.488981,325.5994,193.3846,308.7963
10.11053,0.017078,2.05005,-1.488981,325.5994,193.3846,308.7963
10.11622,0.017078,2.05005,-1.488981,325.5994,193.3846,308.7963
10.11895,0.017078,2.05005,-1.488981,325.5994,193.3846,308.7963
10.12179,0.01708,2.05005,-1.490018,325.6049,193.4697,308.8418
10.12747,0.01708,2.05005,-1.490018,325.6049,193.4697,308.8418
10.13107,0.01708,2.05005,-1.490018,325.6049,193.4697,308.8418
10.13556,0.01708,2.05005,-1.490018,325.6049,193.4697,308.8418
10.1386,0.01708,2.05005,-1.490018,325.6049,193.4697,308.8418
10.14143,0.01708,2.05005,-1.490018,325.6049,193.4697,308.8418
10.14737,0.01708,2.05005,-1.490018,325.6049,193.4697,308.8418
10.15083,0.01708,2.05005,-1.490018,325.6049,193.4697,308.8418
10.15391,0.01708,2.05005,-1.490018,325.6049,193.4697,308.8418
10.15704,0.01708,2.05005,-1.490018,325.6049,193.4697,308.8418
10.16005,0.01708,2.05005,-1.490018,325.5994,193.3846,308.8695
10.16463,0.01708,2.05005,-1.490018,325.5994,193.3846,308.8695
10.16807,0.01708,2.05005,-1.490018,325.5994,193.3846,308.8695
10.1708,0.01708,2.05005,-1.490018,325.5994,193.3846,308.8695
10.17413,0.01708,2.05005,-1.490018,325.5994,193.3846,308.8695
10.17712,0.01708,2.05005,-1.490017,325.5994,193.3846,308.8695
