time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
75.5275,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.53088,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.53449,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.53753,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.54037,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.54547,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.54839,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.55205,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.55561,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.55871,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.56241,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.5677,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.57052,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.5738,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.57821,0.344233,2.05005,-0.271375,356.028,198.879,309.5508
75.58176,0.344233,2.05005,-0.271375,356.0237,198.8059,309.5616
75.58684,0.344233,2.05005,-0.271375,356.0237,198.8059,309.5616
75.59015,0.344233,2.05005,-0.271375,356.0237,198.8059,309.5616
75.59437,0.344233,2.05005,-0.271375,356.0237,198.8059,309.5616
75.59843,0.344233,2.05005,-0.271375,356.0237,198.8059,309.5616
75.60133,0.344233,2.05005,-0.271375,356.0237,198.8059,309.5616
75.60688,0.344233,2.05005,-0.271375,356.0237,198.8059,309.5616
75.61619,0.344233,2.05005,-0.271375,356.0237,198.8059,309.5616
75.61872,0.344233,2.05005,-0.271375,356.0237,198.8059,309.5616
75.6227,0.344233,2.05005,-0.271375,356.0926,198.7286,309.5727
75.63067,0.344233,2.05005,-0.271375,356.0926,198.7286,309.5727
75.63635,0.344233,2.05005,-0.271375,356.0926,198.7286,309.5727
75.63842,0.344233,2.05005,-0.271375,356.0926,198.7286,309.5727
75.64115,0.344233,2.05005,-0.271375,356.0195,198.7328,309.5724
75.64822,0.344233,2.05005,-0.271375,356.0195,198.7328,309.5724
75.65122,0.344233,2.05005,-0.271375,356.0195,198.7328,309.5724
75.65458,0.344233,2.05005,-0.271375,356.0195,198.7328,309.5724
75.65816,0.344233,2.05005,-0.271375,356.0195,198.7328,309.5724
75.66209,0.344233,2.05005,-0.271375,356.0195,198.7328,309.5724
75.66715,0.344233,2.05005,-0.271375,356.0195,198.7328,309.5724
75.67058,0.344233,2.05005,-0.271375,356.0195,198.7328,309.5724
75.67458,0.344233,2.05005,-0.271375,356.0195,198.7328,309.5724
75.67873,0.344233,2.05005,-0.271375,356.0195,198.7328,309.5724
75.68208,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.68716,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.69057,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.69489,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.69775,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.70041,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.70421,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.70763,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.71103,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.71439,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.71731,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.7204,0.344363,2.05005,-0.274055,356.0709,198.7292,309.5641
75.72449,0.344363,2.05005,-0.274055,356.0709,198.7292,309.5641
75.72855,0.344363,2.05005,-0.274055,356.0709,198.7292,309.5641
75.73157,0.344363,2.05005,-0.274055,356.0709,198.7292,309.5641
75.73497,0.344363,2.05005,-0.274055,356.0709,198.7292,309.5641
75.73835,0.344363,2.05005,-0.274055,356.0709,198.7292,309.5641
75.74169,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.74814,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.75134,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.75488,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.7582,0.344363,2.05005,-0.274055,356.0666,198.6561,309.575
75.76273,0.344493,2.05005,-0.276734,356.0449,198.6567,309.5664
75.76733,0.344493,2.05005,-0.276734,356.0449,198.6567,309.5664
75.77053,0.344493,2.05005,-0.276734,356.0449,198.6567,309.5664
75.77392,0.344493,2.05005,-0.276734,356.0449,198.6567,309.5664
75.77799,0.344493,2.05005,-0.276734,356.0449,198.6567,309.5664
75.78146,0.344753,2.05005,-0.282092,356.0014,198.6579,309.5493
75.78708,0.344753,2.05005,-0.282092,356.0014,198.6579,309.5493
75.79074,0.344753,2.05005,-0.282092,356.0014,198.6579,309.5493
75.79559,0.344753,2.05005,-0.282092,356.0014,198.6579,309.5493
75.79906,0.344753,2.05005,-0.282092,356.0014,198.6579,309.5493
75.80183,0.345143,2.05005,-0.290128,355.9406,198.7327,309.5126
75.80728,0.345143,2.05005,-0.290128,355.9406,198.7327,309.5126
75.81197,0.345143,2.05005,-0.290128,355.9406,198.7327,309.5126
75.8158,0.345143,2.05005,-0.290128,355.9406,198.7327,309.5126
75.81862,0.345143,2.05005,-0.290128,355.9406,198.7327,309.5126
75.82127,0.345534,2.05005,-0.298162,355.9485,198.7302,309.4872
75.82826,0.345534,2.05005,-0.298162,355.9485,198.7302,309.4872
75.83205,0.345534,2.05005,-0.298162,355.9485,198.7302,309.4872
75.835,0.345534,2.05005,-0.298162,355.9485,198.7302,309.4872
75.83784,0.345534,2.05005,-0.298162,355.9485,198.7302,309.4872
75.84064,0.345664,2.05005,-0.30084,355.9268,198.7308,309.4786
75.84663,0.345664,2.05005,-0.30084,355.9268,198.7308,309.4786
75.84998,0.345664,2.05005,-0.30084,355.9268,198.7308,309.4786
75.85287,0.345664,2.05005,-0.30084,355.9268,198.7308,309.4786
75.85576,0.345664,2.05005,-0.30084,355.9268,198.7308,309.4786
75.85896,0.345664,2.05005,-0.30084,355.9268,198.7308,309.4786
75.8686,0.348591,2.05005,-0.300697,355.9224,198.6342,309.4897
75.87781,0.348591,2.05005,-0.300697,355.9224,198.6342,309.4897
75.88033,0.348591,2.05005,-0.300697,355.9955,198.6298,309.49
75.88628,0.348591,2.05005,-0.300697,355.9955,198.6298,309.49
75.88934,0.348591,2.05005,-0.300697,355.9955,198.6298,309.49
75.89412,0.348591,2.05005,-0.300697,355.9955,198.6298,309.49
75.89756,0.348591,2.05005,-0.300697,355.9955,198.6298,309.49
75.90054,0.348722,2.05005,-0.303374,355.9007,198.6348,309.4812
75.90768,0.348722,2.05005,-0.303374,355.9007,198.6348,309.4812
75.91154,0.348722,2.05005,-0.303374,355.9007,198.6348,309.4812
75.91471,0.348722,2.05005,-0.303374,355.9007,198.6348,309.4812
75.91743,0.348722,2.05005,-0.303374,355.9007,198.6348,309.4812
75.92013,0.348722,2.05005,-0.303374,355.9782,198.7034,309.4703
