time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
56.68209,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.68591,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.68908,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.69201,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.6951,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.69812,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.70097,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.70421,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.70705,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.71023,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.71374,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.71659,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.71984,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.72255,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.72644,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.73999,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.74431,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.74747,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.75085,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.75352,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.75646,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.75941,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.76214,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.76616,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.76905,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.77209,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.77503,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.77767,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.78058,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.78366,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.78669,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.79015,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.79293,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.79567,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.79894,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.80171,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.80534,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.80772,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.81065,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.81361,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.81637,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.8194,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.82256,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.82581,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.82859,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.83225,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.8358,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.83844,0,1.244464,2.80571,318.0507,178.6637,282.6845
56.84104,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.84431,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.84716,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.85022,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.85328,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.85602,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.85881,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.86405,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.86866,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.87157,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.87397,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.87657,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.87926,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.88244,0,1.244465,2.80571,317.9775,178.6655,282.6833
56.88592,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.88894,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.89182,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.89477,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.89863,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.90187,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.90495,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.90762,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.91054,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.91304,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.91576,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.91839,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.92095,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.92429,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.92779,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.93105,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.93361,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.93641,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.93949,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.94299,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.94622,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.94912,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.95189,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.95437,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.95683,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.9599,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.96258,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.96597,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.96885,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.97203,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.97562,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.97869,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.98198,0,1.244465,2.80571,317.9775,178.6655,282.6833
56.98552,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.98885,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.99142,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.99385,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.99655,0,1.244464,2.80571,317.9775,178.6655,282.6833
56.99993,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.00277,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.00661,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.00903,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.012,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.01537,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.01805,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.02129,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.02458,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.02743,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.03037,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.03298,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.03595,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.03867,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.04128,0,1.244465,2.80571,317.9775,178.6655,282.6833
57.04476,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.04798,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.05105,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.05404,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.0566,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.05905,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.0615,0,1.244465,2.80571,317.9775,178.6655,282.6833
57.06503,0,1.244465,2.80571,317.9775,178.6655,282.6833
57.06846,0,1.244465,2.80571,317.9775,178.6655,282.6833
57.07188,0,1.244465,2.80571,317.9775,178.6655,282.6833
57.07462,0,1.244465,2.80571,317.9775,178.6655,282.6833
57.07752,0,1.244465,2.80571,317.9775,178.6655,282.6833
57.08068,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.08418,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.0865,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.08928,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.09211,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.09473,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.09792,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.10106,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.10469,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.10732,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.11031,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.11332,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.11628,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.11903,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.12153,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.12484,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.1275,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.13108,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.1347,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.13739,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.1401,0,1.244465,2.80571,318.0507,178.6637,282.6845
57.14389,0,1.244465,2.80571,318.0507,178.6637,282.6845
57.14721,0,1.244465,2.80571,318.0507,178.6637,282.6845
57.14988,0,1.244465,2.80571,318.0507,178.6637,282.6845
57.15235,0,1.244465,2.80571,318.0507,178.6637,282.6845
57.15492,0,1.244465,2.80571,318.0507,178.6637,282.6845
57.15738,0,1.244465,2.80571,318.0507,178.6637,282.6845
57.1601,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.16408,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.16662,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.17457,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.1767,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.1796,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.18259,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.18553,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.18803,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.19067,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.19363,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.19614,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.19931,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.20222,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.20596,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.2091,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.21227,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.21524,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.21773,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.22069,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.22448,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.22729,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.22977,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.23252,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.23514,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.23802,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.24094,0,1.244465,2.80571,317.9775,178.6655,282.6833
57.24449,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.24742,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.24986,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.25311,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.25607,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.25851,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.26101,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.2646,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.26699,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.27007,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.27264,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.275,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.27756,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.28046,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.28392,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.28662,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.28902,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.2916,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.29406,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.29663,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.29953,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.30243,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.30568,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.3085,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.31093,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.3138,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.31657,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.31901,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.32178,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.32496,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.32772,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.33117,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.33392,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.33687,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.33976,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.34238,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.34554,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.34888,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.35175,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.35437,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.35693,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.35952,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.36255,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.36602,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.36839,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.37096,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.37346,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.37589,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.37881,0,1.244464,2.80571,318.0507,178.6637,282.6845
57.38173,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.38484,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.38722,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.38982,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.39273,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.39544,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.39796,0,1.244464,2.80571,318.0501,178.6193,282.6489
57.40061,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.40406,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.40649,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.40931,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.41235,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.41521,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.41787,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.4203,0,1.244464,2.80571,317.9775,178.6655,282.6833
57.42369,0,1.244464,2.80571,317.9775,178.6655,282.6833
