time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
67.00243,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.4471
67.00652,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.4471
67.00943,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.4471
67.0128,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.4471
67.02665,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.4238
67.03194,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.4238
67.0351,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.4238
67.0379,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.4238
67.04044,-0.065348,2.05005,-1.546571,333.1007,208.7165,306.3681
67.0438,-0.065348,2.05005,-1.546571,333.1007,208.7165,306.3681
67.04741,-0.065348,2.05005,-1.546571,333.1007,208.7165,306.3681
67.05,-0.065348,2.05005,-1.546571,333.1007,208.7165,306.3681
67.0528,-0.065348,2.05005,-1.546571,333.1007,208.7165,306.3681
67.0553,-0.065348,2.05005,-1.546571,333.1007,208.7165,306.3681
67.05785,-0.065348,2.05005,-1.546571,333.1007,208.7165,306.3681
67.06079,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3738
67.0647,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3738
67.06747,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3738
67.07008,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3738
67.07284,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3738
67.07559,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3738
67.07843,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3738
67.08122,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.2773
67.08473,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.2773
67.08709,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.2773
67.08977,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.2773
67.09293,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.2773
67.0959,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.2773
67.09886,-0.065348,2.05005,-1.546571,333.1842,208.7837,306.2773
67.10148,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.10471,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.10762,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.11046,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.11333,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.11626,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.11894,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.12139,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.12532,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.12821,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.13354,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.13636,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.13969,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.14285,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.14659,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.14999,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
67.15278,-0.065348,2.05005,-1.546571,333.1731,208.7038,306.3006
