time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
6.424219,0,1.244464,2.80571,335.5656,179.939,39.52698
6.431039,0,1.244464,2.80571,335.5656,179.939,39.52698
6.436591,0,1.244464,2.80571,335.5656,179.939,39.52698
6.439258,0,1.244464,2.80571,335.5656,179.939,39.52698
6.442111,0,1.244464,2.80571,335.5656,179.939,39.60022
6.446622,0,1.244464,2.80571,335.5656,179.939,39.60022
6.448853,0,1.244464,2.80571,335.5656,179.939,39.60022
6.451401,0,1.244464,2.80571,335.5656,179.939,39.60022
6.454255,0,1.244464,2.80571,335.5656,179.939,39.60022
6.457173,0,1.244464,2.80571,335.5656,179.939,39.60022
6.459916,0,1.244464,2.80571,335.5656,179.939,39.60022
6.463539,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.467597,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.470581,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.4733,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.47576,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.478494,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.48095,0,1.244464,2.80571,335.5656,179.939,39.60022
6.484713,0,1.244464,2.80571,335.5656,179.939,39.60022
6.486978,0,1.244464,2.80571,335.5656,179.939,39.60022
6.489733,0,1.244464,2.80571,335.5656,179.939,39.60022
6.492578,0,1.244464,2.80571,335.5656,179.939,39.60022
6.495168,0,1.244464,2.80571,335.5656,179.939,39.60022
6.497495,0,1.244464,2.80571,335.5656,179.939,39.60022
6.500984,0,1.244464,2.80571,335.5656,179.939,39.60022
6.503939,0,1.244464,2.80571,335.5656,179.939,39.60022
6.506874,0,1.244464,2.80571,335.5656,179.939,39.60022
6.509434,0,1.244464,2.80571,335.5656,179.939,39.60022
6.511839,0,1.244464,2.80571,335.5656,179.939,39.60022
6.51459,0,1.244464,2.80571,335.5656,179.939,39.60022
6.523431,0,1.244464,2.80571,335.5656,179.939,39.60022
6.525711,0,1.244464,2.80571,335.5656,179.939,39.60022
6.528008,0,1.244464,2.80571,335.5656,179.939,39.60022
6.530927,0,1.244464,2.80571,335.5656,179.939,39.60022
6.533813,0,1.244464,2.80571,335.5656,179.939,39.60022
6.536161,0,1.244464,2.80571,335.5656,179.939,39.60022
6.538706,0,1.244464,2.80571,335.5656,179.939,39.60022
6.541397,0,1.244464,2.80571,335.5656,179.939,39.60022
6.544465,0,1.244464,2.80571,335.5656,179.939,39.60022
6.547756,0,1.244464,2.80571,335.5656,179.939,39.60022
6.550552,0,1.244464,2.80571,335.5656,179.939,39.60022
6.553211,0,1.244464,2.80571,335.5656,179.939,39.60022
6.555892,0,1.244464,2.80571,335.5656,179.939,39.60022
6.55861,0,1.244464,2.80571,335.5656,179.939,39.60022
6.561169,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.56459,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.566896,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.569566,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.572364,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.57503,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.577759,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.580441,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.583431,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.586028,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.588468,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.591831,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.59504,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.597583,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.600082,0,1.244464,2.80571,335.5656,179.939,39.60022
6.603218,0,1.244464,2.80571,335.5656,179.939,39.60022
6.605824,0,1.244464,2.80571,335.5656,179.939,39.60022
6.60863,0,1.244464,2.80571,335.5656,179.939,39.60022
6.612618,0,1.244464,2.80571,335.5656,179.939,39.60022
6.615052,0,1.244464,2.80571,335.5656,179.939,39.60022
6.61755,0,1.244464,2.80571,335.5656,179.939,39.60022
6.619998,0,1.244464,2.80571,335.5656,179.939,39.60022
6.622857,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.627121,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.629506,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.631895,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.634511,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.637013,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.639744,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.64382,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.646738,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.649238,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.651759,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.654239,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.657758,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.660505,0,1.244465,2.80571,335.6389,179.939,39.60023
6.663701,0,1.244464,2.80571,335.6389,179.939,39.60023
6.666188,0,1.244464,2.80571,335.6389,179.939,39.60023
6.668575,0,1.244464,2.80571,335.6389,179.939,39.60023
6.671315,0,1.244464,2.80571,335.6389,179.939,39.60023
6.675033,0,1.244464,2.80571,335.6389,179.939,39.60023
6.677705,0,1.244464,2.80571,335.6389,179.939,39.60023
6.680669,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.683916,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.686823,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.689943,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.693392,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.696023,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.698656,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.701153,0,1.244464,2.80571,335.5656,179.939,39.60022
6.705117,0,1.244464,2.80571,335.5656,179.939,39.60022
6.707971,0,1.244464,2.80571,335.5656,179.939,39.60022
6.710677,0,1.244464,2.80571,335.5656,179.939,39.60022
6.713186,0,1.244464,2.80571,335.5656,179.939,39.60022
6.715724,0,1.244464,2.80571,335.5656,179.939,39.60022
6.718485,0,1.244464,2.80571,335.5656,179.939,39.60022
6.72086,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.72443,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.726872,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.729347,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.731802,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.734732,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.737345,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.740168,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.743226,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.7457,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.748052,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.75124,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.753816,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.756569,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.759077,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.761725,0,1.244464,2.80571,335.5656,179.939,39.60022
6.765143,0,1.244464,2.80571,335.5656,179.939,39.60022
6.76761,0,1.244464,2.80571,335.5656,179.939,39.60022
6.770111,0,1.244464,2.80571,335.5656,179.939,39.60022
6.772829,0,1.244464,2.80571,335.5656,179.939,39.60022
6.775713,0,1.244464,2.80571,335.5656,179.939,39.60022
6.778341,0,1.244464,2.80571,335.5656,179.939,39.60022
6.781204,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.784196,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.786645,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.789387,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.792114,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.794858,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.797569,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.800015,0,1.244464,2.80571,335.6389,179.939,39.60023
6.803034,0,1.244464,2.80571,335.6389,179.939,39.60023
6.805497,0,1.244464,2.80571,335.6389,179.939,39.60023
6.808109,0,1.244464,2.80571,335.6389,179.939,39.60023
6.811133,0,1.244464,2.80571,335.6389,179.939,39.60023
6.814002,0,1.244464,2.80571,335.6389,179.939,39.60023
6.816339,0,1.244464,2.80571,335.6389,179.939,39.60023
6.818866,0,1.244464,2.80571,335.6389,179.939,39.60023
6.821222,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.824768,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.827738,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.8305,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.833155,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.835598,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.838124,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.841403,0,1.244464,2.80571,335.5656,179.939,39.60022
6.84474,0,1.244464,2.80571,335.5656,179.939,39.60022
6.847293,0,1.244464,2.80571,335.5656,179.939,39.60022
6.849914,0,1.244464,2.80571,335.5656,179.939,39.60022
6.852562,0,1.244464,2.80571,335.5656,179.939,39.60022
6.855097,0,1.244464,2.80571,335.5656,179.939,39.60022
6.858228,0,1.244464,2.80571,335.5656,179.939,39.60022
6.860909,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.864231,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.866604,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.86905,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.87197,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.87529,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.877926,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.880325,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.883588,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.885999,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.888868,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.89162,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.894268,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.896718,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.899118,0,1.244464,2.80571,335.5656,179.9952,39.62937
6.901415,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.905406,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.908453,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.910907,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.913641,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.916147,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.919126,0,1.244464,2.80571,335.5656,179.9952,39.55613
6.922017,0,1.244464,2.80571,335.6389,179.939,39.60023
6.92531,0,1.244464,2.80571,335.6389,179.939,39.60023
6.927886,0,1.244464,2.80571,335.6389,179.939,39.60023
6.93032,0,1.244464,2.80571,335.6389,179.939,39.60023
6.932873,0,1.244464,2.80571,335.6389,179.939,39.60023
6.935849,0,1.244464,2.80571,335.6389,179.939,39.60023
6.938327,0,1.244464,2.80571,335.6389,179.939,39.60023
6.941397,0,1.244464,2.80571,335.5656,179.939,39.60022
6.944482,0,1.244464,2.80571,335.5656,179.939,39.60022
6.946938,0,1.244464,2.80571,335.5656,179.939,39.60022
6.949889,0,1.244464,2.80571,335.5656,179.939,39.60022
6.952559,0,1.244464,2.80571,335.5656,179.939,39.60022
6.955201,0,1.244464,2.80571,335.5656,179.939,39.60022
6.958047,0,1.244464,2.80571,335.5656,179.939,39.60022
6.960622,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.96364,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.966726,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.969214,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.971824,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.974594,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.977089,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.97948,0,1.244464,2.80571,335.6389,179.9952,39.62937
6.98251,0,1.244464,2.80571,335.5656,179.939,39.60022
6.985656,0,1.244464,2.80571,335.5656,179.939,39.60022
6.988298,0,1.244464,2.80571,335.5656,179.939,39.60022
6.991033,0,1.244464,2.80571,335.5656,179.939,39.60022
6.993528,0,1.244464,2.80571,335.5656,179.939,39.60022
6.996499,0,1.244464,2.80571,335.5656,179.939,39.60022
6.999143,0,1.244464,2.80571,335.5656,179.939,39.60022
7.001521,0,1.244464,2.80571,335.6389,179.939,39.60023
7.004906,0,1.244464,2.80571,335.6389,179.939,39.60023
7.007749,0,1.244464,2.80571,335.6389,179.939,39.60023
7.010379,0,1.244464,2.80571,335.6389,179.939,39.60023
7.014085,0,1.244464,2.80571,335.6389,179.939,39.60023
7.016493,0,1.244464,2.80571,335.6389,179.939,39.60023
7.018947,0,1.244464,2.80571,335.6389,179.939,39.60023
7.021223,0,1.244465,2.80571,335.6389,179.939,39.60023
7.024743,0,1.244464,2.80571,335.6389,179.939,39.60023
7.027661,0,1.244464,2.80571,335.6389,179.939,39.60023
7.030795,0,1.244464,2.80571,335.6389,179.939,39.60023
7.03336,0,1.244464,2.80571,335.6389,179.939,39.60023
7.035874,0,1.244464,2.80571,335.6389,179.939,39.60023
7.038294,0,1.244464,2.80571,335.6389,179.939,39.60023
7.041245,0,1.244464,2.80571,335.5656,179.939,39.60022
7.04477,0,1.244464,2.80571,335.5656,179.939,39.60022
7.047251,0,1.244464,2.80571,335.5656,179.939,39.60022
7.049666,0,1.244464,2.80571,335.5656,179.939,39.60022
7.052216,0,1.244464,2.80571,335.5656,179.939,39.60022
7.054689,0,1.244464,2.80571,335.5656,179.939,39.60022
7.057484,0,1.244464,2.80571,335.5656,179.939,39.60022
7.060734,0,1.244465,2.80571,335.5656,179.9952,39.62937
7.063765,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.066339,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.068778,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.071212,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.074451,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.077323,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.079766,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.082347,0,1.244464,2.80571,335.6389,179.939,39.60023
7.085305,0,1.244464,2.80571,335.6389,179.939,39.60023
7.087699,0,1.244464,2.80571,335.6389,179.939,39.60023
7.090899,0,1.244464,2.80571,335.6389,179.939,39.60023
7.093803,0,1.244464,2.80571,335.6389,179.939,39.60023
7.096436,0,1.244464,2.80571,335.6389,179.939,39.60023
7.098917,0,1.244464,2.80571,335.6389,179.939,39.60023
7.10134,0,1.244464,2.80571,335.5656,179.939,39.60022
7.104374,0,1.244464,2.80571,335.5656,179.939,39.60022
7.110899,0,1.244464,2.80571,335.5656,179.939,39.60022
7.115885,0,1.244464,2.80571,335.5656,179.939,39.60022
7.117874,0,1.244464,2.80571,335.5656,179.939,39.60022
7.120071,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.124145,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.126753,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.129392,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.131806,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.13435,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.137021,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.139965,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.142608,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.145931,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.148447,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.151273,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.154538,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.157631,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.160198,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.163238,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.165883,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.168519,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.171323,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.174716,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.177461,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.179914,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.182551,0,1.244464,2.80571,335.5656,179.939,39.60022
7.186149,0,1.244464,2.80571,335.5656,179.939,39.60022
7.18856,0,1.244464,2.80571,335.5656,179.939,39.60022
7.191401,0,1.244464,2.80571,335.5656,179.939,39.60022
7.194107,0,1.244464,2.80571,335.5656,179.939,39.60022
7.196901,0,1.244464,2.80571,335.5656,179.939,39.60022
7.199436,0,1.244464,2.80571,335.5656,179.939,39.60022
7.20283,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.206176,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.209057,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.211871,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.214507,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.217537,0,1.244464,2.80571,335.5656,179.9952,39.62937
7.220211,0,1.244464,2.80571,335.5656,179.9952,39.55613
7.223822,0,1.244464,2.80571,335.5656,179.9952,39.55613
7.226239,0,1.244464,2.80571,335.5656,179.9952,39.55613
7.228615,0,1.244464,2.80571,335.5656,179.9952,39.55613
7.231083,0,1.244464,2.80571,335.5656,179.9952,39.55613
7.234807,0,1.244464,2.80571,335.5656,179.9952,39.55613
7.237597,0,1.244464,2.80571,335.5656,179.9952,39.55613
7.240302,0,1.244464,2.80571,335.5656,179.939,39.60022
7.243685,0,1.244464,2.80571,335.5656,179.939,39.60022
7.246489,0,1.244464,2.80571,335.5656,179.939,39.60022
