time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
48.75947,0.12045,1.10005,0.050355,319.3549,185.9047,93.74324
48.77011,0.119833,1.10005,0.082951,319.5829,185.873,93.79179
48.78102,0.119576,1.10005,0.096532,319.6025,185.7908,93.73226
48.79273,0.119576,1.10005,0.096532,319.6025,185.7908,93.73226
48.8038,0.119165,1.10005,0.118261,319.7379,185.7692,93.83861
48.81462,0.119165,1.10005,0.118261,319.7379,185.7692,93.83861
48.82385,0.119114,1.10005,0.120977,319.6881,185.6223,93.83916
48.83815,0.119114,1.10005,0.120977,319.6881,185.6223,93.83916
48.84641,0.119114,1.10005,0.120977,319.615,185.5498,93.83769
48.85588,0.119114,1.10005,0.120977,319.615,185.5498,93.83769
48.86709,0.119128,1.10005,0.120232,319.4687,185.4771,93.83639
48.87828,0.119128,1.10005,0.120232,319.4687,185.4771,93.83639
48.88815,0.119128,1.10005,0.120232,319.322,185.5488,93.76512
48.89994,0.119128,1.10005,0.120232,319.322,185.5488,93.76512
48.91062,0.119128,1.10005,0.120232,319.1755,185.5483,93.83868
48.92075,0.119128,1.10005,0.120232,319.1023,185.548,93.83887
48.93237,0.119128,1.10005,0.120232,319.1023,185.548,93.83887
48.94333,0.118563,1.10005,0.150107,319.1875,185.5961,93.87685
48.9537,0.118563,1.10005,0.150107,319.1875,185.5961,93.87686
48.96243,0.118255,1.10005,0.166401,319.2534,185.5817,93.82532
48.97267,0.118255,1.10005,0.166401,319.2534,185.5817,93.82532
48.98321,0.117601,1.10005,0.200958,319.5046,185.6202,93.87827
48.99529,0.117601,1.10005,0.200958,319.5046,185.6202,93.87827
49.00452,0.11719,1.10005,0.222678,319.5937,185.6035,93.97684
49.01617,0.11719,1.10005,0.222678,319.5937,185.6035,93.97684
49.0273,0.114542,1.10005,0.228061,319.59,185.6197,93.98787
49.03727,0.114542,1.10005,0.228061,319.59,185.6197,93.98787
49.04773,0.114542,1.10005,0.228061,319.4435,185.6186,93.98852
49.05876,0.114542,1.10005,0.228061,319.4435,185.6186,93.98852
49.06778,0.114391,1.10005,0.236206,319.5131,185.6117,93.99924
49.07887,0.114391,1.10005,0.236206,319.5131,185.6117,93.99924
49.0878,0.116471,1.10005,0.260685,319.6253,185.5691,94.02806
49.09993,0.116471,1.10005,0.260685,319.6253,185.5691,94.02806
49.11135,0.115752,1.10005,0.298683,319.9,185.5343,94.08148
49.12271,0.115496,1.10005,0.312251,319.9691,185.5979,94.09631
49.13448,0.115496,1.10005,0.312251,319.9691,185.5979,94.09631
