time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
17.31516,-0.065156,1.10005,-1.504964,308.0345,223.6984,289.1831
17.32184,-0.065156,1.10005,-1.504964,308.0345,223.6984,289.1831
17.3287,-0.065156,1.10005,-1.504964,308.0345,223.6984,289.1831
17.33627,-0.065156,1.10005,-1.504964,308.0345,223.6984,289.1831
17.34795,-0.065156,1.10005,-1.504964,307.9628,223.7227,289.1639
17.35723,-0.065156,1.10005,-1.504964,307.9628,223.7227,289.1639
17.36905,-0.065156,1.10005,-1.504964,307.9516,223.6361,289.1832
17.37983,-0.065156,1.10005,-1.504964,307.9516,223.6361,289.1832
17.39437,-0.065156,1.10005,-1.504964,307.8911,223.7471,289.1447
17.40701,-0.065156,1.10005,-1.504964,307.8799,223.6605,289.164
17.41265,-0.065156,1.10005,-1.504964,307.8799,223.6605,289.164
17.4205,-0.065156,1.10005,-1.504964,307.8911,223.7471,289.1447
17.431,-0.065156,1.10005,-1.504964,307.8911,223.7471,289.1447
17.44051,-0.065156,1.10005,-1.504964,307.8194,223.7716,289.1254
17.45127,-0.065156,1.10005,-1.504964,307.8194,223.7716,289.1254
17.46191,-0.065156,1.10005,-1.504964,307.8194,223.7716,289.1254
17.47189,-0.065156,1.10005,-1.504964,307.8194,223.7716,289.1254
17.48066,-0.061898,1.10005,-1.50499,307.8083,223.6614,289.1447
17.49167,-0.061898,1.10005,-1.50499,307.8083,223.6614,289.1447
17.51092,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.52212,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.52856,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.53314,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.54127,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.55292,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.56349,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.57432,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.58428,-0.061898,1.10005,-1.50499,307.8083,223.6614,289.1447
17.59449,-0.061898,1.10005,-1.50499,307.8083,223.6614,289.1447
17.60463,-0.061898,1.10005,-1.50499,307.7366,223.6859,289.1253
17.61516,-0.061898,1.10005,-1.50499,307.7366,223.6859,289.1253
17.6239,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.63513,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.64497,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.65556,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.6653,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.67651,-0.061898,1.10005,-1.50499,307.8194,223.748,289.1254
17.68634,-0.05864,1.10005,-1.505015,307.7477,223.749,289.0327
17.69561,-0.05864,1.10005,-1.505015,307.7477,223.749,289.0327
17.71642,-0.052125,1.10005,-1.50506,307.8194,223.6774,289.1254
17.72646,-0.048867,1.10005,-1.505081,307.8194,223.6538,289.1254
17.73253,-0.048867,1.10005,-1.505081,307.8194,223.6538,289.1254
17.73805,-0.048867,1.10005,-1.505081,307.8194,223.6538,289.1254
17.74748,-0.042323,1.10005,-1.49982,307.7647,223.6105,289.1321
17.75708,-0.042323,1.10005,-1.49982,307.7647,223.6105,289.1321
17.76807,-0.026036,1.10005,-1.49724,307.727,223.4759,289.165
17.78067,-0.013014,1.10005,-1.494622,307.7661,223.5342,289.1529
17.79017,-0.013014,1.10005,-1.494622,307.7661,223.5342,289.1529
17.80116,0.025984,1.100049,-1.481336,307.8012,223.3688,289.2267
17.81216,0.025984,1.100049,-1.481336,307.8012,223.3688,289.2267
17.82186,0.071191,1.100049,-1.451877,307.964,223.3731,289.3584
17.83225,0.071191,1.100049,-1.451877,307.964,223.3731,289.3584
17.84251,0.119162,1.100049,-1.414113,308.2025,223.3305,289.5085
17.85374,0.119162,1.100049,-1.414113,308.2025,223.3305,289.5085
