experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,vmr_angle,right_stylus_movement_location_0,left_stylus_movement_location_0
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,1,1,1,14.65413,15.44,0,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T001.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T001.csv
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,2,1,2,17.31516,18.58,0,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T002.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T002.csv
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,3,1,3,20.38415,20.4,0,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T003.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T003.csv
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,4,1,4,22.59915,23.42,0,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T004.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T004.csv
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,5,1,5,24.75792,24.76,0,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T005.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T005.csv
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,6,2,1,27.13593,27.86,60,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T006.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T006.csv
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,7,2,2,30.1084,31.26,60,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T007.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T007.csv
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,8,2,3,32.47241,32.48,60,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T008.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T008.csv
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,9,3,1,34.813,35.28,45,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T009.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T009.csv
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,10,3,2,37.77187,38.72,45,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T010.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T010.csv
reaching,mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37,1,11,3,3,41.55451,42.26,45,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/right_stylus_movement_T011.csv,reaching/mash-ae6242a4-b340-4e48-bb3e-632afdcb3b37/S001/trackers/left_stylus_movement_T011.csv
