time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
126.8872,-0.068387,2.05005,-1.497876,326.2347,220.2303,257.315
126.909,-0.068395,2.05005,-1.498832,326.2347,220.2303,257.3882
126.924,-0.068395,2.05005,-1.498832,326.2347,220.2303,257.3882
126.9326,-0.068395,2.05005,-1.498832,326.2347,220.2303,257.3882
126.938,-0.068395,2.05005,-1.498832,326.2347,220.2303,257.3882
126.9461,-0.068395,2.05005,-1.498832,326.1631,220.2489,257.4511
126.9582,-0.068395,2.05005,-1.498832,326.1631,220.2489,257.4511
126.9668,-0.064975,2.05005,-1.498859,326.2201,220.1254,257.4825
126.9772,-0.064975,2.05005,-1.498859,326.2201,220.1254,257.4825
126.9828,-0.064975,2.05005,-1.498859,326.1631,220.2253,257.4511
126.9917,-0.064975,2.05005,-1.498859,326.1631,220.2253,257.4511
127.007,-0.064983,2.05005,-1.499813,326.1631,220.2253,257.4511
127.0164,-0.064983,2.05005,-1.499813,326.1631,220.2253,257.4511
127.0257,-0.064983,2.05005,-1.499814,326.1631,220.2253,257.4511
127.0346,-0.064983,2.05005,-1.499813,326.1631,220.2253,257.4511
127.0449,-0.064983,2.05005,-1.499814,326.1631,220.2253,257.4511
127.0536,-0.064983,2.05005,-1.499813,326.1631,220.2253,257.4511
127.0617,-0.06499,2.05005,-1.500767,326.1631,220.2253,257.4511
127.0694,-0.06499,2.05005,-1.500767,326.1631,220.2253,257.4511
127.0754,-0.06499,2.05005,-1.500767,326.1631,220.2253,257.4511
127.0859,-0.06499,2.05005,-1.500767,326.1631,220.2253,257.4511
127.0943,-0.06499,2.05005,-1.500767,326.1631,220.2253,257.4511
127.104,-0.06499,2.05005,-1.500767,326.1631,220.2253,257.5244
127.1138,-0.06499,2.05005,-1.500767,326.1631,220.2253,257.5244
127.1239,-0.068411,2.05005,-1.500739,326.1485,220.1675,257.4722
127.1328,-0.068411,2.05005,-1.500739,326.1485,220.1675,257.4722
127.1419,-0.068411,2.05005,-1.50074,326.0915,220.2675,257.4407
127.1516,-0.068411,2.05005,-1.500739,326.0915,220.2675,257.4407
127.1615,-0.068411,2.05005,-1.500739,326.1631,220.2489,257.4511
127.1706,-0.068411,2.05005,-1.500739,326.1631,220.2489,257.4511
127.1808,-0.068411,2.05005,-1.500739,326.1485,220.1675,257.5455
127.1899,-0.068411,2.05005,-1.500739,326.1485,220.1675,257.5455
127.199,-0.068411,2.05005,-1.500739,326.1485,220.1675,257.5455
127.209,-0.068411,2.05005,-1.500739,326.0915,220.2675,257.514
127.2177,-0.068411,2.05005,-1.500739,326.0915,220.2675,257.514
127.2273,-0.068411,2.05005,-1.50074,326.1777,220.3302,257.4301
127.2386,-0.068411,2.05005,-1.500739,326.1777,220.3302,257.4301
127.246,-0.068411,2.05005,-1.50074,326.1485,220.1675,257.5455
127.2566,-0.068411,2.05005,-1.500739,326.1485,220.1675,257.5455
127.2652,-0.068411,2.05005,-1.50074,326.1631,220.2489,257.5244
127.2746,-0.068411,2.05005,-1.500739,326.1631,220.2489,257.5244
127.2841,-0.068411,2.05005,-1.500739,326.1631,220.2489,257.5244
127.294,-0.068411,2.05005,-1.500739,326.1631,220.2489,257.5244
127.3023,-0.068418,2.05005,-1.501692,326.1485,220.1675,257.5455
127.3126,-0.068418,2.05005,-1.501692,326.1485,220.1675,257.5455
127.3232,-0.068418,2.05005,-1.501692,326.1485,220.1675,257.5455
127.3322,-0.068418,2.05005,-1.501692,326.1485,220.1675,257.5455
127.3415,-0.068418,2.05005,-1.501692,326.134,220.0861,257.4933
127.353,-0.068418,2.05005,-1.501692,326.134,220.0861,257.4933
127.3624,-0.068397,2.05005,-1.499109,326.0804,220.0947,257.5742
127.3712,-0.068397,2.05005,-1.499109,326.0804,220.0947,257.5742
127.3815,-0.068397,2.05005,-1.499109,326.0804,220.0947,257.5742
127.3913,-0.068397,2.05005,-1.499109,326.0804,220.0947,257.5742
127.4012,-0.068397,2.05005,-1.499109,326.0804,220.0947,257.5742
127.4109,-0.068397,2.05005,-1.499109,326.0804,220.0947,257.5742
127.4198,-0.068397,2.05005,-1.499109,326.0804,220.0947,257.5742
127.4291,-0.068405,2.05005,-1.500061,326.0659,220.0133,257.5953
127.4398,-0.068405,2.05005,-1.500061,326.0659,220.0133,257.5953
127.449,-0.068405,2.05005,-1.500061,326.0659,220.0133,257.5953
127.4589,-0.068405,2.05005,-1.500061,326.0659,220.0133,257.5953
