time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
126.8872,3.330666,3.446446,-1.746813,307.0475,123.3985,30.40473
126.909,3.330666,3.446445,-1.746813,307.0475,123.3985,30.47796
126.924,3.330666,3.446446,-1.746813,307.1165,123.4389,30.44567
126.9326,3.330666,3.446446,-1.746813,307.1165,123.4389,30.44567
126.938,3.330666,3.446446,-1.746813,307.1165,123.4389,30.44567
126.9461,3.334187,3.446446,-1.745443,307.1387,123.3117,30.42408
126.9582,3.334188,3.446446,-1.745443,307.1387,123.3117,30.42408
126.9668,3.337708,3.446446,-1.744071,307.2299,123.2251,30.51663
126.9772,3.337708,3.446446,-1.744071,307.2299,123.2251,30.51663
126.9828,3.337708,3.446446,-1.744071,307.2768,123.3689,30.35977
126.9917,3.337708,3.446446,-1.744071,307.2768,123.3689,30.35977
127.007,3.341228,3.446445,-1.742698,307.3211,123.1386,30.46261
127.0164,3.341228,3.446446,-1.742698,307.3211,123.1386,30.46261
127.0257,3.341228,3.446446,-1.742698,307.3902,123.179,30.50377
127.0346,3.341228,3.446445,-1.742698,307.3902,123.179,30.50377
127.0449,3.344748,3.446446,-1.741323,307.4124,123.0523,30.55499
127.0536,3.344748,3.446446,-1.741323,307.4124,123.0523,30.55499
127.0617,3.348267,3.446446,-1.739947,307.4814,123.069,30.44975
127.0694,3.348267,3.446445,-1.739947,307.4814,123.069,30.44975
127.0754,3.348267,3.446445,-1.739947,307.4814,123.069,30.44975
127.0859,3.352298,3.444116,-1.739878,307.5037,122.9424,30.50082
127.0943,3.352298,3.444116,-1.739878,307.5037,122.9424,30.50082
127.104,3.352298,3.444116,-1.739878,307.5727,122.9827,30.54215
127.1138,3.352298,3.444116,-1.739878,307.5727,122.9827,30.54215
127.1239,3.352298,3.444116,-1.739878,307.5037,122.9424,30.57408
127.1328,3.352299,3.444116,-1.739878,307.5037,122.9424,30.57408
127.1419,3.352298,3.444116,-1.739878,307.595,122.8799,30.59309
127.1516,3.352298,3.444116,-1.739878,307.595,122.8799,30.59309
127.1615,3.352811,3.441787,-1.741186,307.595,122.8799,30.51985
127.1706,3.352811,3.441786,-1.741186,307.595,122.8799,30.51985
127.1808,3.352811,3.441786,-1.741186,307.6174,122.7771,30.57069
127.1899,3.35281,3.441786,-1.741186,307.6174,122.7771,30.57069
127.199,3.352811,3.441786,-1.741186,307.6174,122.7771,30.57069
127.209,3.353323,3.439456,-1.742493,307.6174,122.7771,30.64392
127.2177,3.353323,3.439456,-1.742493,307.6174,122.7771,30.64392
127.2273,3.353323,3.439456,-1.742493,307.664,122.9201,30.56124
127.2386,3.353323,3.439456,-1.742493,307.664,122.9201,30.56124
127.246,3.353323,3.439456,-1.742493,307.6863,122.8174,30.61202
127.2566,3.353323,3.439456,-1.742493,307.6863,122.8174,30.61202
127.2652,3.353323,3.439456,-1.742493,307.6863,122.8174,30.53879
127.2746,3.353323,3.439456,-1.742493,307.6863,122.8174,30.53879
127.2841,3.353834,3.437125,-1.743799,307.6174,122.7771,30.64392
127.294,3.353834,3.437125,-1.743799,307.6174,122.7771,30.64392
127.3023,3.353834,3.437125,-1.743799,307.664,122.9201,30.48799
