time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
84.84388,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.8474,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.85048,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.85318,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.85619,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.85903,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.86234,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.86572,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.86858,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.87128,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.87446,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.87717,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.88092,0,1.244465,2.80571,318.0507,178.6637,282.6845
84.88429,0,1.244464,2.80571,318.0507,178.6637,282.6845
84.88728,0,1.244464,2.80571,318.0507,178.6637,282.6845
84.89036,0,1.244464,2.80571,318.0507,178.6637,282.6845
84.89369,0,1.244464,2.80571,318.0507,178.6637,282.6845
84.89682,0,1.244464,2.80571,318.0507,178.6637,282.6845
84.89978,0,1.244464,2.80571,318.0507,178.6637,282.6845
84.90255,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.90598,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.90917,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.91252,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.91549,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.91841,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.9215,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.92573,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.92901,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.93179,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.93474,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.93768,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.94114,0,1.244464,2.80571,317.9769,178.6212,282.6476
84.94492,0,1.244464,2.80571,317.9769,178.6212,282.6476
84.94794,0,1.244464,2.80571,317.9769,178.6212,282.6476
84.95097,0,1.244464,2.80571,317.9769,178.6212,282.6476
84.95373,0,1.244464,2.80571,317.9769,178.6212,282.6476
84.95719,0,1.244464,2.80571,317.9769,178.6212,282.6476
84.96014,0,1.244464,2.80571,317.9775,178.6655,282.6833
84.96325,0,1.244464,2.80571,317.9775,178.6655,282.6833
