time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
84.84388,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.2939
84.8474,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.2939
84.85048,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.2939
84.85318,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.2939
84.85619,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.2939
84.85903,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.2939
84.86234,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.3672
84.86572,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.3672
84.86858,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.3672
84.87128,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.3672
84.87446,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.3672
84.87717,-0.116793,2.05005,-1.535811,340.6914,208.9152,311.3672
84.88092,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.3419
84.88429,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.3419
84.88728,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.3419
84.89036,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.3419
84.89369,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.3419
84.89682,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.3419
84.89978,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.3419
84.90255,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.4151
84.90598,-0.120228,2.05005,-1.535762,340.7417,208.7738,311.4151
84.90917,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.4151
84.91252,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.4151
84.91549,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.4151
84.91841,-0.120228,2.05005,-1.535763,340.7417,208.7738,311.4151
84.9215,-0.120228,2.05005,-1.535763,340.7307,208.6972,311.4371
84.92573,-0.120228,2.05005,-1.535763,340.7307,208.6972,311.4371
84.92901,-0.120228,2.05005,-1.535763,340.7307,208.6972,311.4371
84.93179,-0.120228,2.05005,-1.535763,340.7307,208.6972,311.4371
84.93474,-0.120228,2.05005,-1.535763,340.7307,208.6972,311.4371
84.93768,-0.120228,2.05005,-1.535763,340.7307,208.6972,311.4371
84.94114,-0.120228,2.05005,-1.535763,340.7197,208.6205,311.3859
84.94492,-0.120228,2.05005,-1.535763,340.7197,208.6205,311.3859
84.94794,-0.120228,2.05005,-1.535763,340.7197,208.6205,311.3859
84.95097,-0.120228,2.05005,-1.535763,340.7197,208.6205,311.3859
84.95373,-0.120228,2.05005,-1.535763,340.7197,208.6205,311.3859
84.95719,-0.120228,2.05005,-1.535763,340.7197,208.6205,311.3859
84.96014,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.3898
84.96325,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.3898
84.96626,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.3898
84.96907,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.3898
84.97278,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.3898
84.97626,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.3898
84.97968,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.3898
84.99239,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
84.99689,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
84.99948,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.00214,-0.120228,2.05005,-1.535762,340.7921,208.6089,311.463
85.00597,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.463
85.01029,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.463
85.01292,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.463
85.01556,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.463
85.01886,-0.120228,2.05005,-1.535763,340.7921,208.6089,311.463
85.02244,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.02618,-0.120228,2.05005,-1.535762,340.7811,208.5323,311.4851
85.02978,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.03342,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.03667,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.03963,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.04247,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.0455,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.048,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.05133,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.05427,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.05756,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4851
85.06055,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.06383,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.06689,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.06963,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.07281,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.07577,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.0783,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.08125,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.08485,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.0874,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.09045,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.09309,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.0965,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.09973,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.10218,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.10558,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.10865,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.11163,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.1149,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.11794,-0.120228,2.05005,-1.535763,340.7811,208.5323,311.4118
85.12074,-0.116793,2.05005,-1.535811,340.7811,208.5323,311.4851
85.12479,-0.116793,2.05005,-1.535811,340.7811,208.5323,311.4851
85.12832,-0.116793,2.05005,-1.535811,340.7811,208.5323,311.4851
