time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
100.1668,-0.064033,2.05005,-1.378255,319.7148,173.7946,88.46936
100.1865,-0.064033,2.05005,-1.378255,319.7854,173.8867,88.43816
100.2168,-0.064041,2.05005,-1.379279,319.7122,173.8831,88.36724
100.2278,-0.064041,2.05005,-1.379279,319.7122,173.8831,88.44049
100.237,-0.064041,2.05005,-1.379279,319.7122,173.8831,88.44049
100.2494,-0.064041,2.05005,-1.379279,319.639,173.8795,88.44282
100.2668,-0.06069,2.05005,-1.381893,319.6184,173.7651,88.4753
100.2829,-0.060709,2.05005,-1.384482,319.6684,173.7664,88.47646
100.3161,-0.060805,2.05005,-1.397421,319.5551,173.6662,88.52345
100.3332,-0.057488,2.05005,-1.406227,319.5614,173.5507,88.56116
100.3461,-0.057531,2.05005,-1.41242,319.515,173.5459,88.64171
100.3535,-0.057531,2.05005,-1.41242,319.515,173.5459,88.64171
100.3672,-0.054249,2.05005,-1.427948,319.4491,173.5119,88.588
100.3851,-0.054324,2.05005,-1.439299,319.4268,173.5952,88.57035
100.4,-0.054324,2.05005,-1.439299,319.4268,173.5952,88.57035
100.4198,-0.054449,2.05005,-1.458383,319.3378,173.5825,88.59329
100.435,-0.054473,2.05005,-1.46198,319.3905,173.4949,88.69777
100.4502,-0.057878,2.05005,-1.461957,319.4637,173.5224,88.69521
100.4669,-0.057885,2.05005,-1.462975,319.5369,173.5263,88.69268
100.483,-0.057892,2.05005,-1.463991,319.6073,173.6192,88.6601
100.4999,-0.057892,2.05005,-1.463991,319.6073,173.6192,88.6601
100.5154,-0.061285,2.05005,-1.462403,319.6278,173.7341,88.55327
100.5322,-0.061285,2.05005,-1.462403,319.6984,173.8268,88.59409
100.55,-0.061285,2.05005,-1.462403,319.6252,173.823,88.59651
100.5656,-0.061266,2.05005,-1.459823,319.5725,173.9106,88.4922
100.5826,-0.061266,2.05005,-1.459823,319.6457,173.9143,88.48979
100.5999,-0.061266,2.05005,-1.459823,319.6457,173.9143,88.48979
100.6181,-0.054459,2.05005,-1.459871,319.5725,173.8634,88.4922
100.6352,-0.047652,2.05005,-1.459913,319.5725,173.8163,88.56543
100.6516,-0.047652,2.05005,-1.459913,319.5725,173.8163,88.4922
100.6679,-0.047637,2.05005,-1.457333,319.5957,173.8186,88.56196
100.6851,-0.047637,2.05005,-1.457333,319.5251,173.7259,88.59432
100.7028,-0.047637,2.05005,-1.457333,319.452,173.7221,88.52351
100.7192,-0.047637,2.05005,-1.457333,319.452,173.7221,88.52351
100.7343,-0.047592,2.05005,-1.449591,319.4252,173.723,88.51888
100.7517,-0.047578,2.05005,-1.44701,319.4716,173.7276,88.51181
100.7673,-0.047503,2.05005,-1.434098,319.5143,173.7353,88.49659
100.7845,-0.050785,2.05005,-1.415987,319.5803,173.7689,88.47787
100.8004,-0.054113,2.05005,-1.407192,319.5973,173.8866,88.43696
100.8171,-0.054113,2.05005,-1.407192,319.5973,173.8866,88.43696
100.8337,-0.070424,2.05005,-1.337752,319.6869,174.2111,88.3878
100.8496,-0.080223,2.05005,-1.311221,319.6761,174.2911,88.29098
100.8671,-0.099297,2.050049,-1.231475,319.9823,174.6268,88.15904
100.882,-0.108639,2.050049,-1.188072,320.1863,174.6349,88.14121
100.8997,-0.108639,2.050049,-1.188072,320.1863,174.6349,88.14121
100.9142,-0.163889,2.050049,-0.996318,321.1081,175.0848,88.03758
100.9319,-0.179044,2.050049,-0.956484,321.285,175.1666,87.93827
100.9467,-0.202617,2.050049,-0.879896,321.4087,174.9666,87.97221
100.9629,-0.222997,2.05005,-0.818482,321.391,174.7957,87.99649
100.9784,-0.222997,2.05005,-0.818482,321.391,174.7957,87.99649
100.9948,-0.229333,2.05005,-0.716894,321.4413,174.1813,88.14666
101.0103,-0.228555,2.05005,-0.691357,321.3857,174.106,88.07078
101.0258,-0.227112,2.05005,-0.643934,321.3979,173.7973,88.09159
101.0419,-0.22617,2.05005,-0.612987,321.4156,173.5644,88.11114
101.0585,-0.22617,2.05005,-0.612987,321.4156,173.5644,88.11114
101.0739,-0.226093,2.05005,-0.511351,321.3368,173.0644,88.10889
101.0901,-0.225235,2.05005,-0.483554,321.373,173.0041,88.08147
101.1059,-0.223237,2.050049,-0.418772,321.4473,172.803,88.04003
101.1207,-0.219495,2.05005,-0.393675,321.4371,172.7151,88.09233
101.1347,-0.219495,2.05005,-0.393675,321.4371,172.7151,88.09233
101.1507,-0.217389,2.05005,-0.324483,321.4854,172.44,87.97762
101.1677,-0.216048,2.05005,-0.280451,321.6109,172.3209,87.92567
101.1844,-0.215034,2.05005,-0.247121,321.6482,172.1845,87.97733
101.1995,-0.215034,2.05005,-0.247121,321.6482,172.1845,87.97733
101.2172,-0.214052,2.05005,-0.214873,321.6599,171.9722,87.88548
101.2391,-0.214052,2.05005,-0.214873,321.5134,171.967,87.88873
101.2501,-0.214052,2.05005,-0.214873,321.517,171.8057,87.91486
101.2673,-0.214134,2.05005,-0.217561,321.4226,171.7192,88.00803
101.2828,-0.214216,2.05005,-0.220249,321.3264,171.7132,87.94167
101.3016,-0.214298,2.05005,-0.222937,321.3034,171.71,87.94688
101.3173,-0.214298,2.05005,-0.222937,321.3034,171.71,87.94688
101.3335,-0.22605,2.05005,-0.22795,321.186,171.7141,87.97233
101.3515,-0.228947,2.05005,-0.227856,321.186,171.7377,87.89909
101.3661,-0.231844,2.05005,-0.227762,321.111,171.8393,87.81425
101.3835,-0.234741,2.05005,-0.227666,321.1128,171.782,87.82757
101.3997,-0.234741,2.05005,-0.227666,321.1128,171.782,87.82757
101.4158,-0.234741,2.05005,-0.227666,321.0396,171.7793,87.68282
101.4318,-0.234741,2.05005,-0.227666,321.0396,171.7793,87.75606
101.4482,-0.231844,2.05005,-0.227762,321.0396,171.7557,87.68282
101.4645,-0.228947,2.05005,-0.227856,321.0415,171.6513,87.76939
101.4811,-0.22605,2.05005,-0.22795,320.9664,171.7058,87.68457
101.4974,-0.22605,2.05005,-0.22795,320.9664,171.7058,87.68457
101.5135,-0.223188,2.05005,-0.229148,321.0396,171.685,87.68282
101.5308,-0.223273,2.05005,-0.231836,321.0917,171.6036,87.69971
101.5467,-0.223273,2.05005,-0.231836,321.1649,171.6064,87.69796
101.5623,-0.223273,2.05005,-0.231836,321.1649,171.6064,87.69796
101.5777,-0.223273,2.05005,-0.231836,321.1649,171.6064,87.69796
101.5948,-0.223648,2.05005,-0.243688,321.1443,171.6768,87.70396
101.6097,-0.223819,2.05005,-0.249061,321.1735,171.592,87.72632
101.6264,-0.224074,2.05005,-0.257119,321.1777,171.5849,87.74047
101.6424,-0.224244,2.05005,-0.26249,321.2031,171.6621,87.73558
101.6583,-0.224244,2.05005,-0.26249,321.2031,171.6621,87.73558
101.6749,-0.224924,2.05005,-0.283968,321.2408,171.5631,87.85973
101.6921,-0.225094,2.05005,-0.289336,321.1949,171.5564,87.79713
101.7068,-0.225604,2.05005,-0.305435,321.1552,171.4613,87.83628
101.7215,-0.225859,2.05005,-0.313482,321.1366,171.4509,87.85595
101.7419,-0.229565,2.05005,-0.337521,321.1516,171.3716,87.91351
101.7572,-0.229565,2.05005,-0.337521,321.1516,171.3716,87.91351
101.7751,-0.231456,2.05005,-0.396451,321.0126,171.3123,88.02358
101.7883,-0.231971,2.050049,-0.412507,320.9481,171.2949,88.05443
101.808,-0.23343,2.05005,-0.457962,320.8966,171.2565,88.12842
101.8243,-0.234629,2.05005,-0.495354,320.7515,171.1285,88.22737
101.8377,-0.234629,2.05005,-0.495354,320.7515,171.1285,88.22737
101.8575,-0.235999,2.05005,-0.538037,320.7733,171.094,88.37294
101.8711,-0.236084,2.05005,-0.540703,320.8738,171.0945,88.37936
101.8877,-0.24226,2.05005,-0.544276,320.9947,171.2287,88.3625
101.906,-0.248224,2.05005,-0.541409,321.141,171.2833,88.35777
101.9191,-0.248224,2.05005,-0.541409,321.141,171.2833,88.35777
101.9363,-0.248246,2.05005,-0.542048,321.3307,171.3806,88.32451
101.9531,-0.249702,2.05005,-0.542238,321.255,171.4598,88.23605
101.9715,-0.250101,2.05005,-0.543447,321.3307,171.3806,88.32451
101.9849,-0.249683,2.049991,-0.543516,321.3282,171.4634,88.23376
102.0016,-0.248638,2.050032,-0.543272,321.3257,171.5463,88.21623
102.0175,-0.252191,2.049855,-0.544509,321.3257,171.5463,88.21623
102.0345,-0.248283,2.05005,-0.543148,321.3989,171.5499,88.21396
102.0516,-0.248283,2.05005,-0.543148,321.3989,171.5499,88.21396
102.0678,-0.245256,2.05005,-0.543249,321.3964,171.6092,88.19644
102.0845,-0.245078,2.05005,-0.537917,321.4423,171.6159,88.18576
