time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
100.1668,0.068395,2.05005,-0.742817,312.1246,130.3017,344.2173
100.1865,0.068361,2.05005,-0.739022,312.1399,130.3212,344.191
100.2168,0.068361,2.05005,-0.739022,312.0684,130.2972,344.2088
100.2278,0.068361,2.05005,-0.739022,311.997,130.2732,344.1534
100.237,0.068361,2.05005,-0.739022,311.997,130.2732,344.1534
100.2494,0.068361,2.05005,-0.739022,311.997,130.2732,344.2267
100.2668,0.068361,2.05005,-0.739022,311.9381,130.1656,344.1876
100.2829,0.068337,2.05005,-0.736376,311.997,130.2732,344.1534
100.3161,0.068313,2.05005,-0.73373,311.9686,130.205,344.1347
100.3332,0.068313,2.05005,-0.73373,312.0526,130.1457,344.1329
100.3461,0.068313,2.05005,-0.73373,311.8971,130.1809,344.1526
100.3535,0.068313,2.05005,-0.73373,311.8971,130.1809,344.1526
100.3672,0.068313,2.05005,-0.73373,311.9811,130.1217,344.1508
100.3851,0.068313,2.05005,-0.73373,311.9937,130.0384,344.1669
100.4,0.068313,2.05005,-0.73373,311.9937,130.0384,344.1669
100.4198,0.068313,2.05005,-0.73373,311.9223,130.0142,344.1849
100.435,0.068313,2.05005,-0.73373,311.9937,130.0384,344.1669
100.4502,0.068313,2.05005,-0.73373,312.0063,129.955,344.2563
100.4669,0.068313,2.05005,-0.73373,311.9223,130.0142,344.1849
100.483,0.068289,2.05005,-0.731083,311.866,130.0098,344.1763
100.4999,0.068289,2.05005,-0.731083,311.866,130.0098,344.1763
100.5154,0.068193,2.05005,-0.720495,311.9517,129.9224,344.102
100.5322,0.068169,2.05005,-0.717847,311.8954,129.9181,344.0933
100.55,0.068074,2.05005,-0.707254,311.956,129.9972,343.987
100.5656,0.068026,2.05005,-0.701955,311.9272,129.9298,343.9673
100.5826,0.068002,2.05005,-0.699306,311.9423,129.9496,343.9407
100.5999,0.068002,2.05005,-0.699306,311.9423,129.9496,343.9407
100.6181,0.068002,2.05005,-0.699306,311.8708,129.9258,343.9584
100.6352,0.068036,2.05005,-0.703104,311.868,129.8228,344.0008
100.6516,0.06806,2.05005,-0.705753,311.8529,129.803,344.0275
100.6679,0.068118,2.05005,-0.712199,311.7637,129.6559,344.1146
100.6851,0.068214,2.050049,-0.722791,311.7775,129.7034,344.1611
100.7028,0.071415,2.050049,-0.733351,311.7736,129.6043,344.2768
100.7192,0.071415,2.05005,-0.733351,311.7736,129.6043,344.2768
100.7343,0.074572,2.05005,-0.738614,311.8149,129.5653,344.3121
100.7517,0.074572,2.05005,-0.738614,311.8863,129.5897,344.2939
100.7673,0.077679,2.05005,-0.738583,311.8863,129.5662,344.2939
100.7845,0.083893,2.05005,-0.738516,311.9577,129.5434,344.2758
100.8004,0.087,2.05005,-0.738481,311.9577,129.5199,344.2758
100.8171,0.087,2.05005,-0.738481,311.9577,129.5199,344.2758
100.8337,0.093214,2.05005,-0.738407,311.945,129.556,344.2598
100.8496,0.096321,2.05005,-0.738368,312.0291,129.4735,344.331
100.8671,0.096287,2.05005,-0.735722,312.103,129.6006,344.1972
100.882,0.096287,2.05005,-0.735722,312.0442,129.4933,344.2311
100.8997,0.096287,2.05005,-0.735722,312.0442,129.4933,344.2311
100.9142,0.099428,2.05005,-0.738328,312.0291,129.4499,344.2577
100.9319,0.102535,2.05005,-0.738286,312.0291,129.4264,344.2577
