time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
30.12483,0,1.244464,2.80571,318.0507,178.6637,282.6845
30.13215,0,1.244464,2.80571,318.0507,178.6637,282.6845
30.13468,0,1.244464,2.80571,318.0507,178.6637,282.6845
30.13728,0,1.244464,2.80571,318.0507,178.6637,282.6845
30.14082,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.1446,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.14701,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.15014,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.15293,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.15613,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.15903,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.16226,0,1.244464,2.80571,317.9769,178.6212,282.6476
30.16543,0,1.244464,2.80571,317.9769,178.6212,282.6476
30.16814,0,1.244464,2.80571,317.9769,178.6212,282.6476
30.17155,0,1.244464,2.80571,317.9769,178.6212,282.6476
30.17432,0,1.244464,2.80571,317.9769,178.6212,282.6476
30.17748,0,1.244464,2.80571,317.9769,178.6212,282.6476
30.18039,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.18414,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.18707,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.19018,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.19325,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.19819,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.20115,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.20464,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.20708,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.20987,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.21297,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.21597,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.22014,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.22382,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.2269,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.22994,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.23302,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.23593,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.23875,0,1.244464,2.80571,317.9775,178.6655,282.6833
30.24192,0,1.244464,2.80571,317.9775,178.6655,282.6833
