time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
30.12483,-0.099352,2.05005,-1.51363,312.7335,188.5276,212.9522
30.13215,-0.099352,2.05005,-1.51363,312.7335,188.5276,212.9522
30.13468,-0.099352,2.05005,-1.51363,312.7335,188.5276,212.9522
30.13728,-0.099352,2.05005,-1.51363,312.7335,188.5276,212.9522
30.14082,-0.099352,2.05005,-1.51363,312.8035,188.428,212.99
30.1446,-0.099352,2.05005,-1.51363,312.8035,188.428,212.99
30.14701,-0.099352,2.05005,-1.51363,312.8035,188.428,212.99
30.15014,-0.099352,2.05005,-1.51363,312.8035,188.428,212.99
30.15293,-0.099352,2.05005,-1.51363,312.8035,188.428,212.99
30.15613,-0.099352,2.05005,-1.51363,312.8035,188.428,212.99
30.15903,-0.099352,2.05005,-1.51363,312.8035,188.428,212.99
30.16226,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.16543,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.16814,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.17155,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.17432,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.17748,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.18039,-0.102777,2.05005,-1.513588,312.7335,188.5512,212.9522
30.18414,-0.102777,2.05005,-1.513588,312.7335,188.5512,212.9522
30.18707,-0.102777,2.05005,-1.513588,312.7335,188.5512,212.9522
30.19018,-0.102777,2.05005,-1.513588,312.7335,188.5512,212.9522
30.19325,-0.102777,2.05005,-1.513588,312.7335,188.5512,212.9522
30.19819,-0.102777,2.05005,-1.513588,312.7335,188.5512,212.9522
30.20115,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.20464,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.20708,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.20987,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.21297,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.21597,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.22014,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.22382,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.2269,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.22994,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.23302,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.23593,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.23875,-0.102777,2.05005,-1.513588,312.8035,188.4515,212.99
30.24192,-0.102777,2.05005,-1.513588,312.8066,188.5459,212.9561
30.24715,-0.102777,2.05005,-1.513588,312.8066,188.5459,212.9561
30.25239,-0.102777,2.05005,-1.513588,312.8066,188.5459,212.9561
