time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
182.262,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.2704,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.2735,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.2774,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.2806,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.2854,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.2886,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.2914,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.2939,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.2968,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.2997,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3025,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3063,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3092,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3119,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3149,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3179,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3215,-0.106159,-0.719598,0.80581,18.64376,187.7091,290.7493
182.3253,-0.106159,-0.719598,0.80581,18.64376,187.7091,290.7493
182.3283,-0.106159,-0.719598,0.80581,18.64376,187.7091,290.7493
182.3314,-0.106159,-0.719598,0.80581,18.64376,187.7091,290.7493
182.3449,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3496,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3522,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3546,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3574,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.3601,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.366,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.3686,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.3709,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.3736,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.3763,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.379,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.3823,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.386,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.3885,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.3914,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.3942,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.397,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.3997,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
182.4024,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4057,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4084,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4109,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4134,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4159,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.418,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4202,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4259,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4285,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.432,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4353,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4387,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4419,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4467,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4496,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4522,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4548,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4577,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4604,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.465,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4677,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4703,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4726,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4755,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4784,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4815,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4957,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.4987,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.5012,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.5048,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.5077,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.51,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.5123,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.5152,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.5175,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.5197,-0.106159,-0.719598,0.80581,18.64509,187.6329,290.7372
182.5219,-0.106159,-0.719598,0.80581,18.71832,187.6343,290.7376
