time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
182.262,-0.01534,1.74404,-1.483467,299.5304,209.8497,0.638244
182.2704,-0.01534,1.74404,-1.483467,299.5304,209.8497,0.638244
182.2735,-0.01534,1.74404,-1.483467,299.5304,209.8497,0.638244
182.2774,-0.01534,1.74404,-1.483467,299.5304,209.8497,0.638244
182.2806,-0.017896,1.74404,-1.48346,299.5304,209.8733,0.638249
182.2854,-0.017896,1.74404,-1.48346,299.5304,209.8733,0.638249
182.2886,-0.017896,1.74404,-1.48346,299.5304,209.8733,0.638249
182.2914,-0.017896,1.74404,-1.48346,299.5304,209.8733,0.638249
182.2939,-0.017896,1.74404,-1.48346,299.5304,209.8733,0.638249
182.2968,-0.017896,1.74404,-1.48346,299.5304,209.8733,0.638249
182.2997,-0.017896,1.74404,-1.48346,299.5304,209.8733,0.638249
182.3025,-0.017896,1.74404,-1.48346,299.5375,209.9671,0.612965
182.3063,-0.017896,1.74404,-1.48346,299.5375,209.9671,0.612965
182.3092,-0.017896,1.74404,-1.48346,299.5375,209.9671,0.612965
182.3119,-0.017896,1.74404,-1.48346,299.5375,209.9671,0.612965
182.3149,-0.017896,1.74404,-1.48346,299.5375,209.9671,0.612965
182.3179,-0.017896,1.74404,-1.48346,299.5375,209.9671,0.612965
182.3215,-0.017896,1.74404,-1.48346,299.5375,209.9671,0.612965
182.3253,-0.017896,1.74404,-1.48346,299.5375,209.9671,0.612965
182.3283,-0.017896,1.74404,-1.48346,299.5375,209.9671,0.612965
182.3314,-0.017896,1.74404,-1.48346,299.5375,209.9671,0.612965
182.3449,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.3496,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.3522,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.3546,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.3574,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.3601,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.366,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.3686,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.3709,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.3736,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.3763,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.379,-0.017896,1.74404,-1.48346,299.5446,210.0609,0.587716
182.3823,-0.017896,1.74404,-1.48346,299.5518,210.1547,0.562499
182.386,-0.017896,1.74404,-1.48346,299.5518,210.1547,0.562499
182.3885,-0.017896,1.74404,-1.48346,299.5518,210.1547,0.562499
182.3914,-0.017896,1.74404,-1.48346,299.5518,210.1547,0.562499
182.3942,-0.017896,1.74404,-1.48346,299.5518,210.1547,0.562499
182.397,-0.017896,1.74404,-1.48346,299.5518,210.1547,0.562499
182.3997,-0.017896,1.74404,-1.48346,299.5518,210.1547,0.562499
182.4024,-0.017902,1.74404,-1.485591,299.5316,210.1753,0.538827
182.4057,-0.017902,1.74404,-1.485591,299.5316,210.1753,0.538827
182.4084,-0.017902,1.74404,-1.485591,299.5316,210.1753,0.538827
182.4109,-0.017902,1.74404,-1.485591,299.5316,210.1753,0.538827
182.4134,-0.017902,1.74404,-1.485591,299.5316,210.1753,0.538827
182.4159,-0.017902,1.74404,-1.485591,299.5316,210.1753,0.538827
182.418,-0.017902,1.74404,-1.485591,299.5316,210.1753,0.538827
182.4202,-0.01535,1.74404,-1.487729,299.5258,210.3836,0.391278
182.4259,-0.01535,1.74404,-1.487729,299.5258,210.3836,0.391278
182.4285,-0.01535,1.74404,-1.48773,299.5258,210.3836,0.391278
182.432,-0.01535,1.74404,-1.487729,299.5258,210.3836,0.391278
182.4353,-0.01535,1.74404,-1.487729,299.5258,210.3836,0.391278
182.4387,-0.01535,1.74404,-1.487729,299.5258,210.3836,0.391278
182.4419,-0.015366,1.74404,-1.494122,299.458,210.3284,0.418328
182.4467,-0.015366,1.74404,-1.494122,299.458,210.3284,0.418328
182.4496,-0.015366,1.74404,-1.494122,299.458,210.3284,0.418328
182.4522,-0.015366,1.74404,-1.494122,299.458,210.3284,0.418328
182.4548,-0.015366,1.74404,-1.494122,299.458,210.3284,0.418328
182.4577,-0.015366,1.74404,-1.494122,299.458,210.3284,0.418328
182.4604,-0.015382,1.74404,-1.500512,299.3975,210.3909,0.346579
182.465,-0.015382,1.74404,-1.500512,299.3975,210.3909,0.346579
182.4677,-0.015382,1.74404,-1.500512,299.3975,210.3909,0.346579
182.4703,-0.015382,1.74404,-1.500512,299.3975,210.3909,0.346579
182.4726,-0.015382,1.74404,-1.500512,299.3975,210.3909,0.346579
182.4755,-0.015382,1.74404,-1.500512,299.3975,210.3909,0.346579
182.4784,-0.015382,1.74404,-1.500512,299.3975,210.3909,0.346579
182.4815,-0.017958,1.74404,-1.504765,299.3572,210.4563,0.225355
182.4957,-0.017958,1.74404,-1.504765,299.3572,210.4563,0.225355
182.4987,-0.017958,1.74404,-1.504765,299.3572,210.4563,0.225355
182.5012,-0.017976,1.74404,-1.511154,299.2968,210.5192,0.2264
182.5048,-0.017976,1.74404,-1.511153,299.2968,210.5192,0.2264
182.5077,-0.017976,1.74404,-1.511153,299.2968,210.5192,0.2264
182.51,-0.017976,1.74404,-1.511153,299.2968,210.5192,0.2264
182.5123,-0.017976,1.74404,-1.511153,299.2968,210.5192,0.2264
182.5152,-0.017976,1.74404,-1.511153,299.2968,210.5192,0.2264
182.5175,-0.017976,1.74404,-1.511153,299.2968,210.5192,0.2264
182.5197,-0.017976,1.74404,-1.511153,299.2968,210.5192,0.2264
182.5219,-0.017982,1.74404,-1.513282,299.2841,210.6347,0.102998
182.5251,-0.017982,1.74404,-1.513282,299.2841,210.6347,0.102998
182.5281,-0.017982,1.74404,-1.513282,299.2841,210.6347,0.102998
182.5312,-0.017982,1.74404,-1.513282,299.2841,210.6347,0.102998
182.5339,-0.017982,1.74404,-1.513282,299.2841,210.6347,0.102998
182.5365,-0.017982,1.74404,-1.513282,299.2841,210.6347,0.102998
182.5389,-0.017982,1.74404,-1.513282,299.2841,210.6347,0.102998
182.5413,-0.017988,1.74404,-1.515411,299.3288,210.5374,0.198977
182.5451,-0.017988,1.74404,-1.515411,299.3288,210.5374,0.198977
182.5481,-0.017988,1.74404,-1.515411,299.3288,210.5374,0.198977
182.5508,-0.017988,1.74404,-1.515411,299.3288,210.5374,0.198977
182.5534,-0.017988,1.74404,-1.515411,299.3288,210.5374,0.198977
182.5562,-0.017988,1.74404,-1.515411,299.3288,210.5374,0.198977
182.559,-0.017988,1.74404,-1.515411,299.3288,210.5374,0.198977
182.5612,-0.017994,1.74404,-1.51754,299.3161,210.6529,0.148759
182.5653,-0.017994,1.74404,-1.51754,299.3161,210.6529,0.148759
182.5682,-0.017994,1.74404,-1.51754,299.3161,210.6529,0.148759
182.5709,-0.017994,1.74404,-1.51754,299.3161,210.6529,0.148759
182.5733,-0.017994,1.74404,-1.51754,299.3161,210.6529,0.148759
182.5757,-0.017994,1.74404,-1.51754,299.3161,210.6529,0.148759
182.5782,-0.017994,1.74404,-1.51754,299.3161,210.6529,0.148759
182.5809,-0.017994,1.74404,-1.51754,299.3236,210.7474,0.049447
182.5853,-0.017994,1.74404,-1.51754,299.3236,210.7474,0.049447
182.588,-0.017994,1.74404,-1.51754,299.3236,210.7474,0.049447
182.591,-0.017994,1.74404,-1.51754,299.3236,210.7474,0.049447
182.594,-0.017994,1.74404,-1.51754,299.3236,210.7474,0.049447
182.5968,-0.017994,1.74404,-1.51754,299.3236,210.7474,0.049447
182.5995,-0.017994,1.74404,-1.51754,299.3236,210.7474,0.049447
182.6021,-0.018031,1.74404,-1.530308,299.2032,210.8748,359.9766
182.606,-0.018031,1.74404,-1.530308,299.2032,210.8748,359.9766
