time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.961666,-0.098127,2.05005,-1.410917,333.9439,198.1892,42.0415
8.972304,-0.098127,2.05005,-1.410917,333.9439,198.1892,42.0415
8.97897,-0.098127,2.05005,-1.410917,333.9439,198.1892,42.0415
8.982093,-0.094743,2.05005,-1.410957,333.9373,198.0855,42.06499
8.986996,-0.094743,2.05005,-1.410957,333.9373,198.0855,42.06499
8.990731,-0.094743,2.05005,-1.410957,333.9373,198.0855,42.06499
8.994598,-0.094743,2.05005,-1.410957,333.9373,198.0855,42.06499
8.999297,-0.094743,2.05005,-1.410957,333.9373,198.0855,42.06499
9.013395,-0.094743,2.05005,-1.410957,333.9506,198.2458,41.94477
9.017747,-0.094743,2.05005,-1.410957,333.9506,198.2458,41.94477
9.020909,-0.094743,2.05005,-1.410957,333.8777,198.2533,41.94146
9.027369,-0.094743,2.05005,-1.410957,333.8777,198.2533,41.94146
9.03002,-0.094743,2.05005,-1.410957,333.8777,198.2533,41.94146
9.032485,-0.094743,2.05005,-1.410957,333.8777,198.2533,41.94146
9.03479,-0.094743,2.05005,-1.410957,333.8777,198.2533,41.94146
9.037179,-0.094743,2.05005,-1.410957,333.8777,198.2533,41.94146
9.041252,-0.094743,2.05005,-1.410957,333.9506,198.2458,41.94477
9.046319,-0.094743,2.05005,-1.410957,333.9506,198.2458,41.94477
9.049678,-0.094743,2.05005,-1.410957,333.9506,198.2458,41.94477
9.052386,-0.094743,2.05005,-1.410957,333.9506,198.2458,41.94477
9.055328,-0.094743,2.05005,-1.410957,333.9506,198.2458,41.94477
9.059081,-0.094743,2.05005,-1.410957,333.9506,198.2458,41.94477
9.061811,-0.094743,2.05005,-1.410957,333.9573,198.3259,42.0678
9.066379,-0.094743,2.05005,-1.410957,333.9573,198.3259,42.0678
9.0688,-0.094743,2.05005,-1.410957,333.9573,198.3259,42.0678
9.071984,-0.094743,2.05005,-1.410957,333.9573,198.3259,42.0678
9.075358,-0.094743,2.05005,-1.410957,333.9573,198.3259,42.0678
9.077766,-0.094743,2.05005,-1.410957,333.9573,198.3259,42.0678
9.080185,-0.094743,2.05005,-1.410957,333.9506,198.2458,42.01802
9.083841,-0.094743,2.05005,-1.410957,333.9506,198.2458,42.01802
9.086775,-0.094743,2.05005,-1.410957,333.9506,198.2458,42.01802
9.090296,-0.094743,2.05005,-1.410957,333.9506,198.2458,42.01802
9.093139,-0.094743,2.05005,-1.410957,333.9506,198.2458,42.01802
9.095572,-0.094743,2.05005,-1.410957,333.9506,198.2458,42.01802
9.098261,-0.094743,2.05005,-1.410957,333.9506,198.2458,42.01802
9.101073,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.98667
9.106617,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.98667
9.109133,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.98667
9.111934,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.98667
9.114476,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.98667
9.11737,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.98667
9.120397,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.124176,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.126542,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.12902,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.132164,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.135966,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.138723,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.141281,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.146542,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.149979,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.15303,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.155901,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.158543,-0.094773,2.05005,-1.413546,333.9351,198.3294,41.91342
9.161135,-0.094773,2.05005,-1.413546,334.008,198.3218,41.98999
9.166812,-0.094773,2.05005,-1.413546,334.008,198.3218,41.98999
9.169264,-0.094773,2.05005,-1.413546,334.008,198.3218,41.98999
9.17222,-0.094773,2.05005,-1.413546,334.008,198.3218,41.98999
9.17502,-0.094773,2.05005,-1.413546,334.008,198.3218,41.98999
9.177864,-0.094773,2.05005,-1.413546,334.008,198.3218,41.98999
9.181265,-0.098158,2.05005,-1.413507,334.008,198.3454,41.91674
9.186516,-0.098157,2.05005,-1.413507,334.008,198.3454,41.91674
9.18988,-0.098158,2.05005,-1.413507,334.008,198.3454,41.91674
9.193114,-0.098158,2.05005,-1.413507,334.008,198.3454,41.91674
9.196733,-0.098158,2.05005,-1.413507,334.008,198.3454,41.91674
9.199286,-0.098158,2.05005,-1.413507,334.008,198.3454,41.91674
9.201842,-0.098158,2.05005,-1.413507,334.0147,198.4255,41.89327
9.206695,-0.098158,2.05005,-1.413507,334.0147,198.4255,41.89327
9.209167,-0.098158,2.05005,-1.413507,334.0147,198.4255,41.89327
9.212699,-0.098158,2.05005,-1.413507,334.0147,198.4255,41.89327
9.215652,-0.098158,2.05005,-1.413507,334.0147,198.4255,41.89327
9.218297,-0.098158,2.05005,-1.413507,334.0147,198.4255,41.89327
9.221037,-0.098158,2.05005,-1.413507,334.0809,198.3378,41.99331
9.226747,-0.098158,2.05005,-1.413507,334.0809,198.3378,41.99331
9.229363,-0.098158,2.05005,-1.413507,334.0809,198.3378,41.99331
9.231905,-0.098158,2.05005,-1.413507,334.0809,198.3378,41.99331
9.234274,-0.098158,2.05005,-1.413507,334.0809,198.3378,41.99331
9.237226,-0.098158,2.05005,-1.413507,334.0809,198.3378,41.99331
9.240351,-0.098127,2.05005,-1.410917,334.1099,198.4144,41.97774
9.246529,-0.098127,2.05005,-1.410917,334.1099,198.4144,41.97774
9.24946,-0.098127,2.05005,-1.410917,334.1099,198.4144,41.97774
9.252597,-0.098127,2.05005,-1.410917,334.1099,198.4144,41.97774
9.25532,-0.098127,2.05005,-1.410917,334.1099,198.4144,41.97774
9.258877,-0.098127,2.05005,-1.410917,334.1099,198.4144,41.97774
9.261859,-0.10151,2.05005,-1.410876,334.1761,198.3504,42.00447
9.266199,-0.10151,2.05005,-1.410876,334.1761,198.3504,42.00447
9.269039,-0.10151,2.05005,-1.410876,334.1761,198.3504,42.00447
9.272543,-0.10151,2.05005,-1.410876,334.1761,198.3504,42.00447
9.276314,-0.10151,2.05005,-1.410876,334.1761,198.3504,42.00447
9.27877,-0.10151,2.05005,-1.410876,334.1761,198.3504,42.00447
9.281332,-0.104861,2.05005,-1.408243,334.1983,198.3705,41.93908
9.286251,-0.104861,2.05005,-1.408243,334.1983,198.3705,41.93908
9.289679,-0.104861,2.05005,-1.408243,334.1983,198.3705,41.93908
9.292655,-0.104861,2.05005,-1.408243,334.1983,198.3705,41.93908
9.295281,-0.104861,2.05005,-1.408243,334.1983,198.3705,41.93908
9.297986,-0.104861,2.05005,-1.408243,334.1983,198.3705,41.93908
9.300898,-0.108243,2.05005,-1.4082,334.1983,198.3941,41.86584
9.30678,-0.108243,2.05005,-1.4082,334.1983,198.3941,41.86584
9.309527,-0.108243,2.05005,-1.4082,334.1983,198.3941,41.86584
9.31238,-0.108243,2.05005,-1.4082,334.1983,198.3941,41.86584
