time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.961666,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.972304,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.97897,0,1.244464,2.80571,335.7121,179.9389,40.33271
8.982093,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.986996,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.990731,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.994598,0,1.244464,2.80571,335.6388,179.8827,40.30356
8.999297,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.013395,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.017747,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.020909,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.027369,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.03002,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.032485,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.03479,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.037179,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.041252,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.046319,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.049678,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.052386,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.055328,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.059081,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.061811,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.066379,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.0688,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.071984,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.075358,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.077766,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.080185,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.083841,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.086775,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.090296,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.093139,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.095572,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.098261,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.101073,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.106617,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.109133,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.111934,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.114476,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.11737,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.120397,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.124176,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.126542,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.12902,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.132164,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.135966,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.138723,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.141281,0,1.244465,2.80571,335.6388,179.8827,40.30356
9.146542,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.149979,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.15303,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.155901,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.158543,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.161135,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.166812,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.169264,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.17222,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.17502,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.177864,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.181265,0,1.244464,2.80571,335.6389,179.939,40.33269
9.186516,0,1.244464,2.80571,335.6389,179.939,40.33269
9.18988,0,1.244464,2.80571,335.6389,179.939,40.33269
9.193114,0,1.244464,2.80571,335.6389,179.939,40.33269
9.196733,0,1.244464,2.80571,335.6389,179.939,40.33269
9.199286,0,1.244464,2.80571,335.6389,179.939,40.33269
9.201842,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.206695,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.209167,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.212699,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.215652,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.218297,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.221037,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.226747,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.229363,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.231905,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.234274,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.237226,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.240351,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.246529,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.24946,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.252597,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.25532,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.258877,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.261859,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.266199,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.269039,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.272543,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.276314,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.27877,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.281332,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.286251,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.289679,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.292655,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.295281,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.297986,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.300898,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.30678,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.309527,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.31238,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.315036,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.317762,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.321082,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.326748,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.330225,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.333249,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.33629,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.339088,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.341994,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.346646,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.349614,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.353337,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.356222,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.359035,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.362075,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.36764,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.371119,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.374558,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.37754,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.380429,0,1.244464,2.80571,335.6388,179.8827,40.3768
9.386771,0,1.244464,2.80571,335.6388,179.8827,40.3768
9.39045,0,1.244464,2.80571,335.6388,179.8827,40.3768
9.393622,0,1.244464,2.80571,335.6388,179.8827,40.3768
9.396734,0,1.244464,2.80571,335.6388,179.8827,40.3768
9.399933,0,1.244464,2.80571,335.6388,179.8827,40.3768
9.402677,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.406794,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.409112,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.412144,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.415226,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.417935,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.420637,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.426178,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.429524,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.432424,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.435525,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.438348,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.441,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.446985,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.450008,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.453232,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.466002,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.469318,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.473301,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.476616,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.479845,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.482974,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.486941,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.490151,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.493714,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.496196,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.498833,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.501772,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.507524,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.510328,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.513243,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.515702,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.518757,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.522331,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.526808,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.52913,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.532104,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.535001,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.538389,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.5414,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.546845,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.549997,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.553393,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.556688,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.559152,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.561704,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.566317,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.56984,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.573072,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.576071,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.57885,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.581738,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.586348,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.589355,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.595894,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.599669,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.603371,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.607373,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.610506,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.613272,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.616146,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.619047,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.621701,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.626905,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.630544,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.63351,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.636578,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.639754,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.642844,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.647727,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.650239,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.653021,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.655733,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.658448,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.661717,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.666389,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.669192,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.673005,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.676315,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.679422,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.682354,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.686835,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.689728,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.693202,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.695743,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.698546,0,1.244464,2.80571,335.7121,179.9389,40.40595
9.70147,0,1.244464,2.80571,335.712,179.8264,40.34772
9.707328,0,1.244464,2.80571,335.712,179.8264,40.34772
9.710944,0,1.244464,2.80571,335.712,179.8264,40.34772
9.713472,0,1.244464,2.80571,335.712,179.8264,40.34772
9.716073,0,1.244464,2.80571,335.712,179.8264,40.34772
9.718633,0,1.244464,2.80571,335.712,179.8264,40.34772
9.721454,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.726821,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.729406,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.732767,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.735607,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.738735,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.742099,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.746906,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.750043,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.75316,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.756598,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.759171,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.761808,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.76631,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.769147,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.772326,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.775088,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.778026,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.781103,0,1.244464,2.80571,335.6389,179.939,40.33269
9.78697,0,1.244464,2.80571,335.6389,179.939,40.33269
9.79028,0,1.244464,2.80571,335.6389,179.939,40.33269
9.793097,0,1.244464,2.80571,335.6389,179.939,40.33269
9.795906,0,1.244464,2.80571,335.6389,179.939,40.33269
9.798517,0,1.244464,2.80571,335.6389,179.939,40.33269
9.801631,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.807637,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.810437,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.813523,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.816256,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.819015,0,1.244464,2.80571,335.7121,179.8826,40.3036
9.821815,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.826773,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.829342,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.832811,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.835356,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.837801,0,1.244464,2.80571,335.6388,179.8827,40.30356
9.840834,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.846809,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.85082,0,1.244464,2.80571,335.7121,179.8826,40.37683
9.854423,0,1.244464,2.80571,335.7121,179.8826,40.37683
