time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
5.920234,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.930173,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.93686,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.940978,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.944781,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.947864,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.951553,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.954917,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.957691,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.960442,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.965069,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.968269,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.971668,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.974656,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.977562,-0.1009,2.05005,-1.643509,328.2383,180.5079,271.3656
5.985414,-0.1009,2.05005,-1.643509,328.2382,180.592,271.3371
5.988018,-0.1009,2.05005,-1.643509,328.2382,180.592,271.3371
5.991015,-0.1009,2.05005,-1.643509,328.2382,180.592,271.3371
5.994035,-0.1009,2.05005,-1.643509,328.2382,180.592,271.3371
6.000029,-0.1009,2.05005,-1.643509,328.2382,180.6761,271.3087
6.004622,-0.1009,2.05005,-1.643509,328.2382,180.6761,271.3087
6.007369,-0.1009,2.05005,-1.643509,328.2382,180.6761,271.3087
6.010426,-0.1009,2.05005,-1.643509,328.2382,180.6761,271.3087
6.013764,-0.1009,2.05005,-1.643509,328.2382,180.6761,271.3087
6.01712,-0.1009,2.05005,-1.643509,328.2382,180.6761,271.3087
6.02039,-0.100912,2.05005,-1.644443,328.2382,180.592,271.3371
6.024606,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.02728,-0.100912,2.05005,-1.644443,328.2382,180.592,271.3371
6.031201,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.034163,-0.100912,2.05005,-1.644443,328.2382,180.592,271.3371
6.036924,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.039886,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.043159,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.046683,-0.100912,2.05005,-1.644443,328.2382,180.592,271.3371
6.049621,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.052614,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.055451,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.058086,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.061918,-0.100912,2.05005,-1.644442,328.2382,180.6761,271.3087
6.065835,-0.100912,2.05005,-1.644443,328.2382,180.6761,271.3087
6.068882,-0.100912,2.05005,-1.644442,328.2382,180.6761,271.3087
6.072103,-0.100912,2.05005,-1.644442,328.2382,180.6761,271.3087
6.075729,-0.100912,2.05005,-1.644442,328.2382,180.6761,271.3087
6.078768,-0.100912,2.05005,-1.644442,328.2382,180.6761,271.3087
6.08257,-0.100912,2.05005,-1.644443,328.2382,180.592,271.3371
6.087831,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.092304,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.095068,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.098595,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.101798,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.105928,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.108642,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.111146,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.113919,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
6.116706,-0.100912,2.05005,-1.644442,328.2382,180.592,271.3371
