time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
9.402358,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.40624,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.409981,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.412838,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.416498,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.41964,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.423023,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.427552,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.43216,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.434568,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.438007,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.441115,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.4459,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.449964,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.453089,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.456423,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.459456,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.463158,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.467675,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.470996,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.473971,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.4772,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.481014,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.485931,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.489267,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.492304,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.495723,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.498693,0,1.244464,2.80571,335.6389,179.9952,307.4137
9.501243,0,1.244464,2.80571,335.6389,179.9952,307.4869
9.505239,0,1.244464,2.80571,335.6389,179.9952,307.4869
9.50882,0,1.244464,2.80571,335.6389,179.9952,307.4869
9.512302,0,1.244464,2.80571,335.6389,179.9952,307.4869
9.515987,0,1.244464,2.80571,335.6389,179.9952,307.4869
9.519615,0,1.244464,2.80571,335.6389,179.9952,307.4869
9.522715,0,1.244464,2.80571,335.6389,179.939,307.4578
