time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
19.20383,-0.03767,2.05005,-1.510687,314.3765,181.4604,294.5408
19.20687,-0.03767,2.05005,-1.510687,314.3765,181.4604,294.5408
19.21047,-0.03767,2.05005,-1.510687,314.3765,181.4604,294.5408
19.21375,-0.03767,2.05005,-1.510687,314.3765,181.4604,294.5408
19.21732,-0.03767,2.05005,-1.510687,314.3765,181.4604,294.5408
19.22044,-0.03767,2.05005,-1.510687,314.377,181.5534,294.5079
19.22394,-0.03767,2.05005,-1.510687,314.377,181.5534,294.5079
19.22738,-0.03767,2.05005,-1.510687,314.377,181.5534,294.5079
19.23054,-0.03767,2.05005,-1.510687,314.377,181.5534,294.5079
19.23404,-0.03767,2.05005,-1.510687,314.377,181.5534,294.5079
19.23717,-0.03767,2.05005,-1.510687,314.377,181.5534,294.5079
19.2404,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.24418,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.24714,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.25076,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.25387,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.25725,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.26033,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.26376,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.26709,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.27025,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.27421,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.27723,-0.037659,2.05005,-1.508106,314.3998,181.4599,294.5414
19.28013,-0.037651,2.05005,-1.506484,314.4231,181.4594,294.5422
19.28392,-0.037651,2.05005,-1.506484,314.4231,181.4594,294.5422
19.28715,-0.037651,2.05005,-1.506484,314.4231,181.4594,294.5422
19.29018,-0.037651,2.05005,-1.506484,314.4231,181.4594,294.5422
19.29316,-0.037651,2.05005,-1.506484,314.4231,181.4594,294.5422
