time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
8.424706,-0.030742,2.04404,-1.496005,299.7307,175.4249,126.0478
8.432565,-0.030742,2.04404,-1.496005,299.7307,175.4249,126.0478
8.437109,-0.030742,2.04404,-1.496005,299.7307,175.4249,126.0478
8.440192,-0.030742,2.044039,-1.496005,299.7319,175.328,126.0767
8.445267,-0.030742,2.04404,-1.496006,299.7319,175.328,126.0767
8.448606,-0.030742,2.04404,-1.496006,299.7319,175.328,126.0767
8.452947,-0.030742,2.04404,-1.496005,299.7319,175.328,126.0767
8.456526,-0.030742,2.04404,-1.496005,299.7319,175.328,126.0767
8.46006,-0.030742,2.04404,-1.496005,299.7332,175.2311,126.1056
8.464686,-0.030742,2.04404,-1.496005,299.7332,175.2311,126.1056
8.468699,-0.030742,2.04404,-1.496005,299.7332,175.2311,126.1056
8.472359,-0.030742,2.04404,-1.496005,299.7332,175.2311,126.1056
8.47583,-0.030742,2.04404,-1.496005,299.7332,175.2311,126.1056
8.479336,-0.030742,2.04404,-1.496005,299.7332,175.2311,126.1056
8.482898,-0.030731,2.04404,-1.493874,299.7577,175.1378,126.1303
8.487563,-0.030731,2.04404,-1.493874,299.7577,175.1378,126.1303
8.491209,-0.030731,2.04404,-1.493874,299.7577,175.1378,126.1303
8.494664,-0.030731,2.04404,-1.493874,299.7577,175.1378,126.1303
8.498188,-0.030731,2.04404,-1.493874,299.7577,175.1378,126.1303
8.502008,-0.03071,2.04404,-1.489611,299.8774,175.1491,126.1185
8.50651,-0.03071,2.04404,-1.489611,299.8774,175.1491,126.1185
8.510077,-0.03071,2.04404,-1.489611,299.8774,175.1491,126.1185
8.513342,-0.03071,2.04404,-1.489611,299.8774,175.1491,126.1185
8.516489,-0.03071,2.04404,-1.489611,299.8774,175.1491,126.1185
8.520812,-0.030678,2.04404,-1.483215,299.9498,174.9671,126.1626
8.525117,-0.030678,2.04404,-1.483215,299.9498,174.9671,126.1626
8.528324,-0.030678,2.04404,-1.483215,299.9498,174.9671,126.1626
8.532107,-0.030678,2.04404,-1.483215,299.9498,174.9671,126.1626
8.536818,-0.030678,2.04404,-1.483215,299.9498,174.9671,126.1626
8.550416,-0.030636,2.04404,-1.474685,300.0441,174.886,126.1733
8.556405,-0.030636,2.04404,-1.474685,300.0441,174.886,126.1733
8.55967,-0.030636,2.04404,-1.474685,300.0441,174.886,126.1733
8.563191,-0.030626,2.04404,-1.472552,300.0686,174.7937,126.1969
8.567728,-0.030626,2.04404,-1.472552,300.0686,174.7937,126.1969
8.573263,-0.030626,2.04404,-1.472552,300.0686,174.7937,126.1969
8.577404,-0.030626,2.04404,-1.472552,300.0686,174.7937,126.1969
8.581331,-0.028064,2.04404,-1.470431,300.0187,174.7699,126.1227
8.586163,-0.028064,2.04404,-1.470431,300.0187,174.7699,126.1227
8.589581,-0.028064,2.04404,-1.470431,300.0187,174.7699,126.1227
8.593032,-0.028064,2.04404,-1.470431,300.0187,174.7699,126.1227
8.596481,-0.028064,2.04404,-1.470431,300.0187,174.7699,126.1227
8.599743,-0.028064,2.04404,-1.470431,300.0187,174.7699,126.1227
8.604171,-0.028064,2.04404,-1.470431,300.0932,174.678,126.2935
8.608255,-0.028064,2.04404,-1.470431,300.0932,174.678,126.2935
8.611751,-0.028064,2.04404,-1.470431,300.0932,174.678,126.2935
8.615139,-0.028064,2.04404,-1.470431,300.0932,174.678,126.2935
8.618513,-0.028064,2.04404,-1.470431,300.0932,174.678,126.2935
8.62181,-0.028064,2.04404,-1.470431,300.0932,174.678,126.147
8.625972,-0.028064,2.04404,-1.470431,300.0932,174.678,126.147
8.629417,-0.028064,2.04404,-1.470431,300.0932,174.678,126.147
8.632707,-0.028064,2.04404,-1.470431,300.0932,174.678,126.147
8.637289,-0.028064,2.04404,-1.470431,300.0932,174.678,126.147
8.640926,-0.028064,2.04404,-1.470431,300.0946,174.582,126.3213
8.645597,-0.028064,2.04404,-1.470431,300.0946,174.582,126.3213
8.648746,-0.028064,2.04404,-1.470431,300.0946,174.582,126.3213
8.652446,-0.028064,2.04404,-1.470431,300.0946,174.582,126.3213
8.65622,-0.028064,2.04404,-1.470431,300.0946,174.582,126.3213
8.659588,-0.028064,2.04404,-1.470431,300.0946,174.582,126.3213
8.663091,-0.028064,2.04404,-1.470431,300.0214,174.5778,126.2518
8.667276,-0.028064,2.04404,-1.470431,300.0214,174.5778,126.2518
8.671622,-0.028064,2.04404,-1.470431,300.0214,174.5778,126.2518
8.675534,-0.028064,2.04404,-1.470431,300.0214,174.5778,126.2518
8.679317,-0.028064,2.04404,-1.470431,300.0214,174.5778,126.2518
8.68328,-0.028064,2.04404,-1.470431,300.0946,174.582,126.3213
