time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
17.48156,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.48759,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.49061,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.49379,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.49679,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.4996,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.50344,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.50859,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.51286,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.5155,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.51884,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.52147,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.52729,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.52994,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.53292,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.53594,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.53946,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.542,0,1.244465,2.80571,335.6389,179.9952,39.62937
17.54737,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.55041,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.55313,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.55593,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.55857,0,1.244464,2.80571,335.6389,179.9952,39.62937
17.56187,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.56709,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.56959,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.57242,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.57514,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.57861,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.58198,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.58687,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.58951,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.59253,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.59619,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.5991,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.60191,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.6068,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.60969,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.61328,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.61584,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.61858,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.62139,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.62761,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.63034,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.63309,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.63589,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.63873,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.64157,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.64685,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.64933,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.65202,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.65489,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.65775,0,1.244464,2.80571,335.5656,179.9952,39.55613
17.66108,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.66431,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.66695,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.66956,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.67221,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.67571,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.67897,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.6815,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.68696,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.68993,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.69281,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.6954,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.69859,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.70144,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.70752,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.71087,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.71448,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.71759,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.72083,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.72775,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.73083,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.73405,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.73762,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.74108,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.74693,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.74987,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.75318,0,1.244464,2.80571,335.5656,179.9952,39.62937
17.75664,0,1.244464,2.80571,335.5656,179.9952,39.62937
