time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
7.714991,-0.073941,1.10005,-1.400416,318.6477,189.0894,208.2444
7.72847,-0.07389,1.10005,-1.395093,318.5475,189.09,208.2492
7.73592,-0.07389,1.10005,-1.395093,318.5475,189.09,208.2492
7.746034,-0.07384,1.10005,-1.389769,318.4539,189.3443,208.1961
7.756499,-0.07384,1.10005,-1.389769,318.4539,189.3443,208.1961
7.766554,-0.073771,1.10005,-1.382426,318.3812,189.5108,208.1674
7.776814,-0.073771,1.10005,-1.382426,318.3812,189.5108,208.1674
7.788043,-0.073732,1.10005,-1.378387,318.2878,189.765,208.1151
7.797753,-0.073732,1.10005,-1.378387,318.2878,189.765,208.1151
7.808549,-0.073745,1.10005,-1.379669,318.2901,189.8495,208.096
7.818011,-0.073745,1.10005,-1.379669,318.2901,189.8495,208.096
7.828072,-0.073751,1.10005,-1.380308,318.1461,189.9414,208.0719
7.839276,-0.073751,1.10005,-1.380308,318.1461,189.9414,208.0719
7.849564,-0.067412,1.10005,-1.388994,318.0062,189.993,208.0347
7.859377,-0.067412,1.10005,-1.388994,318.0062,189.993,208.0347
7.869358,-0.061138,1.10005,-1.407679,317.7948,189.9706,207.9278
7.880055,-0.054744,1.10005,-1.413686,317.7257,189.934,207.9854
7.890486,-0.054744,1.10005,-1.413686,317.7257,189.934,207.9854
7.900032,-0.048451,1.10005,-1.437665,317.5185,189.9186,207.9382
7.910905,-0.048451,1.10005,-1.437665,317.5185,189.9186,207.9382
7.919516,-0.048451,1.10005,-1.437665,317.5185,189.9186,207.9382
7.930356,-0.045424,1.10005,-1.472864,317.2192,189.9416,207.7962
7.940942,-0.048734,1.10005,-1.483465,317.2003,189.9755,207.7777
7.950708,-0.048734,1.10005,-1.483465,317.2003,189.9755,207.7777
7.960606,-0.048816,1.10005,-1.496735,317.0853,189.9936,207.7511
7.971269,-0.048815,1.10005,-1.496735,317.0853,189.9936,207.7511
7.981245,-0.048848,1.10005,-1.502042,317.1124,189.9967,207.8165
