time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
73.64531,-0.064877,2.05005,-0.042117,325.629,186.2817,106.0229
73.64977,-0.064877,2.05005,-0.042117,325.629,186.2817,106.0229
73.65469,-0.064877,2.05005,-0.042117,325.629,186.2817,106.0229
73.66068,-0.064877,2.05005,-0.042117,325.629,186.2817,106.0229
73.6676,-0.064877,2.05005,-0.042117,325.629,186.2817,106.0229
73.67022,-0.064877,2.05005,-0.042117,325.629,186.2817,106.0229
73.67368,-0.064877,2.05005,-0.042117,325.629,186.2817,106.0229
73.67697,-0.064877,2.05005,-0.042117,325.629,186.2817,106.0229
73.67993,-0.064877,2.05005,-0.042117,325.629,186.2817,106.0229
73.68385,-0.064877,2.05005,-0.042117,325.6281,186.203,105.9602
73.68794,-0.064877,2.05005,-0.042117,325.6281,186.203,105.9602
73.69182,-0.064877,2.05005,-0.042117,325.6281,186.203,105.9602
73.69942,-0.064877,2.05005,-0.042117,325.6281,186.203,105.9602
73.7017,-0.064877,2.05005,-0.042117,325.6281,186.203,106.1067
73.70584,-0.064877,2.05005,-0.042117,325.6281,186.203,106.1067
73.71069,-0.064877,2.05005,-0.042117,325.6281,186.203,106.1067
73.71539,-0.064877,2.05005,-0.042117,325.6281,186.203,106.1067
73.71888,-0.064877,2.05005,-0.042117,325.6281,186.203,106.1067
73.72223,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.1095
73.72643,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.1095
73.73055,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.1095
73.73396,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.1095
73.73709,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.1095
73.74033,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.0362
73.74586,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.0362
73.74895,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.0362
73.75249,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.0362
73.75571,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.0362
73.75952,-0.064852,2.05005,-0.03942,325.6514,186.2014,106.0362
73.76375,-0.067671,2.05005,-0.039393,325.7238,186.1451,106.0474
73.76765,-0.067671,2.05005,-0.039393,325.7238,186.1451,106.0474
73.77124,-0.067671,2.05005,-0.039393,325.7238,186.1451,106.0474
73.77579,-0.067671,2.05005,-0.039393,325.7238,186.1451,106.0474
73.77909,-0.067671,2.05005,-0.039393,325.7238,186.1451,106.0474
73.78238,-0.067671,2.05005,-0.039393,325.6514,186.225,106.0362
73.78629,-0.067671,2.05005,-0.039393,325.6514,186.225,106.0362
73.78951,-0.067671,2.05005,-0.039393,325.6514,186.225,106.0362
73.79244,-0.067671,2.05005,-0.039393,325.6514,186.225,106.0362
73.79531,-0.067671,2.05005,-0.039393,325.6514,186.225,106.0362
73.79836,-0.067671,2.05005,-0.039393,325.6514,186.225,106.0362
73.80141,-0.067671,2.05005,-0.039393,325.6505,186.1463,106.12
73.80769,-0.067671,2.05005,-0.039393,325.6505,186.1463,106.12
73.81089,-0.067671,2.05005,-0.039393,325.6505,186.1463,106.12
73.81391,-0.067671,2.05005,-0.039393,325.6505,186.1463,106.12
73.81705,-0.067671,2.05005,-0.039393,325.6505,186.1463,106.12
