time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
39.786,0.036648,2.05005,-0.038233,340.293,190.8517,275.6701
39.79101,0.036648,2.05005,-0.038233,340.293,190.8517,275.6701
39.79531,0.036648,2.05005,-0.038233,340.293,190.8517,275.6701
39.79889,0.036648,2.05005,-0.038233,340.293,190.8517,275.6701
39.80346,0.036648,2.05005,-0.038233,340.2198,190.8536,275.6695
39.8075,0.036648,2.05005,-0.038233,340.2198,190.8536,275.6695
39.81108,0.036648,2.05005,-0.038233,340.2198,190.8536,275.6695
39.81441,0.036648,2.05005,-0.038233,340.2198,190.8536,275.6695
39.81886,0.036648,2.05005,-0.038233,340.2198,190.8536,275.6695
39.82246,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.82657,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.83021,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.8341,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.83775,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.84133,0.036648,2.05005,-0.038233,340.293,190.8517,275.6701
39.8456,0.036648,2.05005,-0.038233,340.293,190.8517,275.6701
39.8499,0.036648,2.05005,-0.038233,340.293,190.8517,275.6701
39.85311,0.036648,2.05005,-0.038233,340.293,190.8517,275.6701
39.85661,0.036648,2.05005,-0.038233,340.293,190.8517,275.6701
39.86042,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.86563,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.86913,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.87841,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.88111,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.88564,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.88889,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.89283,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.89743,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.90111,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.90745,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.91277,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.91528,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.91831,0.036648,2.05005,-0.038233,340.2948,190.9276,275.6606
39.92182,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.9267,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.93058,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.93396,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.93713,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.94097,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.94601,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
39.94944,0.036648,2.05005,-0.038233,340.2216,190.9295,275.6599
