time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
36.1298,0.109211,1.10005,-1.393526,315.2157,212.0233,235.2213
36.13876,0.109211,1.10005,-1.393526,315.2157,212.0233,235.2213
36.15058,0.105999,1.10005,-1.39357,315.2883,212.0331,235.231
36.16059,0.102787,1.10005,-1.393613,315.2882,212.0567,235.231
36.1709,0.102787,1.10005,-1.393613,315.2882,212.0567,235.231
36.18044,0.09312,1.10005,-1.391073,315.2353,212.1285,235.2391
36.19028,0.09312,1.10005,-1.391073,315.2353,212.1285,235.2391
36.19923,0.09312,1.10005,-1.391073,315.2353,212.1285,235.2391
36.20921,0.077019,1.10005,-1.386595,315.3392,212.1236,235.3017
36.2236,0.070577,1.10005,-1.383994,315.2783,212.0879,235.3273
36.22876,0.070577,1.10005,-1.383994,315.2783,212.0879,235.3273
36.23522,0.070577,1.10005,-1.383994,315.2783,212.0879,235.3273
36.24755,0.060917,1.10005,-1.379419,315.3824,212.0362,235.3895
36.257,0.060917,1.10005,-1.379419,315.3824,212.0362,235.3895
36.26577,0.054486,1.10005,-1.376805,315.3294,212.0844,235.3977
36.2782,0.054486,1.10005,-1.376805,315.3294,212.0844,235.3977
36.29001,0.048027,1.10005,-1.368859,315.3807,212.0105,235.4678
36.29895,0.048027,1.10005,-1.368859,315.3807,212.0105,235.4678
36.30801,0.035175,1.10005,-1.358941,315.452,211.9717,235.555
36.31796,0.035175,1.10005,-1.358941,315.452,211.9717,235.555
36.32689,0.006382,1.10005,-1.343031,315.5554,211.9431,235.6934
36.33767,0.006382,1.10005,-1.343031,315.5554,211.9431,235.6934
36.34676,-0.028641,1.10005,-1.321653,315.6044,211.7004,235.9062
36.35645,-0.028641,1.10005,-1.321653,315.6044,211.7004,235.9062
36.36948,-0.060297,1.10005,-1.300129,315.7211,211.3403,236.1411
36.37717,-0.060297,1.10005,-1.300129,315.7211,211.3403,236.1411
36.38666,-0.091777,1.10005,-1.278462,315.7541,211.0659,236.3312
36.39814,-0.091777,1.10005,-1.278462,315.7541,211.0659,236.3312
36.40676,-0.110495,1.10005,-1.259519,315.7888,210.7458,236.519
36.41566,-0.110495,1.10005,-1.259519,315.7888,210.7458,236.519
36.42447,-0.132177,1.10005,-1.23512,315.8798,210.3106,236.7682
36.43299,-0.132177,1.10005,-1.23512,315.8798,210.3106,236.7682
36.44482,-0.14446,1.10005,-1.218851,315.8961,210.1706,236.8716
36.45684,-0.14446,1.10005,-1.218851,315.8961,210.1706,236.8716
36.47381,-0.192991,1.10005,-1.150834,316.1564,209.5763,237.3919
36.48466,-0.205149,1.10005,-1.139792,316.2012,209.3915,237.4819
36.49501,-0.205149,1.10005,-1.139792,316.2012,209.3915,237.4819
36.50168,-0.216807,1.10005,-1.112646,316.2977,209.1546,237.6543
36.50947,-0.216807,1.10005,-1.112646,316.2977,209.1546,237.6543
36.5203,-0.240803,1.10005,-1.087762,316.3587,208.8964,237.8618
36.52938,-0.240803,1.10005,-1.087762,316.3587,208.8964,237.8618
36.53895,-0.240803,1.10005,-1.087762,316.3587,208.8964,237.8618
36.54766,-0.264043,1.10005,-1.046018,316.3962,208.4204,238.1444
36.55742,-0.264043,1.10005,-1.046018,316.3962,208.4204,238.1444
36.56796,-0.275201,1.10005,-1.015372,316.4871,208.1682,238.3444
36.57645,-0.275201,1.10005,-1.015372,316.4871,208.1682,238.3444
36.5872,-0.280678,1.10005,-0.998357,316.3801,207.9361,238.4521
36.59787,-0.280678,1.10005,-0.998357,316.3801,207.9361,238.4521
36.60585,-0.282339,1.10005,-0.961961,316.409,207.7857,238.6167
36.61452,-0.282339,1.10005,-0.961961,316.409,207.7857,238.6167
36.62286,-0.282005,1.10005,-0.953223,316.4159,207.6736,238.6798
36.63282,-0.282005,1.10005,-0.953223,316.4159,207.6736,238.6798
36.64352,-0.281259,1.10005,-0.933722,316.2936,207.4856,238.7586
36.65387,-0.281259,1.10005,-0.933722,316.2936,207.4856,238.7586
36.66259,-0.280049,1.10005,-0.902097,316.4009,207.3859,238.9139
36.67316,-0.280049,1.10005,-0.902097,316.4009,207.3859,238.9139
36.68127,-0.278555,1.10005,-0.863042,316.6199,207.1806,239.1119
36.69344,-0.278555,1.10005,-0.863042,316.6199,207.1806,239.1119
36.7035,-0.277498,1.10005,-0.835418,316.6817,207.0204,239.2495
36.71223,-0.277498,1.10005,-0.835418,316.6817,207.0204,239.2495
36.72124,-0.273137,1.10005,-0.799121,316.8806,206.8036,239.4302
36.73066,-0.273137,1.10005,-0.799121,316.8806,206.8036,239.4302
36.74022,-0.272627,1.10005,-0.785635,316.8583,206.6811,239.5123
36.74762,-0.272627,1.10005,-0.785635,316.8583,206.6811,239.5123
36.75807,-0.272627,1.10005,-0.785635,316.8583,206.6811,239.5123
36.7682,-0.267922,1.10005,-0.739187,316.854,206.5322,239.7179
36.77679,-0.267922,1.10005,-0.739187,316.854,206.5322,239.7179
36.78736,-0.26085,1.10005,-0.707,316.9599,206.3087,239.8046
36.79687,-0.26085,1.10005,-0.707,316.9599,206.3087,239.8046
36.80574,-0.254289,1.10005,-0.687617,316.8896,206.2145,239.8856
36.81443,-0.254289,1.10005,-0.687617,316.8896,206.2145,239.8856
36.82361,-0.250985,1.10005,-0.676912,316.8803,206.1693,239.9214
36.83256,-0.250985,1.10005,-0.676912,316.8803,206.1693,239.9214
36.84151,-0.244193,1.10005,-0.649401,316.9471,206.0428,240.0452
36.85233,-0.244193,1.10005,-0.649401,316.9471,206.0428,240.0452
36.86296,-0.235025,1.10005,-0.636178,316.8583,206.0117,240.1052
36.8745,-0.235025,1.10005,-0.636178,316.8583,206.0117,240.1052
36.88415,-0.225368,1.10005,-0.606709,316.9652,205.7651,240.1899
36.89487,-0.225368,1.10005,-0.606709,316.9652,205.7651,240.1899
36.90505,-0.212764,1.10005,-0.572537,317.011,205.6002,240.3736
36.91523,-0.212764,1.10005,-0.572537,317.011,205.6002,240.3736
36.92544,-0.200545,1.10005,-0.547824,317.1019,205.4956,240.4292
36.93327,-0.200545,1.10005,-0.547824,317.1019,205.4956,240.4292
36.94455,-0.194665,1.10005,-0.542572,317.0714,205.435,240.5255
36.95517,-0.194665,1.10005,-0.542572,317.0714,205.435,240.5255
36.9647,-0.170749,1.10005,-0.501855,317.3208,205.2206,240.6356
36.97564,-0.170749,1.10005,-0.501855,317.3208,205.2206,240.6356
36.98354,-0.164977,1.10005,-0.498592,317.2711,205.2223,240.6395
36.9938,-0.164977,1.10005,-0.498592,317.2711,205.2223,240.6395
37.00195,-0.147392,1.10005,-0.474589,317.394,205.1606,240.7404
37.01118,-0.147392,1.10005,-0.474589,317.394,205.1606,240.7404
37.01929,-0.147392,1.10005,-0.474589,317.394,205.1606,240.7404
37.028,-0.124216,1.10005,-0.447237,317.4241,205.1404,240.748
37.03783,-0.124216,1.10005,-0.447237,317.4241,205.1404,240.748
37.04891,-0.104115,1.10005,-0.425181,317.5463,205.0772,240.8513
37.05707,-0.104115,1.10005,-0.425181,317.5463,205.0772,240.8513
37.06743,-0.08137,1.10005,-0.405807,317.5329,205.0724,240.836
37.07863,-0.08137,1.10005,-0.405807,317.5329,205.0724,240.836
37.08652,-0.058748,1.10005,-0.385657,317.656,205.037,240.7169
37.09839,-0.058748,1.10005,-0.385657,317.656,205.037,240.7169
37.10692,-0.03342,1.10005,-0.355284,317.8973,205.0854,240.5455
37.11602,-0.03342,1.10005,-0.355284,317.8973,205.0854,240.5455
37.12788,-0.008304,1.10005,-0.313953,318.0756,205.1251,240.2807
37.13555,-0.008304,1.10005,-0.313953,318.0756,205.1251,240.2807
37.14515,0.005511,1.10005,-0.284095,318.22,205.2986,240.0281
37.15318,0.005511,1.10005,-0.284095,318.22,205.2986,240.0281
37.16516,0.016467,1.10005,-0.256926,318.3634,205.4937,239.7787
37.17417,0.016467,1.10005,-0.256926,318.3634,205.4938,239.7787
37.18241,0.019188,1.10005,-0.248772,318.3565,205.6707,239.6625
37.19273,0.019188,1.10005,-0.248772,318.3565,205.6707,239.6625
37.20102,0.027286,1.10005,-0.218173,318.446,205.879,239.577
37.21251,0.027286,1.10005,-0.218173,318.446,205.879,239.577
37.22059,0.029938,1.10005,-0.201165,318.4497,206.0939,239.4419
37.23263,0.029938,1.10005,-0.201165,318.4497,206.0939,239.4419
37.24238,0.032495,1.10005,-0.167857,318.6305,206.2599,239.3793
37.2522,0.032495,1.10005,-0.167857,318.6305,206.2599,239.3793
37.26106,0.032398,1.10005,-0.14814,318.5588,206.422,239.2496
37.2719,0.032398,1.10005,-0.14814,318.5588,206.422,239.2496
37.27996,0.032398,1.10005,-0.14814,318.5588,206.422,239.2496
37.2899,0.034832,1.10005,-0.098524,318.7896,206.5302,239.2756
37.30132,0.037355,1.10005,-0.071342,318.8833,206.5073,239.3131
37.31077,0.037355,1.10005,-0.071342,318.8833,206.5073,239.3131
37.32133,0.037215,1.10005,-0.04689,319.0186,206.4895,239.3056
37.33062,0.037215,1.10005,-0.04689,319.0186,206.4895,239.3056
37.33941,0.037215,1.10005,-0.04689,319.0186,206.4895,239.3056
