experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,needletip_movement_location_0
reaching,scuba-7f41f839-b9c5-4f65-b54d-33a001015d94,1,1,1,1,13.39517,15.46,reaching/scuba-7f41f839-b9c5-4f65-b54d-33a001015d94/S001/trackers/needletip_movement_T001.csv
reaching,scuba-7f41f839-b9c5-4f65-b54d-33a001015d94,1,2,1,2,18.28593,20.06,reaching/scuba-7f41f839-b9c5-4f65-b54d-33a001015d94/S001/trackers/needletip_movement_T002.csv
reaching,scuba-7f41f839-b9c5-4f65-b54d-33a001015d94,1,3,1,3,21.96775,25.64,reaching/scuba-7f41f839-b9c5-4f65-b54d-33a001015d94/S001/trackers/needletip_movement_T003.csv
reaching,scuba-7f41f839-b9c5-4f65-b54d-33a001015d94,1,4,1,4,27.40411,29.88,reaching/scuba-7f41f839-b9c5-4f65-b54d-33a001015d94/S001/trackers/needletip_movement_T004.csv
reaching,scuba-7f41f839-b9c5-4f65-b54d-33a001015d94,1,5,1,5,31.97496,33.3,reaching/scuba-7f41f839-b9c5-4f65-b54d-33a001015d94/S001/trackers/needletip_movement_T005.csv
reaching,scuba-7f41f839-b9c5-4f65-b54d-33a001015d94,1,6,1,6,36.1298,37.52,reaching/scuba-7f41f839-b9c5-4f65-b54d-33a001015d94/S001/trackers/needletip_movement_T006.csv
reaching,scuba-7f41f839-b9c5-4f65-b54d-33a001015d94,1,7,1,7,39.44826,40.52,reaching/scuba-7f41f839-b9c5-4f65-b54d-33a001015d94/S001/trackers/needletip_movement_T007.csv
reaching,scuba-7f41f839-b9c5-4f65-b54d-33a001015d94,1,8,1,8,43.19877,44.26,reaching/scuba-7f41f839-b9c5-4f65-b54d-33a001015d94/S001/trackers/needletip_movement_T008.csv
reaching,scuba-7f41f839-b9c5-4f65-b54d-33a001015d94,1,9,1,9,45.89401,47.06,reaching/scuba-7f41f839-b9c5-4f65-b54d-33a001015d94/S001/trackers/needletip_movement_T009.csv
reaching,scuba-7f41f839-b9c5-4f65-b54d-33a001015d94,1,10,1,10,48.7532,49.66,reaching/scuba-7f41f839-b9c5-4f65-b54d-33a001015d94/S001/trackers/needletip_movement_T010.csv
