time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
109.6833,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.6903,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.6936,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.6969,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.6999,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.703,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7061,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7091,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.712,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7155,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7185,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7214,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.7253,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.7286,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.7316,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.7345,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.7374,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.7405,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7438,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7467,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7496,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7534,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7562,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7593,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.7621,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.7658,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.7688,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.7715,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.7741,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.7778,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
109.7806,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.7839,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.7869,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.7897,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.7931,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.8141,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8188,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8213,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.825,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.8283,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.8316,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.8341,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.8375,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.8399,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
109.8425,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.846,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8491,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8519,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8551,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8577,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8606,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8643,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8669,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8699,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.873,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8755,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8782,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8811,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8843,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8871,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8897,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8922,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8945,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.8973,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9001,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9039,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9067,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9097,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9121,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9149,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9176,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9202,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9234,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9265,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9294,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9321,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9346,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9374,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9401,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9436,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9464,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9491,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9518,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9545,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9574,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9605,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9637,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9665,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9693,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9717,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9742,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9769,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.9796,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
109.982,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.9855,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.9886,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.9915,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.9944,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
109.9972,-0.10617,-0.744075,0.805205,18.4973,187.7063,290.7484
110.0001,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
110.0034,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
110.0063,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
110.0089,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
110.012,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
110.0145,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
110.0172,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
110.0197,-0.10617,-0.744075,0.805205,18.42539,187.6287,290.7358
110.0223,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
110.0261,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
110.0289,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
110.0315,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
110.034,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
110.0365,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
110.0392,-0.10617,-0.744075,0.805205,18.42406,187.7048,290.7479
110.0416,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
110.0449,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
110.0479,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
110.0506,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
110.0531,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
110.0559,-0.10617,-0.744075,0.805205,18.49862,187.6301,290.7362
