time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
183.1439,0.002735,1.12404,0.081622,298.4272,184.0594,69.88663
183.1472,0.002735,1.12404,0.081622,298.4272,184.0594,69.88663
183.1505,0.002735,1.12404,0.081622,298.4272,184.0594,69.88663
183.1534,0.002735,1.12404,0.081622,298.4272,184.0594,69.88663
183.1564,0.002735,1.12404,0.081622,298.4272,184.0594,69.88663
183.1594,0.002735,1.12404,0.081622,298.4272,184.0594,69.88663
183.1622,0.00547,1.12404,0.082139,298.4258,183.9283,70.00215
183.1658,0.00547,1.12404,0.082139,298.4258,183.9283,70.00215
183.1687,0.00547,1.12404,0.082139,298.4258,183.9283,70.00215
183.1716,0.00547,1.12404,0.082139,298.4258,183.9283,70.00215
183.1746,0.00547,1.12404,0.082139,298.4258,183.9283,70.00215
183.1773,0.00547,1.12404,0.082139,298.4258,183.9283,70.00215
183.1802,0.00547,1.12404,0.082655,298.4258,183.9283,70.00215
183.184,0.00547,1.12404,0.082655,298.4258,183.9283,70.00215
183.1869,0.00547,1.12404,0.082655,298.4258,183.9283,70.00215
183.19,0.00547,1.12404,0.082655,298.4258,183.9283,70.00215
183.1928,0.00547,1.12404,0.082655,298.4258,183.9283,70.00215
183.1959,0.00547,1.12404,0.082655,298.4258,183.9283,70.00215
183.1992,0.00547,1.12404,0.082655,298.4258,183.9283,70.00215
183.2021,0.005469,1.12404,0.083689,298.4258,183.9283,70.00215
183.2057,0.005469,1.12404,0.083689,298.4258,183.9283,70.00215
183.2189,0.005469,1.12404,0.083689,298.4258,183.9283,70.00215
183.2235,0.005468,1.12404,0.084727,298.4258,183.9283,70.00215
183.2274,0.005468,1.12404,0.084727,298.4258,183.9283,70.00215
183.2299,0.005468,1.12404,0.084727,298.4258,183.9283,70.00215
183.2327,0.005468,1.12404,0.084727,298.4258,183.9283,70.00215
183.2354,0.005468,1.12404,0.084727,298.4258,183.9283,70.00215
183.2378,0.005468,1.12404,0.084727,298.4258,183.9283,70.00215
183.2411,0.005468,1.12404,0.085247,298.4258,183.9283,70.00215
183.2445,0.005468,1.12404,0.085247,298.4258,183.9283,70.00215
183.2472,0.005468,1.12404,0.085247,298.4258,183.9283,70.00215
183.2499,0.005468,1.12404,0.085247,298.4258,183.9283,70.00215
183.2525,0.005468,1.12404,0.085247,298.4258,183.9283,70.00215
183.2552,0.005468,1.12404,0.085247,298.4258,183.9283,70.00215
183.2584,0.005468,1.12404,0.085247,298.4258,183.9283,70.00215
183.2611,0.005467,1.12404,0.085768,298.4258,183.9283,69.9289
183.2648,0.005467,1.12404,0.085768,298.4258,183.9283,69.9289
183.2677,0.005467,1.12404,0.085768,298.4258,183.9283,69.9289
183.2703,0.005467,1.12404,0.085768,298.4258,183.9283,69.9289
183.2728,0.005467,1.12404,0.085768,298.4258,183.9283,69.9289
183.2756,0.005467,1.12404,0.085768,298.4258,183.9283,69.9289
183.2781,0.005467,1.12404,0.085768,298.4258,183.9283,69.9289
183.2806,0.005467,1.12404,0.085768,298.4244,183.8207,70.04444
183.284,0.005467,1.12404,0.085768,298.4244,183.8207,70.04444
183.2868,0.005467,1.12404,0.085768,298.4244,183.8207,70.04444
183.2899,0.005467,1.12404,0.085768,298.4244,183.8207,70.04444
183.2923,0.005467,1.12404,0.085768,298.4244,183.8207,70.04444
183.2949,0.005467,1.12404,0.085768,298.4244,183.8207,70.04444
183.2979,0.005467,1.12404,0.085768,298.4244,183.8207,70.04444
183.3005,0.005467,1.12404,0.08629,298.4258,183.9283,69.9289
183.304,0.005467,1.12404,0.08629,298.4258,183.9283,69.9289
183.3074,0.005467,1.12404,0.08629,298.4258,183.9283,69.9289
183.3104,0.005467,1.12404,0.08629,298.4258,183.9283,69.9289
183.3132,0.005467,1.12404,0.08629,298.4258,183.9283,69.9289
183.3156,0.005467,1.12404,0.08629,298.4258,183.9283,69.9289
183.3187,0.005467,1.12404,0.08629,298.4258,183.9283,69.9289
183.3217,0.005467,1.12404,0.086813,298.499,183.9241,70.00584
183.3254,0.005467,1.12404,0.086813,298.499,183.9241,70.00584
183.3288,0.005467,1.12404,0.086813,298.499,183.9241,70.00584
183.3316,0.005467,1.12404,0.086813,298.499,183.9241,70.00584
183.3344,0.005467,1.12404,0.086813,298.499,183.9241,70.00584
183.337,0.005467,1.12404,0.086813,298.499,183.9241,70.00584
183.3398,0.005467,1.12404,0.086813,298.499,183.9241,70.00584
183.3423,0.005466,1.12404,0.087336,298.4258,183.9283,70.00215
183.3456,0.005466,1.12404,0.087336,298.4258,183.9283,70.00215
183.3482,0.005466,1.12404,0.087336,298.4258,183.9283,70.00215
183.351,0.005466,1.12404,0.087336,298.4258,183.9283,70.00215
183.3538,0.005466,1.12404,0.087336,298.4258,183.9283,70.00215
183.3572,0.005466,1.12404,0.087336,298.4258,183.9283,70.00215
183.3697,0.00546,1.12404,0.095182,298.5689,183.9152,70.01598
183.3726,0.00546,1.12404,0.095182,298.5689,183.9152,70.01598
183.3755,0.00546,1.12404,0.095182,298.5689,183.9152,70.01598
183.3781,0.00546,1.12404,0.095182,298.5689,183.9152,70.01598
183.3808,0.00546,1.12404,0.095182,298.4943,183.812,70.05434
183.384,0.00546,1.12404,0.095182,298.4943,183.812,70.05434
183.3863,0.00546,1.12404,0.095182,298.4943,183.812,70.05434
183.3891,0.00546,1.12404,0.095182,298.4943,183.812,70.05434
183.3917,0.00546,1.12404,0.095182,298.4943,183.812,70.05434
183.3943,0.00546,1.12404,0.095182,298.4943,183.812,70.05434
183.3976,0.00546,1.12404,0.095182,298.4943,183.812,70.05434
183.401,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4046,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4078,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4106,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4135,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4161,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4186,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4211,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4247,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.428,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4314,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4343,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4371,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4398,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4421,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4455,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4482,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4508,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4534,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4561,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4593,0.00546,1.12404,0.095182,298.4957,183.9193,70.01234
183.4621,0.005461,1.12404,0.093092,298.4724,183.9223,69.93569
183.4657,0.005461,1.12404,0.093092,298.4724,183.9223,69.93569
183.4688,0.005461,1.12404,0.093092,298.4724,183.9223,69.93569
183.4718,0.005461,1.12404,0.093092,298.4724,183.9223,69.93569
183.4751,0.005461,1.12404,0.093092,298.4724,183.9223,69.93569
183.4776,0.005461,1.12404,0.093092,298.4724,183.9223,69.93569
183.4802,0.005461,1.12404,0.093092,298.5456,183.9181,70.0126
183.4835,0.005461,1.12404,0.093092,298.5456,183.9181,70.0126
183.4863,0.005461,1.12404,0.093092,298.5456,183.9181,70.0126
183.4889,0.005461,1.12404,0.093092,298.5456,183.9181,70.0126
183.4918,0.005461,1.12404,0.093092,298.5456,183.9181,70.0126
183.4941,0.005461,1.12404,0.093092,298.5456,183.9181,70.0126
183.4967,0.005461,1.12404,0.093092,298.5456,183.9181,70.0126
183.499,0.005461,1.12404,0.093092,298.5456,183.9181,70.0126
