time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
1396.784,0.016804,2.05005,-1.355542,338.3657,197.3467,111.6469
1396.792,0.016804,2.05005,-1.355542,338.3657,197.3467,111.6469
1396.816,0.016804,2.05005,-1.355542,338.3657,197.3467,111.6469
1396.825,0.016804,2.05005,-1.355542,338.3657,197.3467,111.6469
1396.834,0.016804,2.05005,-1.355542,338.3657,197.3467,111.6469
1396.841,0.016804,2.05005,-1.355542,338.4387,197.3394,111.7961
1396.851,0.016804,2.05005,-1.355542,338.4387,197.3394,111.7961
1396.858,0.016804,2.05005,-1.355542,338.4387,197.3394,111.7961
1396.864,0.016804,2.05005,-1.355542,338.2928,197.3539,111.7175
1396.872,0.016804,2.05005,-1.355542,338.2928,197.3539,111.7175
1396.882,0.016804,2.05005,-1.355542,338.359,197.2685,111.8895
1396.891,0.016804,2.05005,-1.355542,338.359,197.2685,111.8895
1396.897,0.016804,2.05005,-1.355542,338.359,197.2685,111.8895
1396.906,0.020165,2.05005,-1.355534,338.359,197.2449,111.8895
1396.915,0.020165,2.05005,-1.355534,338.359,197.2449,111.8895
1396.925,0.020165,2.05005,-1.355534,338.2861,197.2521,111.8869
1396.933,0.020165,2.05005,-1.355534,338.2861,197.2521,111.8869
1396.943,0.020165,2.05005,-1.355534,338.2861,197.2521,111.8869
1396.953,0.020165,2.05005,-1.355534,338.2861,197.2521,111.8869
1396.961,0.020165,2.05005,-1.355534,338.1402,197.2665,111.9548
1396.972,0.020165,2.05005,-1.355534,338.1402,197.2665,111.9548
1396.982,0.020158,2.05005,-1.352946,338.2354,197.2565,111.965
1396.991,0.020158,2.05005,-1.352946,338.2354,197.2565,111.965
1397.009,0.020158,2.05005,-1.352946,338.0895,197.2709,112.0329
1397.02,0.020158,2.05005,-1.352946,338.0895,197.2709,112.0329
1397.029,0.020158,2.05005,-1.352946,338.0895,197.2709,112.0329
1397.037,0.020158,2.05005,-1.352946,338.0895,197.2709,112.0329
1397.044,0.020158,2.05005,-1.352946,338.0895,197.2709,112.0329
